S250mM,S250mM,S250mM,S250mM,S250mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,61.87327957,0,0,0
0,61.74354935,0,0,0.1
1.07377E-05,61.59404373,1.07377E-05,0,0.2
1.07377E-05,61.48848724,1.07377E-05,0,0.3
1.07377E-05,61.38069916,1.07377E-05,0,0.4
0.000278482,61.55513763,0.000278482,0,0.5
0.000966319,62.09078217,0.000966319,0,0.6
0.001921901,62.94380951,0.001921901,0,0.7
0.00324274,64.07857513,0.00324274,0,0.8
0.004810104,65.54341888,0.004810104,0,0.9
0.006806144,67.20064545,0.006806144,0,1
0.009040602,69.1967392,0.009040602,0,1.1
0.011692771,71.38130951,0.011692771,0,1.2
0.014677771,74.09615326,0.014677771,0,1.3
0.01795269,76.93013763,0.01795269,0,1.4
0.021151314,79.68013763,0.021151314,0,1.5
0.024588356,82.66841888,0.024588356,0,1.6
0.027916679,85.51802826,0.027916679,0,1.7
0.031309851,88.38716888,0.031309851,0,1.8
0.034596212,91.28951263,0.034596212,0,1.9
0.038054235,94.18990326,0.038054235,0,2
0.04135967,97.07662201,0.04135967,0,2.1
0.044764288,100.076622,0.044764288,0,2.2
0.048027761,103.1020126,0.048027761,0,2.3
0.051335104,106.1762314,0.051335104,0,2.4
0.054793127,109.217247,0.054793127,0,2.5
0.05812145,112.2934189,0.05812145,0,2.6
0.061472662,115.3559189,0.061472662,0,2.7
0.064694174,118.3871689,0.064694174,0,2.8
0.068150289,121.6059189,0.068150289,0,2.9
0.07148052,124.8285751,0.07148052,0,3
0.074808843,128.1254425,0.074808843,0,3.1
0.078104742,131.2953644,0.078104742,0,3.2
0.081423528,134.4320831,0.081423528,0,3.3
0.084761389,137.5512238,0.084761389,0,3.4
0.088101156,140.7367706,0.088101156,0,3.5
0.091322668,143.9164581,0.091322668,0,3.6
0.094565228,146.9980164,0.094565228,0,3.7
0.097969845,150.148407,0.097969845,0,3.8
0.101298168,153.2460632,0.101298168,0,3.9
0.104626492,156.3378601,0.104626492,0,4
0.107868984,159.3593445,0.107868984,0,4.1
0.111273602,162.570282,0.111273602,0,4.2
0.114559963,165.7655945,0.114559963,0,4.3
0.118016079,168.8183289,0.118016079,0,4.4
0.121323422,171.7851257,0.121323422,0,4.5
0.124609783,174.804657,0.124609783,0,4.6
0.128100231,177.8886414,0.128100231,0,4.7
0.13133128,180.929657,0.13133128,0,4.8
0.134713009,184.0097351,0.134713009,0,4.9
0.138020352,187.2909851,0.138020352,0,5
0.141403988,190.5019226,0.141403988,0,5.1
0.144764736,193.8905945,0.144764736,0,5.2
0.148167446,197.2226257,0.148167446,0,5.3
0.151442364,200.3925476,0.151442364,0,5.4
0.154728726,203.8066101,0.154728726,0,5.5
0.158133343,207.2226257,0.158133343,0,5.6
0.161471203,210.8320007,0.161471203,0,5.7
0.164778545,214.2812195,0.164778545,0,5.8
0.168085888,218.289032,0.168085888,0,5.9
0.171469525,223.9726257,0.171469525,0,6
0.174744442,229.804657,0.174744442,0,6.1
0.178040341,235.7187195,0.178040341,0,6.2
0.181261852,241.6054382,0.181261852,0,6.3
0.184634045,247.9687195,0.184634045,0,6.4
0.187941387,254.2304382,0.187941387,0,6.5
0.191323116,260.7538757,0.191323116,0,6.6
0.194554165,267.4726257,0.194554165,0,6.7
0.197861508,274.4726257,0.197861508,0,6.8
0.201287106,282.5195007,0.201287106,0,6.9
0.204626873,291.1288757,0.204626873,0,7
0.20794566,301.0898132,0.20794566,0,7.1
0.211262539,312.0351257,0.211262539,0,7.2
0.214667156,323.7773132,0.214667156,0,7.3
0.218005016,335.9726257,0.218005016,0,7.4
0.22139819,348.8788757,0.22139819,0,7.5
0.224716976,361.7460632,0.224716976,0,7.6
0.228012875,375.2773132,0.228012875,0,7.7
0.231491879,389.7616882,0.231491879,0,7.8
0.234799221,405.2070007,0.234799221,0,7.9
0.238106564,419.7773132,0.238106564,0,8
0.241381481,434.3398132,0.241381481,0,8.1
0.244807079,449.6288757,0.244807079,0,8.2
0.248156384,464.8398132,0.248156384,0,8.3
0.25142175,480.0663757,0.25142175,0,8.4
0.254696667,495.4101257,0.254696667,0,8.5
0.258110821,511.3866882,0.258110821,0,8.6
0.26138556,526.6133423,0.26138556,0,8.7
0.264769197,541.9570923,0.264769197,0,8.8
0.268021226,557.0742798,0.268021226,0,8.9
0.271254182,572.9180298,0.271254182,0,9
0.274593949,588.8633423,0.274593949,0,9.1
0.277954698,604.5430298,0.277954698,0,9.2
0.281294465,619.9727173,0.281294465,0,9.3
0.284515977,635.5039673,0.284515977,0,9.4
0.287972093,652.6836548,0.287972093,0,9.5
0.291300416,668.6992798,0.291300416,0,9.6
0.294630647,685.0508423,0.294630647,0,9.7
0.29795897,701.0274048,0.29795897,0,9.8
0.301331162,717.5664673,0.301331162,0,9.9
0.304691911,735.0274048,0.304691911,0,10
0.308062196,752.6055298,0.308062196,0,10.1
0.311401963,769.6289673,0.311401963,0,10.2
0.314676881,787.2930298,0.314676881,0,10.3
0.318070054,806.1524048,0.318070054,0,10.4
0.321430802,825.9492798,0.321430802,0,10.5
0.324782014,847.1680298,0.324782014,0,10.6
0.328066468,867.7617798,0.328066468,0,10.7
0.331471086,889.8242798,0.331471086,0,10.8
0.334766984,911.6211548,0.334766984,0,10.9
0.338139176,932.5899048,0.338139176,0,11
0.34140265,953.2774048,0.34140265,0,11.1
0.344730973,974.1211548,0.344730973,0,11.2
0.34804976,994.9024048,0.34804976,0,11.3
0.351399064,1016.54303,0.351399064,0,11.4
0.354685426,1037.652466,0.354685426,0,11.5
0.357927918,1057.660278,0.357927918,0,11.6
0.361300111,1079.082153,0.361300111,0,11.7
0.364628434,1099.839966,0.364628434,0,11.8
0.367968202,1120.293091,0.367968202,0,11.9
