S450mM,S450mM,S450mM,S450mM,S450mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,70.54223633,0,0,0
0,70.24597168,0,0,0.1
0,70.02478027,0,0,0.2
0,69.79406738,0,0,0.3
0,69.5947876,0,0,0.4
2.14577E-05,69.78207397,2.14577E-05,0,0.5
0.000923157,72.34262085,0.000923157,0,0.6
0.001835823,75.95785522,0.001835823,0,0.7
0.003091812,79.9246521,0.003091812,0,0.8
0.004756451,84.87973022,0.004756451,0,0.9
0.006710529,90.97738647,0.006710529,0,1
0.008943081,98.21176147,0.008943081,0,1.1
0.011649609,106.969574,0.011649609,0,1.2
0.014581203,117.0047302,0.014581203,0,1.3
0.017726421,128.5125427,0.017726421,0,1.4
0.021131039,140.7625427,0.021131039,0,1.5
0.024503231,153.2469177,0.024503231,0,1.6
0.027873516,165.9500427,0.027873516,0,1.7
0.031116009,178.3484802,0.031116009,0,1.8
0.034488201,192.1922302,0.034488201,0,1.9
0.037891675,205.4891815,0.037891675,0,2
0.041221905,218.6141815,0.041221905,0,2.1
0.044464398,231.590744,0.044464398,0,2.2
0.047792722,245.1141815,0.047792722,0,2.3
0.051100064,258.4813538,0.051100064,0,2.4
0.054460812,272.0907288,0.054460812,0,2.5
0.057777692,285.6454163,0.057777692,0,2.6
0.060978223,299.4501038,0.060978223,0,2.7
0.064359948,313.9579163,0.064359948,0,2.8
0.067678735,327.8641663,0.067678735,0,2.9
0.071028039,341.7469788,0.071028039,0,3
0.074272439,355.4657288,0.074272439,0,3.1
0.077600762,369.7079163,0.077600762,0,3.2
0.081003472,384.0829163,0.081003472,0,3.3
0.08440809,398.7938538,0.08440809,0,3.4
0.087703988,413.3797913,0.087703988,0,3.5
0.091032311,428.1610413,0.091032311,0,3.6
0.094436929,442.8719788,0.094436929,0,3.7
0.097744271,457.2469788,0.097744271,0,3.8
0.101105019,471.9422913,0.101105019,0,3.9
0.104423806,486.3641663,0.104423806,0,4
0.107752129,501.1141663,0.107752129,0,4.1
0.111122414,516.3563843,0.111122414,0,4.2
0.114527032,532.1923218,0.114527032,0,4.3
0.117845818,546.3407593,0.117845818,0,4.4
0.121141717,560.9188843,0.121141717,0,4.5
0.124576852,575.9110718,0.124576852,0,4.6
0.127842233,591.0360718,0.127842233,0,4.7
0.131191537,606.1141968,0.131191537,0,4.8
0.134413049,620.2860718,0.134413049,0,4.9
0.137827203,635.1063843,0.137827203,0,5
0.141081139,649.7626343,0.141081139,0,5.1
0.144409463,664.8720093,0.144409463,0,5.2
0.147695825,679.0907593,0.147695825,0,5.3
0.150970742,693.6845093,0.150970742,0,5.4
0.154363915,708.7157593,0.154363915,0,5.5
0.157659814,723.3954468,0.157659814,0,5.6
0.160999581,738.6610718,0.160999581,0,5.7
0.164232537,752.7938843,0.164232537,0,5.8
0.167679116,767.6532593,0.167679116,0,5.9
0.171007439,782.5126343,0.171007439,0,6
0.174314782,797.3720093,0.174314782,0,6.1
0.177654549,812.5595093,0.177654549,0,6.2
0.181047723,827.8563843,0.181047723,0,6.3
0.184376046,842.8173218,0.184376046,0,6.4
0.187822625,858.1141968,0.187822625,0,6.5
0.191076562,872.8485718,0.191076562,0,6.6
0.194414422,887.4110718,0.194414422,0,6.7
0.197862908,902.4501343,0.197862908,0,6.8
0.201212212,917.0673218,0.201212212,0,6.9
0.204455718,931.3858643,0.204455718,0,7
0.207816467,946.2374268,0.207816467,0,7.1
0.21114479,960.7843018,0.21114479,0,7.2
0.214526519,975.0499268,0.214526519,0,7.3
0.217887267,989.3936768,0.217887267,0,7.4
0.221141204,1003.034302,0.221141204,0,7.5
0.224492416,1017.299927,0.224492416,0,7.6
0.227788314,1031.729614,0.227788314,0,7.7
0.231105193,1045.573364,0.231105193,0,7.8
0.234370574,1058.995239,0.234370574,0,7.9
0.237666473,1072.151489,0.237666473,0,8
0.241027221,1086.088989,0.241027221,0,8.1
0.244355544,1099.706177,0.244355544,0,8.2
0.247662887,1113.190552,0.247662887,0,8.3
0.250884384,1126.292114,0.250884384,0,8.4
0.254342407,1141.229614,0.254342407,0,8.5
0.257659286,1154.713989,0.257659286,0,8.6
0.261031479,1168.221802,0.261031479,0,8.7
0.264413208,1181.823364,0.264413208,0,8.8
0.267743438,1195.018677,0.267743438,0,8.9
0.271104187,1208.448364,0.271104187,0,9
0.274464935,1222.495239,0.274464935,0,9.1
0.277772278,1235.487427,0.277772278,0,9.2
0.281047195,1248.268677,0.281047195,0,9.3
0.284461349,1261.698364,0.284461349,0,9.4
0.287833542,1274.753052,0.287833542,0,9.5
0.291226715,1288.753052,0.291226715,0,9.6
0.294448227,1301.143677,0.294448227,0,9.7
0.297797531,1313.971802,0.297797531,0,9.8
0.30117926,1327.174927,0.30117926,0,9.9
0.304551452,1340.393677,0.304551452,0,10
0.30782637,1352.526489,0.30782637,0,10.1
0.311154693,1364.846802,0.311154693,0,10.2
0.314494461,1377.135864,0.314494461,0,10.3
0.317790359,1389.463989,0.317790359,0,10.4
0.32112059,1401.713989,0.32112059,0,10.5
0.324277252,1414.182739,0.324277252,0,10.6
0.327691406,1426.463989,0.327691406,0,10.7
0.330966324,1438.229614,0.330966324,0,10.8
0.334327072,1449.948364,0.334327072,0,10.9
0.337645859,1461.682739,0.337645859,0,11
0.340962738,1473.971802,0.340962738,0,11.1
0.344344467,1486.979614,0.344344467,0,11.2
0.347728103,1500.104614,0.347728103,0,11.3
0.350991577,1512.151489,0.350991577,0,11.4
0.354298919,1523.893677,0.354298919,0,11.5
0.357798904,1536.393677,0.357798904,0,11.6
0.361073822,1548.510864,0.361073822,0,11.7
0.364404052,1560.581177,0.364404052,0,11.8
0.367753357,1572.198364,0.367753357,0,11.9
0.371071607,1583.934082,0.371071607,0,12
