S350mM,S350mM,S350mM,S350mM,S350mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,58.50451279,0,0,0
0,58.35296249,0,0,0.1
-1.07377E-05,58.23705673,-1.07377E-05,0,0.2
-2.14753E-05,58.14980698,-2.14753E-05,0,0.3
-3.2213E-05,58.06467056,-3.2213E-05,0,0.4
0.000257236,58.22032928,0.000257236,0,0.5
0.001116258,58.85655975,0.001116258,0,0.6
0.002082807,59.66368866,0.002082807,0,0.7
0.003499967,60.59386444,0.003499967,0,0.8
0.005261404,61.92394257,0.005261404,0,0.9
0.007279378,63.3526535,0.007279378,0,1
0.009555799,65.05284882,0.009555799,0,1.1
0.012239438,66.91905975,0.012239438,0,1.2
0.015354139,69.016716,0.015354139,0,1.3
0.018608075,71.13683319,0.018608075,0,1.4
0.021861326,73.33934021,0.021861326,0,1.5
0.02514578,75.49266052,0.02514578,0,1.6
0.028496992,77.70750427,0.028496992,0,1.7
0.031804334,79.9360199,0.031804334,0,1.8
0.035144102,82.16160583,0.035144102,0,1.9
0.038428556,84.26805115,0.038428556,0,2
0.041800749,86.43309021,0.041800749,0,2.1
0.045129072,88.64891052,0.045129072,0,2.2
0.048447859,90.94969177,0.048447859,0,2.3
0.051818144,93.13719177,0.051818144,0,2.4
0.055157911,95.28855896,0.055157911,0,2.5
0.058594953,97.63523865,0.058594953,0,2.6
0.061879408,99.89207458,0.061879408,0,2.7
0.065284021,102.1293793,0.065284021,0,2.8
0.068558939,104.2475433,0.068558939,0,2.9
0.071952112,106.601059,0.071952112,0,3
0.075291879,108.8764496,0.075291879,0,3.1
0.078673609,111.1498871,0.078673609,0,3.2
0.08195997,113.4653168,0.08195997,0,3.3
0.085255869,115.7700043,0.085255869,0,3.4
0.088660486,118.5307465,0.088660486,0,3.5
0.091967829,121.7592621,0.091967829,0,3.6
0.095284708,126.0756683,0.095284708,0,3.7
0.09859205,131.2026215,0.09859205,0,3.8
0.101920374,137.1713715,0.101920374,0,3.9
0.10521818,143.647934,0.10521818,0,4
0.108611353,150.5112152,0.108611353,0,4.1
0.111853845,157.7299652,0.111853845,0,4.2
0.115117319,165.616684,0.115117319,0,4.3
0.118542917,174.3588715,0.118542917,0,4.4
0.12185026,183.0346527,0.12185026,0,4.5
0.125104204,192.3549652,0.125104204,0,4.6
0.128367677,201.585434,0.128367677,0,4.7
0.13173987,211.5346527,0.13173987,0,4.8
0.135112062,221.5893402,0.135112062,0,4.9
0.138493791,232.3315277,0.138493791,0,5
0.141780153,242.210434,0.141780153,0,5.1
0.145215288,252.8237152,0.145215288,0,5.2
0.148555055,263.2612305,0.148555055,0,5.3
0.151927248,273.644043,0.151927248,0,5.4
0.155287996,284.519043,0.155287996,0,5.5
0.158551469,297.3393555,0.158551469,0,5.6
0.161912218,311.409668,0.161912218,0,5.7
0.165326372,326.206543,0.165326372,0,5.8
0.168654695,340.940918,0.168654695,0,5.9
0.171941057,356.0424805,0.171941057,0,6
0.175280824,371.815918,0.175280824,0,6.1
0.178620592,387.3706055,0.178620592,0,6.2
0.18198134,403.2924805,0.18198134,0,6.3
0.185277238,418.9331055,0.185277238,0,6.4
0.188594624,434.7782593,0.188594624,0,6.5
0.191934392,451.5985718,0.191934392,0,6.6
0.19529514,467.7235718,0.19529514,0,6.7
0.198537633,483.5516968,0.198537633,0,6.8
0.201759145,499.2470093,0.201759145,0,6.9
0.205184743,515.9032593,0.205184743,0,7
0.208450124,531.9032593,0.208450124,0,7.1
0.211831853,548.5360718,0.211831853,0,7.2
0.215053365,565.1923218,0.215053365,0,7.3
0.218381688,581.9579468,0.218381688,0,7.4
0.22181873,598.9657593,0.22181873,0,7.5
0.225209996,615.2079468,0.225209996,0,7.6
0.228517339,631.6610718,0.228517339,0,7.7
0.231815144,648.2391968,0.231815144,0,7.8
0.235196874,665.0048218,0.235196874,0,7.9
0.238569066,682.6376343,0.238569066,0,8
0.241939351,699.2470093,0.241939351,0,8.1
0.245172307,715.6220093,0.245172307,0,8.2
0.248639867,732.6532593,0.248639867,0,8.3
0.251970112,749.5048218,0.251970112,0,8.4
0.255372822,766.3095093,0.255372822,0,8.5
0.258638203,782.9501343,0.258638203,0,8.6
0.261976063,800.8251343,0.261976063,0,8.7
0.265306294,817.7470093,0.265306294,0,8.8
0.268676579,834.7782593,0.268676579,0,8.9
0.271930516,851.2235718,0.271930516,0,9
0.275249302,867.7626343,0.275249302,0,9.1
0.278642476,885.5282593,0.278642476,0,9.2
0.281884968,901.8798218,0.281884968,0,9.3
0.285213292,918.3485718,0.285213292,0,9.4
0.288499653,934.4423218,0.288499653,0,9.5
0.291795552,951.1220093,0.291795552,0,9.6
0.295135319,968.3954468,0.295135319,0,9.7
0.298538029,985.0985718,0.298538029,0,9.8
0.30173856,1001.278259,0.30173856,0,9.9
0.305087864,1017.840759,0.305087864,0,10
0.308439076,1034.809448,0.308439076,0,10.1
0.311746418,1051.371948,0.311746418,0,10.2
0.315172017,1068.918823,0.315172017,0,10.3
0.318467915,1084.786011,0.318467915,0,10.4
0.321828663,1101.325073,0.321828663,0,10.5
0.325263798,1118.020386,0.325263798,0,10.6
0.328594029,1135.184448,0.328594029,0,10.7
0.331878483,1151.239136,0.331878483,0,10.8
0.335271657,1167.989136,0.335271657,0,10.9
0.338611424,1184.707886,0.338611424,0,11
0.341993153,1201.762573,0.341993153,0,11.1
0.345332921,1218.434448,0.345332921,0,11.2
0.348554432,1234.364136,0.348554432,0,11.3
0.351980031,1251.551636,0.351980031,0,11.4
0.355329424,1268.320313,0.355329424,0,11.5
0.358713061,1284.203125,0.358713061,0,11.6
0.36196509,1299.960938,0.36196509,0,11.7
0.365348727,1315.984375,0.365348727,0,11.8
0.368537813,1331.476563,0.368537813,0,11.9
