Non-bionmin S2,Non-bionmin S2,Non-bionmin S2,Non-bionmin S2,Non-bionmin S2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.348452121,1417.88916,0.348452121,0,11.3
0.351777554,1431.604614,0.351777554,0,11.4
0.355111033,1445.106201,0.355111033,0,11.5
0.35843733,1458.46582,0.35843733,0,11.6
0.361753643,1471.831665,0.361753643,0,11.7
0.365076154,1485.218506,0.365076154,0,11.8
0.368402183,1498.834473,0.368402183,0,11.9
0.371746778,1512.521851,0.371746778,0,12
0.375097603,1525.80835,0.375097603,0,12.1
0.378434092,1538.978271,0.378434092,0,12.2
0.381769359,1552.176025,0.381769359,0,12.3
0.385103822,1565.358398,0.385103822,0,12.4
0.388442427,1578.772949,0.388442427,0,12.5
0.391777098,1592.329468,0.391777098,0,12.6
0.395109177,1605.710327,0.395109177,0,12.7
0.398447335,1618.839111,0.398447335,0,12.8
0.40178588,1631.954834,0.40178588,0,12.9
0.405126333,1645.010864,0.405126333,0,13
0.408451647,1658.10437,0.408451647,0,13.1
0.41178605,1671.419678,0.41178605,0,13.2
0.415131599,1685.004272,0.415131599,0,13.3
0.418448091,1698.488159,0.418448091,0,13.4
0.421775341,1711.602295,0.421775341,0,13.5
0.425087899,1724.686768,0.425087899,0,13.6
0.428417534,1737.80127,0.428417534,0,13.7
0.431760103,1750.894409,0.431760103,0,13.8
0.43510586,1764.289795,0.43510586,0,13.9
0.43843931,1777.864258,0.43843931,0,14
0.441765904,1791.25354,0.441765904,0,14.1
0.445105761,1804.410278,0.445105761,0,14.2
0.448442459,1817.548706,0.448442459,0,14.3
0.451778769,1830.520996,0.451778769,0,14.4
0.455093741,1843.361816,0.455093741,0,14.5
0.458431661,1856.477295,0.458431661,0,14.6
0.461778462,1869.935425,0.461778462,0,14.7
0.465120256,1883.299805,0.465120256,0,14.8
0.468447238,1896.432983,0.468447238,0,14.9
0.471786022,1909.648071,0.471786022,0,15
0.475134045,1923.145386,0.475134045,0,15.1
0.478460103,1935.674927,0.478460103,0,15.2
0.481782198,1948.969238,0.481782198,0,15.3
0.485100001,1962.358154,0.485100001,0,15.4
0.488433778,1975.66272,0.488433778,0,15.5
0.491775155,1988.568237,0.491775155,0,15.6
0.495109379,2001.548462,0.495109379,0,15.7
0.498448014,2014.44458,0.498448014,0,15.8
0.501790762,2027.331543,0.501790762,0,15.9
0.505110323,2040.390869,0.505110323,0,16
0.508436382,2053.460938,0.508436382,0,16.1
0.511772573,2066.561279,0.511772573,0,16.2
0.515096724,2079.044434,0.515096724,0,16.3
0.518419266,2091.905273,0.518419266,0,16.4
0.521757841,2104.436035,0.521757841,0,16.5
0.525103688,2117.527588,0.525103688,0,16.6
0.528421342,2130.655273,0.528421342,0,16.7
0.531752527,2143.797607,0.531752527,0,16.8
0.535115421,2156.738281,0.535115421,0,16.9
0.538455844,2169.331299,0.538455844,0,17
0.541780591,2181.583008,0.541780591,0,17.1
0.545098305,2193.878418,0.545098305,0,17.2
0.548440397,2206.352295,0.548440397,0,17.3
0.551777542,2219.299561,0.551777542,0,17.4
0.555110276,2232.529297,0.555110276,0,17.5
0.558469057,2245.407959,0.558469057,0,17.6
0.561793745,2258.267334,0.561793745,0,17.7
0.565126359,2271.012939,0.565126359,0,17.8
0.568455517,2283.709473,0.568455517,0,17.9
0.571794629,2296.783203,0.571794629,0,18
0.575109005,2309.980225,0.575109005,0,18.1
0.578440249,2322.679688,0.578440249,0,18.2
0.581770837,2335.16333,0.581770837,0,18.3
0.585105717,2347.435059,0.585105717,0,18.4
0.588422894,2359.670654,0.588422894,0,18.5
0.591758311,2372.147949,0.591758311,0,18.6
0.595096648,2384.834229,0.595096648,0,18.7
0.598433673,2397.680176,0.598433673,0,18.8
0.60175401,2410.193604,0.60175401,0,18.9
0.605083287,2422.191162,0.605083287,0,19
0.608430445,2434.273926,0.608430445,0,19.1
0.611757934,2446.491455,0.611757934,0,19.2
0.615111828,2458.720947,0.615111828,0,19.3
0.618469775,2471.39917,0.618469775,0,19.4
0.621807396,2483.782227,0.621807396,0,19.5
0.625151217,2495.519043,0.625151217,0,19.6
0.628452241,2506.864502,0.628452241,0,19.7
0.631778717,2518.00293,0.631778717,0,19.8
0.635120213,2529.247314,0.635120213,0,19.9
0.638445914,2540.506104,0.638445914,0,20
0.641777992,2552.037109,0.641777992,0,20.1
0.645117044,2563.71167,0.645117044,0,20.2
0.648449004,2574.990234,0.648449004,0,20.3
0.651768744,2586.016357,0.651768744,0,20.4
0.655111611,2597.19043,0.655111611,0,20.5
0.658430517,2608.356689,0.658430517,0,20.6
0.661758006,2619.935303,0.661758006,0,20.7
0.665077209,2631.855957,0.665077209,0,20.8
0.668411255,2643.476318,0.668411255,0,20.9
0.671748996,2654.384521,0.671748996,0,21
0.675094247,2665.119141,0.675094247,0,21.1
0.678436279,2675.783203,0.678436279,0,21.2
0.681786656,2686.205566,0.681786656,0,21.3
0.685127139,2696.510986,0.685127139,0,21.4
0.688459218,2707.065674,0.688459218,0,21.5
0.691804051,2717.786621,0.691804051,0,21.6
0.695115387,2728.100586,0.695115387,0,21.7
0.698455155,2738.286133,0.698455155,0,21.8
0.70179069,2748.460449,0.70179069,0,21.9
0.705113769,2758.293945,0.705113769,0,22
0.708448112,2768.349121,0.708448112,0,22.1
0.711774468,2778.699707,0.711774468,0,22.2
0.715114415,2788.616699,0.715114415,0,22.3
0.718443573,2798.26709,0.718443573,0,22.4
0.721777558,2807.742676,0.721777558,0,22.5
0.72509855,2817.020264,0.72509855,0,22.6
0.728426576,2826.174561,0.728426576,0,22.7
0.731753886,2835.520996,0.731753886,0,22.8
0.735095263,2845.18335,0.735095263,0,22.9
0.73843497,2854.939453,0.73843497,0,23
0.741773307,2864.271973,0.741773307,0,23.1
0.745111167,2873.508057,0.745111167,0,23.2
0.748425066,2882.559814,0.748425066,0,23.3
0.751777291,2891.47168,0.751777291,0,23.4
0.755118847,2900.720215,0.755118847,0,23.5
0.758451164,2910.234863,0.758451164,0,23.6
0.761781991,2919.235596,0.761781991,0,23.7
