BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3,BIOMIN Stir3
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.34813723,1686.973511,0.34813723,0,11.3
0.351482004,1701.112427,0.351482004,0,11.4
0.354804307,1714.81543,0.354804307,0,11.5
0.358125508,1728.250244,0.358125508,0,11.6
0.361461014,1741.544189,0.361461014,0,11.7
0.364781648,1754.845093,0.364781648,0,11.8
0.368119895,1768.249634,0.368119895,0,11.9
0.37144646,1781.942749,0.37144646,0,12
0.374784678,1795.718384,0.374784678,0,12.1
0.378103644,1809.117798,0.378103644,0,12.2
0.381432384,1822.435425,0.381432384,0,12.3
0.384765327,1835.806152,0.384765327,0,12.4
0.38809374,1848.990967,0.38809374,0,12.5
0.391426146,1862.228027,0.391426146,0,12.6
0.394758463,1875.754272,0.394758463,0,12.7
0.39808026,1889.316406,0.39808026,0,12.8
0.4014166,1902.695923,0.4014166,0,12.9
0.404763013,1915.960327,0.404763013,0,13
0.408102989,1929.07312,0.408102989,0,13.1
0.411452621,1942.02771,0.411452621,0,13.2
0.414798975,1954.922852,0.414798975,0,13.3
0.418123543,1967.875122,0.418123543,0,13.4
0.421452522,1980.920532,0.421452522,0,13.5
0.424798727,1993.640137,0.424798727,0,13.6
0.428118557,2006.396851,0.428118557,0,13.7
0.431444436,2019.225952,0.431444436,0,13.8
0.434777498,2031.812378,0.434777498,0,13.9
0.438114673,2044.616211,0.438114673,0,14
0.441439003,2057.652832,0.441439003,0,14.1
0.444786817,2070.510742,0.444786817,0,14.2
0.44811368,2083.180908,0.44811368,0,14.3
0.451439798,2095.612793,0.451439798,0,14.4
0.454770237,2107.798584,0.454770237,0,14.5
0.458095491,2119.945313,0.458095491,0,14.6
0.461417437,2132.278809,0.461417437,0,14.7
0.464754164,2144.86377,0.464754164,0,14.8
0.468093872,2157.385254,0.468093872,0,14.9
0.471438438,2169.493408,0.471438438,0,15
0.47478348,2181.562744,0.47478348,0,15.1
0.478099406,2193.491699,0.478099406,0,15.2
0.481447637,2205.564453,0.481447637,0,15.3
0.484787345,2217.987793,0.484787345,0,15.4
0.488128304,2230.356201,0.488128304,0,15.5
0.49146238,2242.434814,0.49146238,0,15.6
0.494815201,2254.37085,0.494815201,0,15.7
0.498127669,2266.174561,0.498127669,0,15.8
0.501462102,2277.880615,0.501462102,0,15.9
0.504779339,2289.562256,0.504779339,0,16
0.50812149,2301.567627,0.50812149,0,16.1
0.511477232,2313.611084,0.511477232,0,16.2
0.514773965,2325.192383,0.514773965,0,16.3
0.51809901,2336.631104,0.51809901,0,16.4
0.521432638,2348.274414,0.521432638,0,16.5
0.524766326,2359.812988,0.524766326,0,16.6
0.528111637,2371.480957,0.528111637,0,16.7
0.531452239,2383.3396,0.531452239,0,16.8
0.53477186,2394.826172,0.53477186,0,16.9
0.538104475,2406.033691,0.538104475,0,17
0.541426778,2417.050049,0.541426778,0,17.1
0.544757962,2428.22168,0.544757962,0,17.2
0.548099935,2439.596191,0.548099935,0,17.3
0.55142957,2451.000244,0.55142957,0,17.4
0.55477798,2462.78125,0.55477798,0,17.5
0.558107436,2474.460693,0.558107436,0,17.6
0.561444521,2485.566162,0.561444521,0,17.7
0.564775884,2496.647705,0.564775884,0,17.8
0.568130553,2507.838867,0.568130553,0,17.9
0.571464658,2518.803223,0.571464658,0,18
0.574786246,2530.009033,0.574786246,0,18.1
0.578099072,2541.425781,0.578099072,0,18.2
0.581436813,2552.483887,0.581436813,0,18.3
0.584772885,2563.224365,0.584772885,0,18.4
0.588106632,2573.799072,0.588106632,0,18.5
0.591431499,2584.352783,0.591431499,0,18.6
0.594775498,2594.932861,0.594775498,0,18.7
0.598118663,2605.612549,0.598118663,0,18.8
0.601430237,2616.361572,0.601430237,0,18.9
0.604771912,2627.036865,0.604771912,0,19
0.608100235,2637.373291,0.608100235,0,19.1
0.611432195,2647.780762,0.611432195,0,19.2
0.614768505,2658.225098,0.614768505,0,19.3
0.618102729,2668.637939,0.618102729,0,19.4
0.62141937,2679.205322,0.62141937,0,19.5
0.624746799,2689.817627,0.624746799,0,19.6
0.628099322,2700.284668,0.628099322,0,19.7
0.63145709,2710.525146,0.63145709,0,19.8
0.634783804,2720.640137,0.634783804,0,19.9
0.638115525,2730.808594,0.638115525,0,20
0.641450346,2740.955078,0.641450346,0,20.1
