Tnbm1,Tnbm1,Tnbm1,Tnbm1
Standard force,Standard travel,Grip to grip separation,Test time
N,mm,mm,s
5032.127441,0.769999981,66.88527271,12.1
5069.658691,0.772561789,66.90185103,12.2
5107.260254,0.774999976,66.91871378,12.3
5143.522949,0.774999976,66.93537686,12.4
5179.258789,0.774999976,66.95212612,12.5
5214.646484,0.774999976,66.96873114,12.6
5240.244629,0.875670791,66.98054025,12.672
5276.925781,0.879999995,66.9973881,12.772
5314.303223,0.879999995,67.01417467,12.872
5350.925781,0.879999995,67.0307599,12.972
5388.060059,0.879999995,67.04739747,13.072
5424.135742,0.88499999,67.06380603,13.172
5461.019531,0.88499999,67.08051357,13.272
5497.858887,0.88499999,67.0975183,13.372
5533.36084,0.88499999,67.11411986,13.472
5569.182617,0.889992714,67.13080415,13.572
5605.408203,0.974988699,67.1473175,13.672
5641.555176,0.975000024,67.16389069,13.772
5678.593262,0.975000024,67.18072757,13.872
5714.691406,0.975000024,67.19733247,13.972
5750.530762,0.975000024,67.2140716,14.072
5786.428223,0.980000019,67.23076019,14.172
5822.006348,0.980000019,67.24723849,14.272
5858.216309,0.980000019,67.26402983,14.372
5894.287598,0.980000019,67.28087435,14.472
5929.02832,0.985000014,67.29735932,14.572
5964.890137,1.064996123,67.31398592,14.672
5999.812012,1.059999943,67.330412,14.772
6035.620117,1.059999943,67.3473495,14.872
6071.858887,1.065000057,67.36425385,14.972
6107.30957,1.065000057,67.3807703,15.072
6143.24707,1.065000057,67.39739165,15.172
6177.979492,1.065000057,67.41391453,15.272
6212.932617,1.065000057,67.43048033,15.372
6248.137695,1.070000052,67.44740352,15.472
6282.400879,1.129999995,67.46412048,15.572
6317.133301,1.13499999,67.48075256,15.672
6352.01709,1.13499999,67.49744448,15.772
6385.95459,1.13499999,67.51393828,15.872
6421.783203,1.139999986,67.53079805,15.972
6457.006348,1.139999986,67.54730806,16.072
6491.702637,1.144999981,67.56393156,16.172
6526.117676,1.144999981,67.58073363,16.272
6559.615234,1.148556709,67.59724793,16.372
6594.146973,1.228551507,67.61402163,16.472
6628.563965,1.230000019,67.63085875,16.572
6662.519531,1.235000014,67.64747891,16.672
6696.836426,1.235000014,67.66406831,16.772
6730.249512,1.235000014,67.68039093,16.872
6764.175781,1.239992738,67.69718966,16.972
6799.157715,1.24000001,67.71423492,17.072
6832.445801,1.24000001,67.73083434,17.172
6865.21582,1.243556619,67.74741087,17.272
