Tnbm3;Tnbm3;Tnbm3;Tnbm3
Standard force;Standard travel;Grip to grip separation;Test time
N;mm;mm;s
80.05688477;0;65.06441739;0
80.07944489;0;65.06441739;0.1
80.05445099;0;65.06441739;0.204249998
80.07791138;0;65.06441739;0.304249998
80.00006104;0;65.06441739;0.404249998
79.99758911;0;65.06441739;0.504249998
79.97564697;0;65.06441739;0.604249998
79.95568848;0;65.06441739;0.704249998
83.35372925;0;65.06554392;0.804249998
96.87716675;0;65.06823996;0.904249998
118.4709167;0;65.07259825;1.004249998
148.0177917;0.005;65.0786331;1.104249998
184.5021667;0.01;65.0862892;1.204249998
228.3771667;0.014974365;65.09561995;1.304249998
279.5021667;0.015;65.10667494;1.404249998
337.2209167;0.024974365;65.11933974;1.504249998
400.8260498;0.029999999;65.13347133;1.604249998
471.8260498;0.039974365;65.14966091;1.704249998
544.7635498;0.049999997;65.16640743;1.804249998
614.7322998;0.059999995;65.18303188;1.904249998
682.8260498;0.074974366;65.19970973;2.004249998
748.5135498;0.085000001;65.21607478;2.104249998
812.2635498;0.094999999;65.23271449;2.204249998
874.4510498;0.109999999;65.24971278;2.304249998
933.0447998;0.119999997;65.26636012;2.404249998
990.0760498;0.129999995;65.28303035;2.504249998
1045.9823;0.140000001;65.29954799;2.604249998
1100.3573;0.150000006;65.31615719;2.704249998
1152.5448;0.155000001;65.33304104;2.804249998
1193.904175;0.165000007;65.34955105;2.904249998
1236.1073;0.170000002;65.36625943;3.004249998
1287.82605;0.179974362;65.38297543;3.104249998
1339.2948;0.189974368;65.39946255;3.204249998
1390.4823;0.194999993;65.41630063;3.304249998
1440.32605;0.209999993;65.43310055;3.404249998
1488.88855;0.219999999;65.44964108;3.504249998
1537.13855;0.230000004;65.46620449;3.604249998
1584.57605;0.239999995;65.48267636;3.704249998
1632.32605;0.25;65.49956021;3.804249998
1680.0448;0.25999999;65.5164822;3.904249998
1726.5448;0.270000011;65.5330151;4.004249998
1772.3573;0.279974371;65.54962429;4.104249998
1818.07605;0.289999992;65.56619534;4.204249998
1863.51355;0.294999987;65.58272061;4.304249998
1909.1073;0.310000002;65.59961972;4.404249998
1953.76355;0.314999998;65.61627469;4.504249998
1997.70105;0.329974353;65.63302884;4.604249998
2041.01355;0.335000008;65.64966092;4.704249998
2084.044922;0.344999999;65.66611752;4.804249998
2128.544922;0.354999989;65.683009;4.904249998
2171.669922;0.36497438;65.69960293;5.004249998
2214.076172;0.370000005;65.71618161;5.104249998
2256.419922;0.379999995;65.7329205;5.204249998
2298.357422;0.389974356;65.74946866;5.304249998
2340.419922;0.395000011;65.7662991;5.404249998
2382.951172;0.404974371;65.78310666;5.504249998
2424.169922;0.414974362;65.79973111;5.604249998
2465.044922;0.424974352;65.81634793;5.704249998
2504.888672;0.434974372;65.83265957;5.804249998
2546.076172;0.439999998;65.84941372;5.904249998
2587.669922;0.449974358;65.8664349;6.004249998
2628.201172;0.455000013;65.8830975;6.104249998
2668.388672;0.460000008;65.8996304;6.204249998
2708.498047;0.469999999;65.91624722;6.304249998
2748.623047;0.479999989;65.93277249;6.404249998
2789.748047;0.485000014;65.94965634;6.504249998
2829.107422;0.49000001;65.96622738;6.604249998
2868.30249;0.495000005;65.98293498;6.704249998
2906.77124;0.5;65.99967387;6.804249998
2945.880615;0.504999995;66.01616862;6.904249998
2986.11499;0.50999999;66.03299144;7.004249998
3025.70874;0.514999986;66.0497227;7.104249998
3064.30249;0.519999981;66.06626323;7.204249998
3102.974365;0.524999976;66.08290294;7.304249998
3141.411865;0.534999967;66.09939769;7.404249998
3180.52124;0.540000021;66.11624339;7.504249998
3219.52124;0.545000017;66.1330891;7.604249998
3257.161865;0.550000012;66.14971355;7.704249998
3294.83374;0.555000007;66.16637614;7.804249998
3333.11499;0.560000002;66.18276408;7.904249998
3371.911865;0.569974363;66.19933513;8.004249998
3411.161865;0.569999993;66.21636394;8.104249998
3448.80249;0.574999988;66.23304942;8.204249998
3486.36499;0.584999979;66.24970439;8.304249998
3524.02124;0.589999974;66.26618388;8.404249998
3561.23999;0.595000029;66.28283885;8.504249998
3599.474365;0.605000019;66.29971507;8.604249998
3636.161865;0.610000014;66.31624034;8.704249998
3673.068115;0.61500001;66.33283427;8.804249998
3710.255615;0.620000005;66.34957317;8.904249998
3747.443115;0.629999995;66.36618236;9.004249998
3785.255615;0.63499999;66.38297466;9.104249998
3822.380615;0.63499999;66.39973643;9.204249998
3859.193115;0.639999986;66.41630748;9.304249998
3895.943115;0.649974346;66.43293956;9.404249998
3931.661865;0.654999971;66.44938091;9.504249998
3967.83374;0.654999971;66.46612743;9.604249998
4004.599365;0.664974391;66.48310283;9.704249998
4040.36499;0.670000017;66.49972728;9.804249998
4077.05249;0.675000012;66.51640514;9.904249998
4113.333496;0.675000012;66.53290752;10.00425
4149.911621;0.680000007;66.54940227;10.10425
4186.645996;0.689974368;66.56627086;10.20425
4222.302246;0.694999993;66.58294872;10.30425
4257.786621;0.699999988;66.59966472;10.40425
4293.474121;0.704999983;66.61631969;10.50425
4328.349121;0.709999979;66.63276866;10.60425
4364.208496;0.714999974;66.64968303;10.70425
4400.489746;0.714999974;66.6663914;10.80425
4435.645996;0.720000029;66.68285564;10.90425
4471.645996;0.729974389;66.69955638;11.00425
4506.974121;0.730000019;66.71611217;11.10425
4542.989746;0.735000014;66.73298076;11.20425
4578.614746;0.74000001;66.7497578;11.30425
4613.255371;0.74997437;66.76632121;11.40425
4648.083496;0.754999995;66.78302959;11.50425
4681.770996;0.75999999;66.79942516;11.60425
4716.130371;0.769999981;66.8160483;11.70425
4751.552246;0.774999976;66.83303896;11.80425
4785.567871;0.779999971;66.84972444;11.90425
4820.270996;0.790000021;66.86640993;12.00425
4854.489746;0.795000017;66.8828589;12.10425
4888.864746;0.795000017;66.89944521;12.20425
4924.224121;0.800000012;66.91628328;12.30425
4957.958496;0.805000007;66.93290773;12.40425
4990.880371;0.810000002;66.94961611;12.50425
5024.145996;0.810000002;66.96630922;12.60425
5056.802246;0.814999998;66.98280397;12.70425
5090.849121;0.819999993;66.99961916;12.80425
5125.208496;0.824999988;67.01642671;12.90425
5158.833496;0.829999983;67.03293672;13.00425
5193.020996;0.834999979;67.04953829;13.10425
5226.099121;0.839974344;67.06597951;13.20425
5260.099121;0.845000029;67.08287862;13.30425
5293.958496;0.850000024;67.09983876;13.40425
5326.911621;0.855000019;67.11632589;13.50425
5359.817871;0.860000014;67.13298085;13.60425
5392.911621;0.869974375;67.14952901;13.70425
5426.099121;0.870000005;67.16604665;13.80425
5460.083496;0.875;67.1829305;13.90425
5493.099121;0.88497436;67.19963124;14.00425
5525.833496;0.889999986;67.2163854;14.10425
5558.974121;0.894999981;67.23294118;14.20425
5591.489746;0.899999976;67.24948934;14.30425
5624.692871;0.909974337;67.26633504;14.40425
5656.786621;0.915000021;67.28292134;14.50425
5688.067871;0.920000017;67.29959157;14.60425
5720.270996;0.925000012;67.31628469;14.70425
5751.864746;0.930000007;67.33277944;14.80425
5784.145996;0.935000002;67.34963277;14.90425
5816.724121;0.939999998;67.36644033;15.00425
5848.583496;0.944999993;67.38302663;15.10425
5880.239746;0.949999988;67.39969686;15.20425
5910.567871;0.954999983;67.41597036;15.30425
5940.411621;0.954999983;67.43273214;15.40425
5967.114746;0.959999979;67.44978383;15.50425
5928.380371;0.964999974;67.46645406;15.60425
5959.700684;0.969999969;67.48296407;15.70425
6001.138184;0.974974394;67.49956563;15.80425
6039.856934;0.975000024;67.51614431;15.90425
6078.935059;0.980000019;67.53298238;16.00425
6115.716309;0.985000014;67.54953817;16.10425
