Non-bionmin S3;Non-bionmin S3;Non-bionmin S3;Non-bionmin S3;Non-bionmin S3
Deformation;Standard force;Standard travel;SG1;Test time
mm;N;mm;V;s
0.348127633;1749.361816;0.348127633;0;11.3
0.351457477;1763.715576;0.351457477;0;11.4
0.354775339;1778.052124;0.354775339;0;11.5
0.358119875;1792.55835;0.358119875;0;11.6
0.36146605;1807.324829;0.36146605;0;11.7
0.364788324;1821.696899;0.364788324;0;11.8
0.368095577;1835.68811;0.368095577;0;11.9
0.371427149;1849.664551;0.371427149;0;12
0.37475118;1863.565308;0.37475118;0;12.1
0.378094554;1877.499146;0.378094554;0;12.2
0.381441534;1891.74707;0.381441534;0;12.3
0.384773344;1905.964722;0.384773344;0;12.4
0.38811034;1919.822388;0.38811034;0;12.5
0.391439885;1933.585571;0.391439885;0;12.6
0.394774109;1947.172485;0.394774109;0;12.7
0.398102194;1960.655151;0.398102194;0;12.8
0.401423186;1973.956909;0.401423186;0;12.9
0.404765725;1987.572998;0.404765725;0;13
0.408115238;2001.374634;0.408115238;0;13.1
0.411445439;2014.850464;0.411445439;0;13.2
0.414790332;2028.250488;0.414790332;0;13.3
0.418124825;2041.593628;0.418124825;0;13.4
0.421463549;2054.739014;0.421463549;0;13.5
0.424802661;2067.908447;0.424802661;0;13.6
0.428112835;2081.165527;0.428112835;0;13.7
0.431424409;2094.343018;0.431424409;0;13.8
0.434756726;2107.245361;0.434756726;0;13.9
0.438122809;2119.985596;0.438122809;0;14
0.441445559;2132.601563;0.441445559;0;14.1
0.444790959;2145.217773;0.444790959;0;14.2
0.448125005;2157.822021;0.448125005;0;14.3
0.451444209;2170.646729;0.451444209;0;14.4
0.454771399;2183.462402;0.454771399;0;14.5
0.458093703;2195.686279;0.458093703;0;14.6
0.461418778;2207.887207;0.461418778;0;14.7
0.464757472;2220.206055;0.464757472;0;14.8
0.468099028;2232.489502;0.468099028;0;14.9
0.471425474;2245.112305;0.471425474;0;15
0.474763036;2257.831055;0.474763036;0;15.1
0.47810331;2270.31665;0.47810331;0;15.2
0.481458902;2282.435547;0.481458902;0;15.3
0.484788299;2294.074951;0.484788299;0;15.4
0.488110334;2305.559082;0.488110334;0;15.5
0.491435498;2316.982666;0.491435498;0;15.6
0.494774878;2328.570557;0.494774878;0;15.7
0.498102456;2340.421387;0.498102456;0;15.8
0.501454949;2352.115723;0.501454949;0;15.9
0.50478512;2363.428467;0.50478512;0;16
0.508131206;2374.791992;0.508131206;0;16.1
0.511460006;2386.016846;0.511460006;0;16.2
0.514785945;2397.225342;0.514785945;0;16.3
0.518107712;2408.817871;0.518107712;0;16.4
0.521454096;2420.314453;0.521454096;0;16.5
0.524775505;2431.303955;0.524775505;0;16.6
0.528103352;2442.112793;0.528103352;0;16.7
0.531446755;2452.794922;0.531446755;0;16.8
0.534756839;2463.522949;0.534756839;0;16.9
0.538089514;2474.323242;0.538089514;0;17
0.5414415;2485.303711;0.5414415;0;17.1
0.544760406;2496.141357;0.544760406;0;17.2
0.548095644;2506.559814;0.548095644;0;17.3
0.551420867;2516.867188;0.551420867;0;17.4
0.554769099;2527.299805;0.554769099;0;17.5
0.558109701;2537.779541;0.558109701;0;17.6
0.561450779;2548.346191;0.561450779;0;17.7
0.564797401;2559.207031;0.564797401;0;17.8
0.568147719;2569.795654;0.568147719;0;17.9
0.571462035;2579.819336;0.571462035;0;18
0.574786901;2589.575684;0.574786901;0;18.1
0.578125775;2599.321777;0.578125775;0;18.2
0.581441522;2609.10376;0.581441522;0;18.3
0.584783316;2618.852783;0.584783316;0;18.4
0.588126242;2629.020264;0.588126242;0;18.5
0.591450214;2639.077637;0.591450214;0;18.6
0.594775975;2648.680908;0.594775975;0;18.7
0.598107517;2658.232422;0.598107517;0;18.8
0.601445079;2667.817383;0.601445079;0;18.9
0.604765832;2677.285645;0.604765832;0;19
0.608093202;2686.955322;0.608093202;0;19.1
0.611417949;2696.765625;0.611417949;0;19.2
0.614739418;2706.404053;0.614739418;0;19.3
0.618074298;2715.702148;0.618074298;0;19.4
0.621416807;2724.934082;0.621416807;0;19.5
0.624771476;2734.170166;0.624771476;0;19.6
0.628125668;2743.304932;0.628125668;0;19.7
0.631469607;2752.400635;0.631469607;0;19.8
0.634778857;2761.691895;0.634778857;0;19.9
0.63812691;2770.841309;0.63812691;0;20
0.641462564;2779.669434;0.641462564;0;20.1
0.644788802;2788.59082;0.644788802;0;20.2
0.648119688;2797.331299;0.648119688;0;20.3
0.651448667;2805.903809;0.651448667;0;20.4
0.654788971;2814.821045;0.654788971;0;20.5
0.658116102;2823.715576;0.658116102;0;20.6
0.661442518;2832.322266;0.661442518;0;20.7
0.664770722;2840.610107;0.664770722;0;20.8
0.668101668;2848.772705;0.668101668;0;20.9
0.671426117;2856.843262;0.671426117;0;21
0.67475456;2864.941895;0.67475456;0;21.1
0.67809695;2873.320801;0.67809695;0;21.2
0.681431115;2881.958008;0.681431115;0;21.3
0.684768856;2890.327637;0.684768856;0;21.4
0.688116252;2898.504395;0.688116252;0;21.5
0.691435575;2906.519287;0.691435575;0;21.6
0.694779754;2914.373047;0.694779754;0;21.7
0.698115706;2922.458008;0.698115706;0;21.8
0.701455891;2930.893311;0.701455891;0;21.9
0.704798937;2939.186035;0.704798937;0;22
0.708137691;2947.175781;0.708137691;0;22.1
0.711472809;2954.947754;0.711472809;0;22.2
0.714802444;2962.524658;0.714802444;0;22.3
0.718132496;2969.95166;0.718132496;0;22.4
0.721455634;2977.386719;0.721455634;0;22.5
0.724797785;2985.288574;0.724797785;0;22.6
0.728119671;2993.009277;0.728119671;0;22.7
0.731444597;3000.296631;0.731444597;0;22.8
0.734763682;3007.475098;0.734763682;0;22.9
0.738103926;3014.799072;0.738103926;0;23
0.741437018;3022.150146;0.741437018;0;23.1
0.74479723;3029.870361;0.74479723;0;23.2
0.748112977;3037.523193;0.748112977;0;23.3
0.751445651;3044.710693;0.751445651;0;23.4
0.754757524;3051.794189;0.754757524;0;23.5
0.758101761;3058.749268;0.758101761;0;23.6
0.761433721;3065.835205;0.761433721;0;23.7
0.764766812;3073.036865;0.764766812;0;23.8
0.768098593;3080.436523;0.768098593;0;23.9
0.771447361;3088.134766;0.771447361;0;24
0.774782181;3095.549072;0.774782181;0;24.1
0.778123796;3102.337891;0.778123796;0;24.2
0.78145647;3109.286621;0.78145647;0;24.3
0.784788787;3116.320313;0.784788787;0;24.4
0.78812331;3123.22876;0.78812331;0;24.5
0.791446686;3130.442139;0.791446686;0;24.6
0.794770837;3137.62793;0.794770837;0;24.7
0.79809165;3144.422852;0.79809165;0;24.8
0.801446438;3150.970947;0.801446438;0;24.9
0.804782927;3157.273926;0.804782927;0;25
0.808103204;3163.582764;0.808103204;0;25.1
0.811447144;3170.074219;0.811447144;0;25.2
0.814762771;3176.831055;0.814762771;0;25.3
0.818106532;3183.773438;0.818106532;0;25.4
0.821442127;3190.469238;0.821442127;0;25.5
0.824768186;3196.81543;0.824768186;0;25.6
0.828106046;3203.262207;0.828106046;0;25.7
0.831440866;3209.599609;0.831440866;0;25.8
0.834770381;3215.893311;0.834770381;0;25.9
0.838092864;3222.439453;0.838092864;0;26
0.841429293;3229.120117;0.841429293;0;26.1
0.844785631;3235.469482;0.844785631;0;26.2
0.848129451;3241.682617;0.848129451;0;26.3
0.851463556;3247.715576;0.851463556;0;26.4
0.854790807;3253.695801;0.854790807;0;26.5
0.858126223;3259.726563;0.858126223;0;26.6
0.861466944;3266.108398;0.861466944;0;26.7
0.864788115;3272.562256;0.864788115;0;26.8
0.868117929;3278.559814;0.868117929;0;26.9
0.871466517;3284.521484;0.871466517;0;27
0.874798894;3290.456543;0.874798894;0;27.1
0.878124058;3296.265381;0.878124058;0;27.2
0.881456077;3302.359375;0.881456077;0;27.3
0.884793222;3308.770508;0.884793222;0;27.4
0.888120234;3315.005371;0.888120234;0;27.5
0.891446412;3320.863037;0.891446412;0;27.6
0.894769371;3326.534668;0.894769371;0;27.7
0.89808768;3331.884766;0.89808768;0;27.8
0.90143019;3337.04126;0.90143019;0;27.9
0.904757857;3342.668457;0.904757857;0;28
0.908096135;3348.798828;0.908096135;0;28.1
0.911431253;3355.009277;0.911431253;0;28.2
0.914762676;3360.731934;0.914762676;0;28.3
0.918102384;3366.618164;0.918102384;0;28.4
0.921442926;3372.363525;0.921442926;0;28.5
0.924785852;3377.964844;0.924785852;0;28.6
0.928131998;3384.049805;0.928131998;0;28.7
0.93146795;3390.148926;0.93146795;0;28.8
0.934790492;3395.865967;0.934790492;0;28.9
0.938120902;3401.192871;0.938120902;0;29
0.941452205;3406.431885;0.941452205;0;29.1
0.944777608;3411.505615;0.944777608;0;29.2
0.948119938;3416.57251;0.948119938;0;29.3
0.951445401;3421.884033;0.951445401;0;29.4
0.954777181;3427.375;0.954777181;0;29.5
0.958099544;3432.723145;0.958099544;0;29.6
0.961436629;3437.86377;0.961436629;0;29.7
0.964761317;3443.075928;0.964761317;0;29.8
0.968099892;3448.33252;0.968099892;0;29.9
0.971432447;3453.594971;0.971432447;0;30
0.974761069;3459.289307;0.974761069;0;30.1
0.978087246;3464.928223;0.978087246;0;30.2
0.981422246;3470.092773;0.981422246;0;30.3
0.984758854;3474.940918;0.984758854;0;30.4
0.988109052;3479.781006;0.988109052;0;30.5
0.991461337;3484.667969;0.991461337;0;30.6
0.994808078;3489.563721;0.994808078;0;30.7
0.998138785;3494.809082;0.998138785;0;30.8
1.001478672;3500.119385;1.001478672;0;30.9
1.004808187;3504.905273;1.004808187;0;31
1.0081321;3509.532715;1.0081321;0;31.1
1.011467934;3514.228271;1.011467934;0;31.2
1.014785647;3518.918701;1.014785647;0;31.3
1.01812613;3523.902588;1.01812613;0;31.4
1.021439552;3529.000244;1.021439552;0;31.5
1.024793386;3533.912109;1.024793386;0;31.6
1.028124332;3538.474609;1.028124332;0;31.7
1.031448007;3542.648193;1.031448007;0;31.8
1.034775496;3546.761719;1.034775496;0;31.9
1.038093328;3550.945801;1.038093328;0;32
1.041422248;3555.332764;1.041422248;0;32.1
1.044748545;3560.084717;1.044748545;0;32.2
1.048095822;3564.679688;1.048095822;0;32.3
1.05143261;3568.688477;1.05143261;0;32.4
1.054767728;3572.450439;1.054767728;0;32.5
1.058116674;3576.467773;1.058116674;0;32.6
1.061436653;3580.806641;1.061436653;0;32.7
1.064787269;3585.53833;1.064787269;0;32.8
1.068130612;3590.316162;1.068130612;0;32.9
1.07145822;3594.940674;1.07145822;0;33
1.074800491;3599.113281;1.074800491;0;33.1
1.078131437;3603.030518;1.078131437;0;33.2
1.081455708;3606.852051;1.081455708;0;33.3
1.084775567;3610.718262;1.084775567;0;33.4
1.088128924;3614.925781;1.088128924;0;33.5
1.091459513;3619.225342;1.091459513;0;33.6
1.094788432;3623.153809;1.094788432;0;33.7
1.098100543;3626.768555;1.098100543;0;33.8
1.101418614;3630.354492;1.101418614;0;33.9
1.104755163;3633.90332;1.104755163;0;34
1.108085632;3637.420898;1.108085632;0;34.1
1.11143589;3641.240234;1.11143589;0;34.2
1.114774942;3645.092285;1.114774942;0;34.3
1.118107557;3648.694824;1.118107557;0;34.4
1.121437669;3652.003174;1.121437669;0;34.5
1.124773502;3655.091553;1.124773502;0;34.6
1.12810719;3657.981689;1.12810719;0;34.7
1.1314224;3660.811035;1.1314224;0;34.8
1.134772301;3663.960449;1.134772301;0;34.9
1.138111711;3667.218994;1.138111711;0;35
1.141451716;3669.974609;1.141451716;0;35.1
1.144793034;3672.598877;1.144793034;0;35.2
1.148134589;3675.268799;1.148134589;0;35.3
1.151471972;3677.684082;1.151471972;0;35.4
1.154788852;3680.069092;1.154788852;0;35.5
