Non-bionmin S6,Non-bionmin S6,Non-bionmin S6,Non-bionmin S6,Non-bionmin S6
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,54.71360397,0,0,0
4.18E-08,54.52920532,4.18E-08,0,0.1
-9.40E-07,54.38535309,-9.40E-07,0,0.2
-1.06E-06,54.25096893,-1.06E-06,0,0.3
3.36E-06,54.13165283,3.36E-06,0,0.4
0.000218114,54.23807144,0.000218114,0,0.5
0.000842849,54.91154861,0.000842849,0,0.6
0.001778523,55.95308304,0.001778523,0,0.7
0.003031829,57.29206467,0.003031829,0,0.8
0.004625571,58.7851181,0.004625571,0,0.9
0.006537564,60.44173813,0.006537564,0,1
0.008801113,62.27737808,0.008801113,0,1.1
0.01139356,64.41087341,0.01139356,0,1.2
0.014315497,66.94471741,0.014315497,0,1.3
0.017572042,69.81277466,0.017572042,0,1.4
0.02090355,72.66660309,0.02090355,0,1.5
0.024238694,75.62436676,0.024238694,0,1.6
0.027594436,78.53092194,0.027594436,0,1.7
0.030953389,81.31278992,0.030953389,0,1.8
0.034263808,83.95514679,0.034263808,0,1.9
0.037592463,86.36679077,0.037592463,0,2
0.040918108,88.460289,0.040918108,0,2.1
0.04426894,89.8952713,0.04426894,0,2.2
0.047591906,90.10762024,0.047591906,0,2.3
0.050913718,90.58821106,0.050913718,0,2.4
0.054246467,93.05277252,0.054246467,0,2.5
0.057571214,96.24343872,0.057571214,0,2.6
0.060905628,100.2570496,0.060905628,0,2.7
0.064242326,105.029686,0.064242326,0,2.8
0.067574233,110.2315292,0.067574233,0,2.9
0.070890903,115.736969,0.070890903,0,3
0.074217156,121.4364395,0.074217156,0,3.1
0.077551164,127.2171555,0.077551164,0,3.2
0.080884114,132.9788513,0.080884114,0,3.3
0.084220722,138.7557678,0.084220722,0,3.4
0.087574393,144.5656738,0.087574393,0,3.5
0.090920717,150.3634186,0.090920717,0,3.6
0.094262362,156.1983795,0.094262362,0,3.7
0.09759032,162.1524048,0.09759032,0,3.8
0.100935183,168.102478,0.100935183,0,3.9
0.104263425,173.9598236,0.104263425,0,4
0.107593566,179.8506775,0.107593566,0,4.1
0.110917747,185.6965485,0.110917747,0,4.2
0.114267297,191.6011658,0.114267297,0,4.3
0.117591903,197.6537628,0.117591903,0,4.4
0.120910116,203.766037,0.120910116,0,4.5
0.124237634,209.8427429,0.124237634,0,4.6
0.127590746,215.9223175,0.127590746,0,4.7
0.130921945,221.9537964,0.130921945,0,4.8
0.134236321,227.9970856,0.134236321,0,4.9
0.137558416,234.0210114,0.137558416,0,5
0.140891179,240.1446381,0.140891179,0,5.1
0.144216642,246.4020081,0.144216642,0,5.2
0.147557989,252.5735168,0.147557989,0,5.3
0.150905639,258.7478638,0.150905639,0,5.4
0.154239163,264.9370728,0.154239163,0,5.5
0.157567337,271.1699829,0.157567337,0,5.6
0.160915449,277.4132385,0.160915449,0,5.7
0.164254472,283.8291016,0.164254472,0,5.8
0.167586997,290.2709656,0.167586997,0,5.9
0.170939192,296.6444397,0.170939192,0,6
0.174268544,302.9458008,0.174268544,0,6.1
0.177594051,309.2099609,0.177594051,0,6.2
0.180935591,315.4642334,0.180935591,0,6.3
0.18424733,321.7788086,0.18424733,0,6.4
0.187595725,328.2473145,0.187595725,0,6.5
0.190934539,334.6873779,0.190934539,0,6.6
0.194246203,341.0149231,0.194246203,0,6.7
0.197569683,347.3625488,0.197569683,0,6.8
0.200909063,353.8096008,0.200909063,0,6.9
0.204228863,360.2476501,0.204228863,0,7
0.207574219,366.8351746,0.207574219,0,7.1
0.210911185,373.5646362,0.210911185,0,7.2
0.214227751,380.2016907,0.214227751,0,7.3
0.217556521,386.6773376,0.217556521,0,7.4
0.220901266,393.1415405,0.220901266,0,7.5
0.224234506,399.6500244,0.224234506,0,7.6
0.227563441,406.2391663,0.227563441,0,7.7
0.23090665,412.9912109,0.23090665,0,7.8
0.234242439,420.0319824,0.234242439,0,7.9
0.237583056,427.1193237,0.237583056,0,8
0.240902126,434.2166138,0.240902126,0,8.1
0.244251147,441.6045532,0.244251147,0,8.2
0.24760592,449.1987,0.24760592,0,8.3
0.250939041,456.9507141,0.250939041,0,8.4
0.254250526,465.0396423,0.254250526,0,8.5
0.257570893,473.3329468,0.257570893,0,8.6
0.260919094,481.706665,0.260919094,0,8.7
0.264243186,490.164032,0.264243186,0,8.8
0.267588884,498.6611633,0.267588884,0,8.9
0.270910233,507.4260864,0.270910233,0,9
0.274244934,516.3924561,0.274244934,0,9.1
0.277589589,525.8470459,0.277589589,0,9.2
0.280904591,535.8250122,0.280904591,0,9.3
0.284249485,546.1101685,0.284249485,0,9.4
0.287570953,556.8019409,0.287570953,0,9.5
0.290900707,568.2243652,0.290900707,0,9.6
0.294233263,580.1235352,0.294233263,0,9.7
0.297576189,592.3913574,0.297576189,0,9.8
0.300884992,605.2366333,0.300884992,0,9.9
0.304225862,618.4619751,0.304225862,0,10
0.307585031,631.9610596,0.307585031,0,10.1
0.310924113,645.7097168,0.310924113,0,10.2
0.314254314,659.6077271,0.314254314,0,10.3
0.317586571,673.8460083,0.317586571,0,10.4
0.320921481,688.3568115,0.320921481,0,10.5
0.324246138,703.3479004,0.324246138,0,10.6
0.327576369,718.6973877,0.327576369,0,10.7
0.330922395,734.019104,0.330922395,0,10.8
0.334259599,749.4873657,0.334259599,0,10.9
0.33760488,764.9406738,0.33760488,0,11
0.340921074,780.3302612,0.340921074,0,11.1
0.344245583,796.1026611,0.344245583,0,11.2
0.347585708,812.2333984,0.347585708,0,11.3
0.350911736,828.3405762,0.350911736,0,11.4
0.354238123,844.2349243,0.354238123,0,11.5
0.357567966,859.9367065,0.357567966,0,11.6
0.360896528,875.5352783,0.360896528,0,11.7
0.364219755,891.0736084,0.364219755,0,11.8
