BIOMIN Stir4,BIOMIN Stir4,BIOMIN Stir4,BIOMIN Stir4,BIOMIN Stir4
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,58.17485046,0,0,0
-5.45E-06,57.89038467,-5.45E-06,0,0.1
-2.64E-06,57.67404938,-2.64E-06,0,0.2
-2.81E-06,57.47711182,-2.81E-06,0,0.3
5.72E-06,57.33221054,5.72E-06,0,0.4
0.000298107,57.64900589,0.000298107,0,0.5
0.000957441,58.72873688,0.000957441,0,0.6
0.001924067,60.41111755,0.001924067,0,0.7
0.003240989,62.65496826,0.003240989,0,0.8
0.004863885,65.47431946,0.004863885,0,0.9
0.006841026,68.83496094,0.006841026,0,1
0.009154584,72.74462891,0.009154584,0,1.1
0.011804366,77.045784,0.011804366,0,1.2
0.014778074,81.6980896,0.014778074,0,1.3
0.01803101,86.69298553,0.01803101,0,1.4
0.021378765,91.87233734,0.021378765,0,1.5
0.02473606,97.1232605,0.02473606,0,1.6
0.028059896,102.444191,0.028059896,0,1.7
0.031369668,107.8753815,0.031369668,0,1.8
0.03470169,113.3617401,0.03470169,0,1.9
0.038032923,118.7573471,0.038032923,0,2
0.041370653,124.1562805,0.041370653,0,2.1
0.044705532,129.530014,0.044705532,0,2.2
0.048052672,134.9415741,0.048052672,0,2.3
0.051378332,140.4300537,0.051378332,0,2.4
0.054703631,145.9788971,0.054703631,0,2.5
0.058043715,151.5909882,0.058043715,0,2.6
0.061377339,157.0804596,0.061377339,0,2.7
0.064711384,162.6805115,0.064711384,0,2.8
0.068044186,168.2902374,0.068044186,0,2.9
0.071358576,173.8512115,0.071358576,0,3
0.074694581,179.4905243,0.074694581,0,3.1
0.078013696,185.2319641,0.078013696,0,3.2
0.081362799,190.9414825,0.081362799,0,3.3
0.084705539,196.6234894,0.084705539,0,3.4
0.088061266,202.4165649,0.088061266,0,3.5
0.09138146,208.2333069,0.09138146,0,3.6
0.09471073,214.0815887,0.09471073,0,3.7
0.098048881,220.0482025,0.098048881,0,3.8
0.101389602,226.2116699,0.101389602,0,3.9
0.104707733,232.4093475,0.104707733,0,4
0.108055606,238.696991,0.108055606,0,4.1
0.111394688,245.2014771,0.111394688,0,4.2
0.114720523,251.9079285,0.114720523,0,4.3
0.118057676,259.2337646,0.118057676,0,4.4
0.121375017,268.0290833,0.121375017,0,4.5
0.124713421,278.4147949,0.124713421,0,4.6
0.128030211,289.4511108,0.128030211,0,4.7
0.131375536,300.8652649,0.131375536,0,4.8
0.134695381,312.4455261,0.134695381,0,4.9
0.138017744,324.2506104,0.138017744,0,5
0.14134337,336.2545166,0.14134337,0,5.1
0.144713089,348.6372986,0.144713089,0,5.2
0.148026556,361.465332,0.148026556,0,5.3
0.151359722,374.3534546,0.151359722,0,5.4
0.154682457,387.3764343,0.154682457,0,5.5
0.158023924,400.959137,0.158023924,0,5.6
0.161365479,414.8955688,0.161365479,0,5.7
0.164708376,429.2579041,0.164708376,0,5.8
0.168048814,444.4056702,0.168048814,0,5.9
0.171404928,459.7881775,0.171404928,0,6
0.174728036,475.1776123,0.174728036,0,6.1
0.178053871,490.8004456,0.178053871,0,6.2
0.181386963,506.4920654,0.181386963,0,6.3
0.184711769,522.2072754,0.184711769,0,6.4
0.18804808,538.1027832,0.18804808,0,6.5
0.191369027,554.4238892,0.191369027,0,6.6
0.194695219,570.8846436,0.194695219,0,6.7
0.198036939,587.2246704,0.198036939,0,6.8
0.201351017,603.5723267,0.201351017,0,6.9
0.204701364,620.1771851,0.204701364,0,7
0.208043724,636.774231,0.208043724,0,7.1
0.211364031,653.6467285,0.211364031,0,7.2
0.214690074,670.850769,0.214690074,0,7.3
0.21802783,688.0004883,0.21802783,0,7.4
0.221363857,704.7747803,0.221363857,0,7.5
0.224679902,721.4359741,0.224679902,0,7.6
0.22803773,738.2097778,0.22803773,0,7.7
0.231385678,755.010376,0.231385678,0,7.8
0.234730959,771.9683838,0.234730959,0,7.9
0.238064021,789.0794067,0.238064021,0,8
0.241392091,806.1749878,0.241392091,0,8.1
0.2447301,822.9177856,0.2447301,0,8.2
0.248060599,839.5919189,0.248060599,0,8.3
0.251371771,856.1693115,0.251371771,0,8.4
0.254715532,872.937439,0.254715532,0,8.5
0.258048236,889.9190063,0.258048236,0,8.6
0.26137656,906.8862915,0.26137656,0,8.7
0.264702052,923.5962524,0.264702052,0,8.8
0.268054098,940.0749512,0.268054098,0,8.9
0.271365911,956.3282471,0.271365911,0,9
0.274694443,972.5053711,0.274694443,0,9.1
0.278019488,988.8513794,0.278019488,0,9.2
0.281339079,1005.387024,0.281339079,0,9.3
0.284669548,1022.120361,0.284669548,0,9.4
0.288026989,1038.452271,0.288026989,0,9.5
0.291364491,1054.59375,0.291364491,0,9.6
0.294697106,1070.774658,0.294697106,0,9.7
0.298036575,1086.910156,0.298036575,0,9.8
0.301360935,1103.141724,0.301360935,0,9.9
0.304710239,1119.693359,0.304710239,0,10
0.308045208,1136.089722,0.308045208,0,10.1
0.311375588,1151.99585,0.311375588,0,10.2
0.314722508,1167.710693,0.314722508,0,10.3
0.318058342,1183.195801,0.318058342,0,10.4
0.321374983,1198.615479,0.321374983,0,10.5
0.324706078,1214.122314,0.324706078,0,10.6
0.328047782,1229.876587,0.328047782,0,10.7
0.331373274,1245.615967,0.331373274,0,10.8
0.334704548,1260.98999,0.334704548,0,10.9
0.338018119,1276.181641,0.338018119,0,11
0.341354936,1291.41748,0.341354936,0,11.1
0.344682276,1306.577148,0.344682276,0,11.2
0.348037273,1321.938232,0.348037273,0,11.3
0.35139063,1337.606201,0.35139063,0,11.4
0.354716688,1353.116943,0.354716688,0,11.5
0.358040899,1368.449219,0.358040899,0,11.6
0.361372769,1383.725098,0.361372769,0,11.7
