Non-bionmin S4,Non-bionmin S4,Non-bionmin S4,Non-bionmin S4,Non-bionmin S4
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,65.06038666,0,0,0
9.05E-08,64.84341431,9.05E-08,0,0.1
-4.64E-06,64.66357422,-4.64E-06,0,0.2
2.99E-07,64.50552368,2.99E-07,0,0.3
1.52E-05,64.39305878,1.52E-05,0,0.4
0.000347455,65.21490479,0.000347455,0,0.5
0.001028612,67.40293884,0.001028612,0,0.6
0.002026398,70.49452972,0.002026398,0,0.7
0.003360873,74.46690369,0.003360873,0,0.8
0.005027123,79.29589844,0.005027123,0,0.9
0.007033014,85.13703918,0.007033014,0,1
0.009357114,92.15155029,0.009357114,0,1.1
0.012009208,100.4871445,0.012009208,0,1.2
0.015016994,110.0195923,0.015016994,0,1.3
0.018300144,120.3834381,0.018300144,0,1.4
0.02164086,131.1363068,0.02164086,0,1.5
0.024968129,141.8709106,0.024968129,0,1.6
0.028286081,152.66362,0.028286081,0,1.7
0.031628307,163.6754608,0.031628307,0,1.8
0.034971848,175.1210175,0.034971848,0,1.9
0.038305797,186.7881317,0.038305797,0,2
0.041629236,198.5203094,0.041629236,0,2.1
0.044958349,210.4893494,0.044958349,0,2.2
0.04829831,222.744751,0.04829831,0,2.3
0.051635664,234.9940338,0.051635664,0,2.4
0.054990526,247.5199432,0.054990526,0,2.5
0.058339417,260.3620911,0.058339417,0,2.6
0.061672099,273.1102295,0.061672099,0,2.7
0.064997494,285.8641663,0.064997494,0,2.8
0.068326704,298.7457886,0.068326704,0,2.9
0.071658649,311.7648315,0.071658649,0,3
0.074991435,324.9045715,0.074991435,0,3.1
0.078315839,338.3429871,0.078315839,0,3.2
0.08165475,352.1816101,0.08165475,0,3.3
0.084966786,366.1769104,0.084966786,0,3.4
0.088302255,379.945282,0.088302255,0,3.5
0.091637306,393.9284973,0.091637306,0,3.6
0.094978228,408.0961609,0.094978228,0,3.7
0.098304637,422.3505249,0.098304637,0,3.8
0.101631753,436.9772949,0.101631753,0,3.9
0.104958661,451.7080994,0.104958661,0,4
0.108291261,466.3157349,0.108291261,0,4.1
0.111626476,480.734375,0.111626476,0,4.2
0.114967547,495.1034851,0.114967547,0,4.3
0.11831595,509.6099854,0.11831595,0,4.4
0.121653609,524.1240234,0.121653609,0,4.5
0.125019103,539.0224609,0.125019103,0,4.6
0.128328696,554.1276855,0.128328696,0,4.7
0.131662086,569.0701904,0.131662086,0,4.8
0.134989232,583.7642212,0.134989232,0,4.9
0.138330176,598.5137329,0.138330176,0,5
0.141639009,613.2304077,0.141639009,0,5.1
0.144991368,628.3515015,0.144991368,0,5.2
0.148309857,643.7542114,0.148309857,0,5.3
0.151642591,659.1150513,0.151642591,0,5.4
0.154979914,674.4017944,0.154979914,0,5.5
0.158309788,689.557251,0.158309788,0,5.6
0.161636412,704.7318115,0.161636412,0,5.7
0.164945036,719.9227295,0.164945036,0,5.8
0.168272793,735.2597656,0.168272793,0,5.9
0.171602219,750.8457642,0.171602219,0,6
0.174937576,766.4938354,0.174937576,0,6.1
0.178288028,781.7905273,0.178288028,0,6.2
0.181621537,797.0784912,0.181621537,0,6.3
0.184959009,812.4622192,0.184959009,0,6.4
0.188285947,827.9575806,0.188285947,0,6.5
0.191624761,843.7525024,0.191624761,0,6.6
0.194971457,859.8691406,0.194971457,0,6.7
0.198304698,875.7440186,0.198304698,0,6.8
0.201640785,891.314209,0.201640785,0,6.9
0.204993874,906.758728,0.204993874,0,7
0.208319649,922.1846924,0.208319649,0,7.1
0.211646825,937.7240601,0.211646825,0,7.2
0.214984283,953.4021606,0.214984283,0,7.3
0.218328297,969.322876,0.218328297,0,7.4
0.221648991,985.1524658,0.221648991,0,7.5
0.224977687,1000.708069,0.224977687,0,7.6
0.228294447,1016.270752,0.228294447,0,7.7
0.231628373,1031.80957,0.231628373,0,7.8
0.234966829,1047.218872,0.234966829,0,7.9
0.238314658,1062.905029,0.238314658,0,8
0.241645038,1078.775024,0.241645038,0,8.1
0.244975805,1094.383789,0.244975805,0,8.2
0.248298332,1109.798096,0.248298332,0,8.3
0.251630902,1125.100342,0.251630902,0,8.4
0.254975706,1140.287109,0.254975706,0,8.5
0.258295119,1155.286377,0.258295119,0,8.6
0.261641502,1170.569458,0.261641502,0,8.7
0.264976174,1186.07373,0.264976174,0,8.8
0.26830864,1201.489746,0.26830864,0,8.9
0.27166301,1216.633789,0.27166301,0,9
0.274997205,1231.762451,0.274997205,0,9.1
0.278334677,1246.872681,0.278334677,0,9.2
0.281674117,1261.791504,0.281674117,0,9.3
0.284983754,1276.819946,0.284983754,0,9.4
0.288297981,1291.823853,0.288297981,0,9.5
0.291631937,1306.75708,0.291631937,0,9.6
0.29496941,1321.573975,0.29496941,0,9.7
0.298309386,1336.178711,0.298309386,0,9.8
0.301655799,1350.821777,0.301655799,0,9.9
0.304985791,1365.327881,0.304985791,0,10
0.30831939,1380.172974,0.30831939,0,10.1
0.311647445,1395.18689,0.311647445,0,10.2
0.314967453,1409.822876,0.314967453,0,10.3
0.31829524,1424.238159,0.31829524,0,10.4
0.321631551,1438.832764,0.321631551,0,10.5
0.324959487,1453.321411,0.324959487,0,10.6
0.328294337,1467.881348,0.328294337,0,10.7
0.331619292,1482.640137,0.331619292,0,10.8
0.33496061,1497.332642,0.33496061,0,10.9
0.338319689,1511.753052,0.338319689,0,11
0.341661274,1525.779663,0.341661274,0,11.1
0.344976783,1539.467285,0.344976783,0,11.2
0.348307669,1553.177002,0.348307669,0,11.3
0.351647288,1567.119385,0.351647288,0,11.4
0.354979515,1581.401978,0.354979515,0,11.5
0.35831055,1595.626343,0.35831055,0,11.6
0.361660987,1609.441772,0.361660987,0,11.7
0.365003347,1623.219482,0.365003347,0,11.8
