C2,C2,C2,C2,C2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.287339091,1451.914307,0.287339091,-2.407751322,9.5
0.290676951,1468.630981,0.290676951,-2.449778795,9.6
0.294002473,1485.05481,0.294002473,-2.488693237,9.7
0.297339678,1501.425293,0.297339678,-2.529958725,9.8
0.300669551,1517.779663,0.300669551,-2.566846371,9.9
0.303991139,1534.069946,0.303991139,-2.609100819,10
0.307328045,1550.625488,0.307328045,-2.648307085,10.1
0.310663015,1567.178589,0.310663015,-2.693626165,10.2
0.313996166,1583.543945,0.313996166,-2.729962587,10.3
0.317317724,1599.604126,0.317317724,-2.762099266,10.4
0.320662409,1615.46228,0.320662409,-2.812752962,10.5
0.323972851,1631.299316,0.323972851,-2.86063385,10.6
0.327290475,1647.12854,0.327290475,-2.900229216,10.7
0.330635339,1663.329346,0.330635339,-2.938462734,10.8
0.333984017,1679.662842,0.333984017,-2.986424685,10.9
0.337309659,1695.685791,0.337309659,-3.024139404,11
0.34065336,1711.518799,0.34065336,-3.070301533,11.1
0.343981296,1727.143311,0.343981296,-3.116091013,11.2
0.347313851,1742.595337,0.347313851,-3.156399965,11.3
0.350655377,1758.220703,0.350655377,-3.19797349,11.4
0.354007006,1774.078125,0.354007006,-3.243665695,11.5
0.357340187,1789.730469,0.357340187,-3.288060427,11.6
0.360677034,1805.03833,0.360677034,-3.335795641,11.7
0.364016324,1820.064697,0.364016324,-3.38150382,11.8
0.367355555,1834.972046,0.367355555,-3.429466009,11.9
0.370668918,1849.755737,0.370668918,-3.477087736,12
0.373996943,1864.612183,0.373996943,-3.525033474,12.1
0.377349019,1879.71936,0.377349019,-3.575346708,12.2
0.380649984,1894.641357,0.380649984,-3.62465477,12.3
0.383989006,1909.04126,0.383989006,-3.680772781,12.4
0.387303829,1923.500366,0.387303829,-3.7329669,12.5
0.390631735,1937.916748,0.390631735,-3.782356024,12.6
0.393972605,1952.28125,0.393972605,-3.841603279,12.7
0.397320598,1966.940674,0.397320598,-3.896067619,12.8
0.400648892,1981.412109,0.400648892,-3.953401566,12.9
0.403977931,1995.374756,0.403977931,-4.00497961,13
0.407307178,2008.986206,0.407307178,-4.069610119,13.1
0.410636097,2022.484863,0.410636097,-4.129571438,13.2
0.413982093,2035.918091,0.413982093,-4.189564705,13.3
0.417315066,2049.320313,0.417315066,-4.254162788,13.4
0.420645207,2062.945313,0.420645207,-4.308643341,13.5
0.423994571,2076.721924,0.423994571,-4.369318008,13.6
0.427335203,2090.162109,0.427335203,-4.429570675,13.7
0.430660874,2103.000244,0.430660874,-4.496422768,13.8
0.434006453,2115.994141,0.434006453,-4.560664654,13.9
0.4373447,2129.019287,0.4373447,-4.624533176,14
0.440666199,2141.950684,0.440666199,-4.689083099,14.1
0.443995953,2155.185547,0.443995953,-4.752594948,14.2
0.447316796,2168.303711,0.447316796,-4.817760944,14.3
0.450654566,2180.954102,0.450654566,-4.884288788,14.4
0.453992128,2193.375,0.453992128,-4.953670502,14.5
0.457325071,2205.607178,0.457325071,-5.02123642,14.6
0.460665166,2217.954834,0.460665166,-5.088640213,14.7
0.463992834,2230.253662,0.463992834,-5.156838417,14.8
0.467338502,2241.004639,0.467338502,-5.225863457,14.9
0.470667839,2251.462891,0.470667839,-5.294239998,15
0.473980606,2263.922852,0.473980606,-5.365259647,15.1
0.47731486,2276.269775,0.47731486,-5.429452896,15.2
0.480650574,2288.484619,0.480650574,-5.495040417,15.3
0.483978003,2300.536865,0.483978003,-5.565395355,15.4
0.487310529,2312.520752,0.487310529,-5.639901161,15.5
0.490633309,2324.807373,0.490633309,-5.709413052,15.6
0.493990779,2336.939941,0.493990779,-5.781649113,15.7
0.497329861,2348.762207,0.497329861,-5.859576225,15.8
0.500666201,2360.242188,0.500666201,-5.931828022,15.9
0.504000008,2371.653564,0.504000008,-6.005458355,16
0.507333875,2383.048828,0.507333875,-6.079867363,16.1
0.51065141,2394.36499,0.51065141,-6.153611183,16.2
0.51399672,2406.057373,0.51399672,-6.230890274,16.3
0.517341256,2417.772217,0.517341256,-6.310974121,16.4
0.520680428,2429.201416,0.520680428,-6.390474319,16.5
0.524022102,2440.679932,0.524022102,-6.468288422,16.6
0.5273422,2451.950684,0.5273422,-6.54772377,16.7
0.53065753,2463.056885,0.53065753,-6.626202583,16.8
0.533992052,2474.484375,0.533992052,-6.703692436,16.9
0.537326336,2486.070068,0.537326336,-6.790911198,17
0.540660143,2497.431641,0.540660143,-6.871481895,17.1
0.543987453,2508.574951,0.543987453,-6.956106186,17.2
0.547304809,2519.420166,0.547304809,-7.044297695,17.3
0.550640821,2530.314209,0.550640821,-7.141107559,17.4
0.553957403,2541.150879,0.553957403,-7.211585045,17.5
0.557301641,2552.158203,0.557301641,-7.295626163,17.6
0.560634196,2563.410645,0.560634196,-7.380331516,17.7
0.563952386,2574.401123,0.563952386,-7.464615822,17.8
0.567296922,2585.222168,0.567296922,-7.55481863,17.9
0.570636272,2596.153809,0.570636272,-7.643351078,18
0.573975682,2606.932373,0.573975682,-7.731154442,18.1
0.5773049,2617.59668,0.5773049,-7.82657814,18.2
0.580661595,2628.604248,0.580661595,-7.912176132,18.3
0.584001541,2639.476807,0.584001541,-8.001730919,18.4
0.587337732,2649.990967,0.587337732,-8.095079422,18.5
0.590694726,2660.517822,0.590694726,-8.189157486,18.6
0.594006121,2670.701416,0.594006121,-8.28386879,18.7
0.597335279,2680.783447,0.597335279,-8.380428314,18.8
0.600663543,2690.816406,0.600663543,-8.471717834,18.9
0.603995025,2701.114258,0.603995025,-8.569526672,19
0.607318759,2711.505859,0.607318759,-8.66079998,19.1
0.610649824,2721.609131,0.610649824,-8.765727043,19.2
0.613977075,2731.533691,0.613977075,-8.864703178,19.3
0.617304683,2741.495117,0.617304683,-8.963256836,19.4
0.620652437,2751.404053,0.620652437,-9.062200546,19.5
0.623988569,2761.345459,0.623988569,-9.169219971,19.6
0.627289891,2771.536865,0.627289891,-9.268763542,19.7
0.630634725,2781.539307,0.630634725,-9.37385273,19.8
0.63396579,2791.083984,0.63396579,-9.483110428,19.9
0.637284458,2800.329346,0.637284458,-9.587891579,20
0.640654206,2809.65332,0.640654206,-9.69298172,20.1
0.644012272,2818.996826,0.644012272,-9.794147491,20.2
0.647351444,2828.524902,0.647351444,-9.908155441,20.3
0.650677621,2838.186035,0.650677621,-10.02023506,20.4
0.654016376,2847.747559,0.654016376,-10.12921715,20.5
0.657350779,2856.77832,0.657350779,-10.24851131,20.6
0.660681248,2865.671631,0.660681248,-10.3538456,20.7
0.66400367,2874.507324,0.66400367,-10.46868134,20.8
0.667317033,2883.369873,0.667317033,-10.58033943,20.9
0.670656562,2892.557129,0.670656562,-10.62794781,21
0.673985898,2901.805908,0.673985898,-10.62794781,21.1
0.677315652,2910.833252,0.677315652,-10.62794781,21.2
0.680660546,2919.727051,0.680660546,-10.62794781,21.3
0.683994591,2928.302734,0.683994591,-10.62794781,21.4
0.687310874,2936.885498,0.687310874,-10.62794781,21.5
0.690645635,2945.494141,0.690645635,-10.62794781,21.6
0.693955958,2954.145508,0.693955958,-10.62794781,21.7
0.697290897,2963.198486,0.697290897,-10.62794781,21.8
0.700644135,2972.16626,0.700644135,-10.62794781,21.9
0.703980088,2980.713379,0.703980088,-10.62794781,22
0.707318127,2989.066406,0.707318127,-10.62794781,22.1
0.710652113,2997.324707,0.710652113,-10.62794781,22.2
0.713990629,3005.46875,0.713990629,-10.62794781,22.3
0.7173298,3013.96875,0.7173298,-10.62794781,22.4
