BIOMIN Stir2,BIOMIN Stir2,BIOMIN Stir2,BIOMIN Stir2,BIOMIN Stir2
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,56.55748367,0,0,0
-8.15E-07,56.41160965,-8.15E-07,0,0.1
6.55E-07,56.28305435,6.55E-07,0,0.2
-2.85E-06,56.18236542,-2.85E-06,0,0.3
2.01E-06,56.07590866,2.01E-06,0,0.4
0.000180088,56.16791916,0.000180088,0,0.5
0.00080875,56.80902863,0.00080875,0,0.6
0.001708265,57.77299881,0.001708265,0,0.7
0.002947025,59.08526611,0.002947025,0,0.8
0.00450483,60.75789261,0.00450483,0,0.9
0.006419831,62.76382828,0.006419831,0,1
0.008657861,65.14200592,0.008657861,0,1.1
0.011232982,68.00325012,0.011232982,0,1.2
0.014151751,71.23884583,0.014151751,0,1.3
0.017386507,74.84035492,0.017386507,0,1.4
0.0207002,78.53875732,0.0207002,0,1.5
0.024058634,82.29720306,0.024058634,0,1.6
0.027395485,86.08409119,0.027395485,0,1.7
0.030729454,89.95702362,0.030729454,0,1.8
0.034054883,93.90975952,0.034054883,0,1.9
0.037371073,97.93151093,0.037371073,0,2
0.040691897,101.9219208,0.040691897,0,2.1
0.044040591,105.9650803,0.044040591,0,2.2
0.04737341,110.0996475,0.04737341,0,2.3
0.050706089,114.3831558,0.050706089,0,2.4
0.054048963,118.7697906,0.054048963,0,2.5
0.05738328,123.3330231,0.05738328,0,2.6
0.060706746,127.9736099,0.060706746,0,2.7
0.064042777,132.676178,0.064042777,0,2.8
0.067372799,137.565033,0.067372799,0,2.9
0.070698924,142.5984802,0.070698924,0,3
0.074035227,147.7682495,0.074035227,0,3.1
0.07735882,153.1781006,0.07735882,0,3.2
0.080686301,158.7524567,0.080686301,0,3.3
0.084034599,164.4227905,0.084034599,0,3.4
0.087373056,170.2012482,0.087373056,0,3.5
0.090720661,176.123291,0.090720661,0,3.6
0.094039403,182.2357635,0.094039403,0,3.7
0.097370945,188.4967041,0.097370945,0,3.8
0.100718714,194.9281158,0.100718714,0,3.9
0.104045324,201.5807648,0.104045324,0,4
0.107387014,208.3326569,0.107387014,0,4.1
0.110732809,215.1443024,0.110732809,0,4.2
0.114065491,222.1344147,0.114065491,0,4.3
0.117386915,229.2221069,0.117386915,0,4.4
0.120718777,236.4690552,0.120718777,0,4.5
0.124052748,244.0140228,0.124052748,0,4.6
0.127380386,251.7055969,0.127380386,0,4.7
0.130708486,259.5132141,0.130708486,0,4.8
0.134040177,267.5837402,0.134040177,0,4.9
0.137365609,276.1625366,0.137365609,0,5
0.140687436,285.5970154,0.140687436,0,5.1
0.144027457,296.0186462,0.144027457,0,5.2
0.147368655,307.6384277,0.147368655,0,5.3
0.150690913,320.4324341,0.150690913,0,5.4
0.154013693,333.8861694,0.154013693,0,5.5
0.157355487,347.8555603,0.157355487,0,5.6
0.160698429,362.4107666,0.160698429,0,5.7
0.16403091,377.1300659,0.16403091,0,5.8
0.167370379,392.2700806,0.167370379,0,5.9
0.170722708,407.900116,0.170722708,0,6
0.174066991,423.5663147,0.174066991,0,6.1
0.177387223,439.1295471,0.177387223,0,6.2
0.18072255,454.7324219,0.18072255,0,6.3
0.184056729,470.4935608,0.184056729,0,6.4
0.187382847,486.3430481,0.187382847,0,6.5
0.190721288,502.5741272,0.190721288,0,6.6
0.194043875,519.2661133,0.194043875,0,6.7
0.197370499,536.3391113,0.197370499,0,6.8
0.200702772,553.3359985,0.200702772,0,6.9
0.204024911,570.5029907,0.204024911,0,7
0.207376346,588.0628052,0.207376346,0,7.1
0.210708976,605.6798096,0.210708976,0,7.2
0.214033991,623.7557373,0.214033991,0,7.3
0.217350394,642.0942993,0.217350394,0,7.4
0.2206866,660.2401123,0.2206866,0,7.5
0.224019945,678.2080078,0.224019945,0,7.6
0.227364495,696.0585938,0.227364495,0,7.7
0.230713576,713.9332886,0.230713576,0,7.8
0.234054983,731.8169556,0.234054983,0,7.9
0.237400129,750.0759277,0.237400129,0,8
0.240738869,768.5871582,0.240738869,0,8.1
0.244064823,786.9625244,0.244064823,0,8.2
0.247396126,805.0390015,0.247396126,0,8.3
0.250723064,823.1679688,0.250723064,0,8.4
0.254038453,841.1625366,0.254038453,0,8.5
0.257374138,859.4197998,0.257374138,0,8.6
0.260714442,878.0268555,0.260714442,0,8.7
0.264046639,896.7019043,0.264046639,0,8.8
0.267373621,915.0995483,0.267373621,0,8.9
0.270716876,933.3347778,0.270716876,0,9
0.274041355,951.4007568,0.274041355,0,9.1
0.277357042,969.4460449,0.277357042,0,9.2
0.28068307,987.6622925,0.28068307,0,9.3
0.284015566,1006.164978,0.284015566,0,9.4
0.287347704,1024.793579,0.287347704,0,9.5
0.290692091,1042.879395,0.290692091,0,9.6
0.294033229,1060.814087,0.294033229,0,9.7
0.297370225,1078.626709,0.297370225,0,9.8
0.300702423,1096.303345,0.300702423,0,9.9
0.30404675,1114.106567,0.30404675,0,10
0.307385594,1132.207275,0.307385594,0,10.1
0.31072101,1150.018066,0.31072101,0,10.2
0.31404838,1167.400757,0.31404838,0,10.3
0.317390412,1184.630249,0.317390412,0,10.4
0.320713997,1201.620483,0.320713997,0,10.5
0.324034452,1218.591431,0.324034452,0,10.6
0.327379674,1235.793823,0.327379674,0,10.7
0.330719739,1253.41687,0.330719739,0,10.8
0.334055036,1270.937012,0.334055036,0,10.9
0.337371171,1288.027588,0.337371171,0,11
0.340685934,1305.120728,0.340685934,0,11.1
0.344029576,1322.474976,0.344029576,0,11.2
0.3473593,1339.876221,0.3473593,0,11.3
0.350714535,1357.642212,0.350714535,0,11.4
0.354042202,1375.808594,0.354042202,0,11.5
0.35738498,1393.829834,0.35738498,0,11.6
0.360711187,1411.600342,0.360711187,0,11.7
