S4Tnbm,S4Tnbm,S4Tnbm,S4Tnbm,S4Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,58.31856155,0,0,0
0,58.19691849,0,0,0.1
-1.07377E-05,58.0700264,-1.07377E-05,0,0.2
-1.07377E-05,57.955616,-1.07377E-05,0,0.3
-2.14753E-05,57.88021469,-2.14753E-05,0,0.4
3.21688E-05,57.88564682,3.21688E-05,0,0.5
0.000934106,58.43081284,0.000934106,0,0.6
0.001964551,59.23012924,0.001964551,0,0.7
0.003263933,60.22573471,0.003263933,0,0.8
0.004907113,61.4005394,0.004907113,0,0.9
0.006849748,62.6739769,0.006849748,0,1
0.00915764,64.26675415,0.00915764,0,1.1
0.011865121,66.18374634,0.011865121,0,1.2
0.014859659,68.27261353,0.014859659,0,1.3
0.018200206,70.6933136,0.018200206,0,1.4
0.021517085,73.10346985,0.021517085,0,1.5
0.024782466,75.40327454,0.024782466,0,1.6
0.028185176,77.8651886,0.028185176,0,1.7
0.031557366,80.15718079,0.031557366,0,1.8
0.034874246,82.53413391,0.034874246,0,1.9
0.038095757,84.88960266,0.038095757,0,2
0.041574761,87.25679016,0.041574761,0,2.1
0.044828698,89.64741516,0.044828698,0,2.2
0.048210427,92.2167511,0.048210427,0,2.3
0.051561639,94.70405579,0.051561639,0,2.4
0.054771706,97.06245422,0.054771706,0,2.5
0.058143899,99.53315735,0.058143899,0,2.6
0.061525628,102.0468292,0.061525628,0,2.7
0.064726159,104.3573761,0.064726159,0,2.8
0.068022057,106.902298,0.068022057,0,2.9
0.071361825,109.4882355,0.071361825,0,3
0.074678704,112.0595245,0.074678704,0,3.1
0.07804136,115.1708527,0.07804136,0,3.2
0.081272408,118.4911652,0.081272408,0,3.3
0.084633157,122.0478058,0.084633157,0,3.4
0.087993905,125.9091339,0.087993905,0,3.5
0.091430947,130.067337,0.091430947,0,3.6
0.09473829,135.0497589,0.09473829,0,3.7
0.098087594,140.332962,0.098087594,0,3.8
0.101427361,145.817337,0.101427361,0,3.9
0.104776666,151.723587,0.104776666,0,4
0.108116433,158.051712,0.108116433,0,4.1
0.111412331,164.5634308,0.111412331,0,4.2
0.114828393,171.832962,0.114828393,0,4.3
0.118177697,179.426712,0.118177697,0,4.4
0.121538445,188.5165558,0.121538445,0,4.5
0.124834344,197.3407745,0.124834344,0,4.6
0.128174111,206.9618683,0.128174111,0,4.7
0.131525323,217.2587433,0.131525323,0,4.8
0.134886071,228.0712433,0.134886071,0,4.9
0.13818197,238.8993683,0.13818197,0,5
0.141445443,249.7821808,0.141445443,0,5.1
0.144861504,261.594696,0.144861504,0,5.2
0.148136422,273.547821,0.148136422,0,5.3
0.151443765,285.6337585,0.151443765,0,5.4
0.154707238,297.5556335,0.154707238,0,5.5
0.1579936,309.875946,0.1579936,0,5.6
0.161363885,322.7587585,0.161363885,0,5.7
0.164715096,335.7900085,0.164715096,0,5.8
0.168010995,348.750946,0.168010995,0,5.9
0.171285912,361.688446,0.171285912,0,6
0.174711511,375.297821,0.174711511,0,6.1
0.178039834,388.563446,0.178039834,0,6.2
0.181347176,402.2275085,0.181347176,0,6.3
0.184665918,415.7363586,0.184665918,0,6.4
0.188036203,429.9082336,0.188036203,0,6.5
0.191440821,445.1191711,0.191440821,0,6.6
0.194813013,459.4629211,0.194813013,0,6.7
0.198087931,473.7519836,0.198087931,0,6.8
0.201460123,489.0097961,0.201460123,0,6.9
0.204809427,504.5801086,0.204809427,0,7
0.208214045,520.3613892,0.208214045,0,7.1
0.211551905,535.7520142,0.211551905,0,7.2
0.214784861,550.6895142,0.214784861,0,7.3
0.218157053,567.8223267,0.218157053,0,7.4
0.221506357,583.1348267,0.221506357,0,7.5
0.224888086,598.2988892,0.224888086,0,7.6
0.228121042,613.1895142,0.228121042,0,7.7
0.231523752,628.5332642,0.231523752,0,7.8
0.234756708,643.4942017,0.234756708,0,7.9
0.238149881,658.9238892,0.238149881,0,8
0.241413355,674.7754517,0.241413355,0,8.1
0.244646311,689.5879517,0.244646311,0,8.2
0.248018503,705.5879517,0.248018503,0,8.3
0.251346827,720.6426392,0.251346827,0,8.4
0.25467515,735.8145142,0.25467515,0,8.5
0.257929087,750.6817017,0.257929087,0,8.6
0.261310816,766.1113892,0.261310816,0,8.7
0.264671564,781.4473267,0.264671564,0,8.8
0.268085718,798.4004517,0.268085718,0,8.9
0.271330118,812.7676392,0.271330118,0,9
0.274732828,828.1817017,0.274732828,0,9.1
0.278146982,843.7207642,0.278146982,0,9.2
0.28148675,858.7285767,0.28148675,0,9.3
0.284761667,873.6973267,0.284761667,0,9.4
0.288145304,888.3613892,0.288145304,0,9.5
0.291462183,905.2285767,0.291462183,0,9.6
0.294876337,920.5176392,0.294876337,0,9.7
0.298237085,935.5488892,0.298237085,0,9.8
0.301481485,950.2832642,0.301481485,0,9.9
0.304842234,965.9629517,0.304842234,0,10
0.308159113,981.1738892,0.308159113,0,10.1
0.311519861,996.9395142,0.311519861,0,10.2
0.31488061,1012.814514,0.31488061,0,10.3
0.318113565,1028.126953,0.318113565,0,10.4
0.321539164,1044.603516,0.321539164,0,10.5
0.324802637,1061.072266,0.324802637,0,10.6
0.32804513,1078.173828,0.32804513,0,10.7
0.331352472,1094.666016,0.331352472,0,10.8
0.334724665,1111.673828,0.334724665,0,10.9
0.337999582,1127.970703,0.337999582,0,11
0.341392756,1144.751953,0.341392756,0,11.1
0.344679117,1161.119141,0.344679117,0,11.2
0.34792161,1177.697266,0.34792161,0,11.3
0.351336479,1195.383911,0.351336479,0,11.4
0.354697227,1211.907349,0.354697227,0,11.5
0.358014107,1228.329224,0.358014107,0,11.6
0.361353874,1244.649536,0.361353874,0,11.7
0.364758492,1260.782349,0.364758492,0,11.8
