S3Tnbm,S3Tnbm,S3Tnbm,S3Tnbm,S3Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,57.67485809,0,0,0
0,57.48009491,0,0,0.1
0,57.28649139,0,0,0.2
0,57.12854767,0,0,0.3
0,56.97434235,0,0,0.4
0.000386238,57.35046387,0.000386238,0,0.5
0.001116276,58.2088623,0.001116276,0,0.6
0.00213623,59.09753418,0.00213623,0,0.7
0.0035429,60.22741699,0.0035429,0,0.8
0.005207062,61.67956543,0.005207062,0,0.9
0.007278442,63.10046387,0.007278442,0,1
0.009620667,64.90222168,0.009620667,0,1.1
0.012348175,66.97155762,0.012348175,0,1.2
0.015386581,69.33483887,0.015386581,0,1.3
0.018650055,71.7401123,0.018650055,0,1.4
0.021945953,74.40710449,0.021945953,0,1.5
0.025350571,77.23913574,0.025350571,0,1.6
0.028593063,80.10632324,0.028593063,0,1.7
0.031890869,83.16882324,0.031890869,0,1.8
0.035154343,86.41882324,0.035154343,0,1.9
0.038503647,89.81140137,0.038503647,0,2
0.041801453,93.57702637,0.041801453,0,2.1
0.045183182,97.52233887,0.045183182,0,2.2
0.04847908,101.6629639,0.04847908,0,2.3
0.051753998,106.602417,0.051753998,0,2.4
0.055179596,111.883667,0.055179596,0,2.5
0.058519363,117.4656982,0.058519363,0,2.6
0.06183815,123.6414795,0.06183815,0,2.7
0.065143585,129.8641357,0.065143585,0,2.8
0.068515778,136.7703857,0.068515778,0,2.9
0.071929932,144.0047607,0.071929932,0,3
0.075260162,152.0906982,0.075260162,0,3.1
0.078598022,160.1883545,0.078598022,0,3.2
0.081970215,169.3289795,0.081970215,0,3.3
0.085298538,179.086792,0.085298538,0,3.4
0.088703156,189.7664795,0.088703156,0,3.5
0.091989517,200.493042,0.091989517,0,3.6
0.095273972,211.5321045,0.095273972,0,3.7
0.098657608,222.8446045,0.098657608,0,3.8
0.101986155,233.9847412,0.101986155,0,3.9
0.105346903,245.1800537,0.105346903,0,4
0.108610377,256.6644287,0.108610377,0,4.1
0.111961588,268.9144287,0.111961588,0,4.2
0.115289912,280.5472412,0.115289912,0,4.3
0.118660197,293.0238037,0.118660197,0,4.4
0.121872172,305.9144287,0.121872172,0,4.5
0.125135645,319.4066162,0.125135645,0,4.6
0.128572688,333.4378662,0.128572688,0,4.7
0.131847605,347.7425537,0.131847605,0,4.8
0.135143504,361.6488037,0.135143504,0,4.9
0.138406977,375.4300537,0.138406977,0,5
0.141811594,389.9066162,0.141811594,0,5.1
0.145128474,404.1409912,0.145128474,0,5.2
0.148565516,419.1097412,0.148565516,0,5.3
0.151808009,432.5863037,0.151808009,0,5.4
0.155245051,447.0784912,0.155245051,0,5.5
0.158594355,461.2581787,0.158594355,0,5.6
0.161943659,475.6488037,0.161943659,0,5.7
0.165262446,489.8675537,0.165262446,0,5.8
0.168590769,504.5238037,0.168590769,0,5.9
0.171951517,522.0784912,0.171951517,0,6
0.175344691,541.3050537,0.175344691,0,6.1
0.178673014,562.3675537,0.178673014,0,6.2
0.181926951,584.3519287,0.181926951,0,6.3
0.18537353,607.3988037,0.18537353,0,6.4
0.188638911,629.8519287,0.188638911,0,6.5
0.192053065,652.5706787,0.192053065,0,6.6
0.195316538,675.7425537,0.195316538,0,6.7
0.198581919,699.0238037,0.198581919,0,6.8
0.201952204,721.6800537,0.201952204,0,6.9
0.205291972,743.7425537,0.205291972,0,7
0.208578333,764.9144287,0.208578333,0,7.1
0.211799845,786.1488037,0.211799845,0,7.2
0.215213999,807.9769287,0.215213999,0,7.3
0.218456492,829.4769287,0.218456492,0,7.4
0.221828684,852.3675537,0.221828684,0,7.5
0.225092158,872.6331787,0.225092158,0,7.6
0.228389964,893.4144287,0.228389964,0,7.7
0.231846079,914.8675537,0.231846079,0,7.8
0.235206828,935.4769287,0.235206828,0,7.9
0.238504633,955.7503662,0.238504633,0,8
0.241918787,976.5472412,0.241918787,0,8.1
0.245214686,997.7816162,0.245214686,0,8.2
0.248619303,1017.242554,0.248619303,0,8.3
0.251959056,1036.625366,0.251959056,0,8.4
0.255190104,1055.094116,0.255190104,0,8.5
0.258627146,1074.539429,0.258627146,0,8.6
0.261987895,1093.781616,0.261987895,0,8.7
0.265381068,1113.789429,0.265381068,0,8.8
0.268666953,1132.42688,0.268666953,0,8.9
0.272037238,1151.161255,0.272037238,0,9
0.27534458,1170.075317,0.27534458,0,9.1
0.278684348,1188.669067,0.278684348,0,9.2
0.28197071,1206.887817,0.28197071,0,9.3
0.285299033,1224.39563,0.285299033,0,9.4
0.288627356,1242.044067,0.288627356,0,9.5
0.291967124,1259.473755,0.291967124,0,9.6
0.295253485,1277.73938,0.295253485,0,9.7
0.298484534,1295.106567,0.298484534,0,9.8
0.301791877,1312.715942,0.301791877,0,9.9
0.30518505,1330.161255,0.30518505,0,10
0.308534354,1348.20813,0.308534354,0,10.1
0.311799735,1365.14563,0.311799735,0,10.2
0.315053672,1382.005005,0.315053672,0,10.3
0.318532676,1399.669067,0.318532676,0,10.4
0.321849555,1416.356567,0.321849555,0,10.5
0.325177878,1433.278442,0.325177878,0,10.6
0.328538626,1449.997192,0.328538626,0,10.7
0.331836432,1466.598755,0.331836432,0,10.8
0.33526203,1482.723755,0.33526203,0,10.9
0.338622779,1498.325317,0.338622779,0,11
0.341951102,1513.411255,0.341951102,0,11.1
0.345258445,1529.255005,0.345258445,0,11.2
0.34862873,1544.942505,0.34862873,0,11.3
0.352054328,1561.380005,0.352054328,0,11.4
0.355329245,1576.70813,0.355329245,0,11.5
0.358594626,1590.92688,0.358594626,0,11.6
0.36200878,1606.92688,0.36200878,0,11.7
0.365380973,1621.89563,0.365380973,0,11.8
0.368697852,1636.505005,0.368697852,0,11.9
0.371940345,1650.52063,0.371940345,0,12
