S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm,S1Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0.35699445,1193.847412,0.35699445,0,11.6
0.360301793,1208.972412,0.360301793,0,11.7
0.363736928,1224.792725,0.363736928,0,11.8
0.366926014,1239.105225,0.366926014,0,11.9
0.370244801,1253.503662,0.370244801,0,12
0.373670399,1268.417725,0.373670399,0,12.1
0.376880467,1283.042725,0.376880467,0,12.2
0.380229771,1297.93335,0.380229771,0,12.3
0.383474171,1312.550537,0.383474171,0,12.4
0.386812031,1327.738037,0.386812031,0,12.5
0.390184224,1342.581787,0.390184224,0,12.6
0.393491566,1357.43335,0.393491566,0,12.7
0.396787465,1371.425537,0.396787465,0,12.8
0.400148213,1386.738037,0.400148213,0,12.9
0.403467,1401.730225,0.403467,0,13
0.406902134,1416.253662,0.406902134,0,13.1
0.410232365,1430.628662,0.410232365,0,13.2
0.413507283,1444.5271,0.413507283,0,13.3
0.416889012,1458.628662,0.416889012,0,13.4
0.420303166,1473.066162,0.420303166,0,13.5
0.423600972,1486.753662,0.423600972,0,13.6
0.426853001,1499.831787,0.426853001,0,13.7
0.430290043,1513.800537,0.430290043,0,13.8
0.433618367,1527.238037,0.433618367,0,13.9
0.437053502,1541.167725,0.437053502,0,14
0.440328419,1554.261475,0.440328419,0,14.1
0.443614781,1567.573975,0.443614781,0,14.2
0.44706136,1582.113037,0.44706136,0,14.3
0.450336277,1594.956787,0.450336277,0,14.4
0.453634083,1607.80835,0.453634083,0,14.5
0.456962407,1620.167725,0.456962407,0,14.6
0.460323155,1633.136475,0.460323155,0,14.7
0.463598073,1645.769287,0.463598073,0,14.8
0.46693784,1658.988037,0.46693784,0,14.9
0.470136464,1670.855225,0.470136464,0,15
0.473529637,1683.823975,0.473529637,0,15.1
0.476827443,1697.097412,0.476827443,0,15.2
0.480188191,1709.894287,0.480188191,0,15.3
0.483484089,1721.800537,0.483484089,0,15.4
0.486738026,1734.12085,0.486738026,0,15.5
0.490173161,1746.792725,0.490173161,0,15.6
0.493533909,1759.175537,0.493533909,0,15.7
0.496906102,1772.011475,0.496906102,0,15.8
0.500139058,1783.800537,0.500139058,0,15.9
0.503541768,1796.238037,0.503541768,0,16
0.506955922,1808.206787,0.506955922,0,16.1
0.510263264,1819.816162,0.510263264,0,16.2
0.513614476,1831.43335,0.513614476,0,16.3
0.516931355,1843.566162,0.516931355,0,16.4
0.520303547,1855.62085,0.520303547,0,16.5
0.523708284,1867.578247,0.523708284,0,16.6
0.526983202,1878.55481,0.526983202,0,16.7
0.530267656,1889.664185,0.530267656,0,16.8
0.533672273,1902.156372,0.533672273,0,16.9
0.536968172,1912.796997,0.536968172,0,17
0.540307939,1923.781372,0.540307939,0,17.1
0.543624818,1935.351685,0.543624818,0,17.2
0.546997011,1946.96106,0.546997011,0,17.3
0.550304353,1958.375122,0.550304353,0,17.4
0.553611696,1970.468872,0.553611696,0,17.5
0.556854188,1980.746216,0.556854188,0,17.6
0.56014055,1991.761841,0.56014055,0,17.7
0.563554704,2003.261841,0.563554704,0,17.8
