S2Tnbm,S2Tnbm,S2Tnbm,S2Tnbm,S2Tnbm
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,70.13456726,0,0,0
0,69.85453796,0,0,0.1
0,69.58659363,0,0,0.2
0,69.45851898,0,0,0.3
0,69.30292511,0,0,0.4
0.000343323,69.77868652,0.000343323,0,0.5
0.00106287,71.75231934,0.00106287,0,0.6
0.002039909,74.30505371,0.002039909,0,0.7
0.003435135,77.38317871,0.003435135,0,0.8
0.005131721,81.31286621,0.005131721,0,0.9
0.00715065,85.79724121,0.00715065,0,1
0.00949192,90.93395996,0.00949192,0,1.1
0.012153625,96.85192871,0.012153625,0,1.2
0.015138626,104.043335,0.015138626,0,1.3
0.018510818,112.1917725,0.018510818,0,1.4
0.021806717,120.668335,0.021806717,0,1.5
0.025211334,129.9417725,0.025211334,0,1.6
0.028411865,138.762085,0.028411865,0,1.7
0.031772614,148.2034912,0.031772614,0,1.8
0.035165787,157.7269287,0.035165787,0,1.9
0.038461685,167.0667725,0.038461685,0,2
0.041822433,176.3206787,0.041822433,0,2.1
0.045171738,186.3167725,0.045171738,0,2.2
0.048469543,195.5628662,0.048469543,0,2.3
0.051797867,204.71521,0.051797867,0,2.4
0.05506134,213.9691162,0.05506134,0,2.5
0.058282852,223.0667725,0.058282852,0,2.6
0.061697006,232.9534912,0.061697006,0,2.7
0.064983368,242.7816162,0.064983368,0,2.8
0.068332672,252.5823975,0.068332672,0,2.9
0.071565628,262.12146,0.071565628,0,3
0.074958801,272.0941162,0.074958801,0,3.1
0.078298569,282.2230225,0.078298569,0,3.2
0.081691742,292.793335,0.081691742,0,3.3
0.08496666,302.3909912,0.08496666,0,3.4
0.088294983,312.37146,0.088294983,0,3.5
0.091785431,322.9886475,0.091785431,0,3.6
0.095069885,333.15271,0.095069885,0,3.7
0.098421097,343.3519287,0.098421097,0,3.8
0.101705551,353.84021,0.101705551,0,3.9
0.105089188,364.4066162,0.105089188,0,4
0.108438492,374.8988037,0.108438492,0,4.1
0.111852646,385.4456787,0.111852646,0,4.2
0.115106583,395.5941162,0.115106583,0,4.3
0.118413925,406.1097412,0.118413925,0,4.4
0.121818542,416.8519287,0.121818542,0,4.5
0.125179291,428.2425537,0.125179291,0,4.6
0.128463745,439.1175537,0.128463745,0,4.7
0.131782532,449.6175537,0.131782532,0,4.8
0.135164261,460.8050537,0.135164261,0,4.9
0.138439178,473.0472412,0.138439178,0,5
0.141714096,488.7191162,0.141714096,0,5.1
0.144958496,504.8206787,0.144958496,0,5.2
0.148340225,522.1878662,0.148340225,0,5.3
0.151658535,540.1708374,0.151658535,0,5.4
0.155019283,559.8427124,0.155019283,0,5.5
0.158240795,580.5302124,0.158240795,0,5.6
0.161548138,601.0927124,0.161548138,0,5.7
0.165004253,622.9989624,0.165004253,0,5.8
0.168332577,645.2489624,0.168332577,0,5.9
0.171662807,667.2333374,0.171662807,0,6
0.174937725,688.4052124,0.174937725,0,6.1
0.178384304,709.9989624,0.178384304,0,6.2
0.181691647,730.9052124,0.181691647,0,6.3
0.185138226,752.9208374,0.185138226,0,6.4
0.188401699,773.1630249,0.188401699,0,6.5
0.191730022,793.6942749,0.191730022,0,6.6
0.195123196,814.7098999,0.195123196,0,6.7
0.198462963,835.4130249,0.198462963,0,6.8
0.201791286,855.9130249,0.201791286,0,6.9
0.205098629,876.4364624,0.205098629,0,7
0.208459377,898.2177124,0.208459377,0,7.1
0.211843014,918.3973999,0.211843014,0,7.2
0.215192318,938.2958374,0.215192318,0,7.3
0.218402386,957.5458374,0.218402386,0,7.4
0.221753597,977.0927124,0.221753597,0,7.5
0.225102901,996.0927124,0.225102901,0,7.6
0.228377819,1015.530212,0.228377819,0,7.7
0.231738567,1035.241089,0.231738567,0,7.8
0.234971523,1054.100464,0.234971523,0,7.9
0.238299847,1073.366089,0.238299847,0,8
0.24162817,1092.795776,0.24162817,0,8.1
0.244979382,1111.561401,0.244979382,0,8.2
0.248200893,1130.069214,0.248200893,0,8.3
0.251603603,1149.944214,0.251603603,0,8.4
0.254943371,1168.225464,0.254943371,0,8.5
0.258347988,1186.678589,0.258347988,0,8.6
0.261664867,1204.381714,0.261664867,0,8.7
0.265004635,1222.530151,0.265004635,0,8.8
0.268376827,1240.491089,0.268376827,0,8.9
0.271758556,1258.311401,0.271758556,0,9
0.275098324,1275.405151,0.275098324,0,9.1
0.278361797,1292.170776,0.278361797,0,9.2
0.28181982,1309.819214,0.28181982,0,9.3
0.285106182,1326.639526,0.285106182,0,9.4
0.288487911,1343.717651,0.288487911,0,9.5
0.291774273,1359.912964,0.291774273,0,9.6
0.295156002,1376.537964,0.295156002,0,9.7
0.298528194,1394.225464,0.298528194,0,9.8
0.301877499,1410.108276,0.301877499,0,9.9
0.305152416,1425.444214,0.305152416,0,10
0.308471203,1441.162964,0.308471203,0,10.1
0.311788082,1456.678589,0.311788082,0,10.2
0.315095425,1472.108276,0.315095425,0,10.3
0.318403572,1488.313843,0.318403572,0,10.4
0.321592659,1502.579468,0.321592659,0,10.5
0.324974388,1518.18103,0.324974388,0,10.6
0.328302711,1533.204468,0.328302711,0,10.7
0.331653923,1548.001343,0.331653923,0,10.8
0.334982246,1562.391968,0.334982246,0,10.9
0.338257164,1577.048218,0.338257164,0,11
0.341638893,1592.946655,0.341638893,0,11.1
0.34497866,1607.532593,0.34497866,0,11.2
0.348329872,1621.43103,0.348329872,0,11.3
0.351646751,1635.30603,0.351646751,0,11.4
0.355125755,1650.83728,0.355125755,0,11.5
0.358400673,1663.977905,0.358400673,0,11.6
0.361751884,1677.321655,0.361751884,0,11.7
0.365068763,1690.360718,0.365068763,0,11.8
0.368408531,1703.563843,0.368408531,0,11.9
0.37179026,1717.251343,0.37179026,0,12
