nbm3,nbm3,nbm3,nbm3,nbm3
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0,1.040195584,0,0,0
-1.30907E-06,1.070442915,-1.30907E-06,-1.30907E-06,0.1
-3.07772E-06,1.058192849,-3.07772E-06,-3.07772E-06,0.2
-2.80615E-06,1.044001341,-2.80615E-06,-2.80615E-06,0.3
-4.38679E-06,1.048800588,-4.38679E-06,-4.38679E-06,0.4
5.09425E-05,1.051392794,5.09425E-05,5.09425E-05,0.5
0.00036246,1.03573668,0.00036246,0.00036246,0.6
0.000790527,1.035791516,0.000790527,0.000790527,0.7
0.001392033,1.057934403,0.001392033,0.001392033,0.8
0.002161977,1.045313001,0.002161977,0.002161977,0.9
0.003098878,1.073802233,0.003098878,0.003098878,1
0.00420304,1.084989548,0.00420304,0.00420304,1.1
0.005478363,1.143291712,0.005478363,0.005478363,1.2
0.006920141,1.147135615,0.006920141,0.006920141,1.3
0.008514914,1.16563189,0.008514914,0.008514914,1.4
0.010175258,1.208462477,0.010175258,0.010175258,1.5
0.011850525,1.236765146,0.011850525,0.011850525,1.6
0.0135318,1.273782492,0.0135318,0.0135318,1.7
0.015203014,1.313627362,0.015203014,0.015203014,1.8
0.016872173,1.317665458,0.016872173,0.016872173,1.9
0.018534677,1.36049211,0.018534677,0.018534677,2
0.02019576,1.381774902,0.02019576,0.02019576,2.1
0.021855101,1.401978016,0.021855101,0.021855101,2.2
0.023535227,1.448505878,0.023535227,0.023535227,2.3
0.025183303,1.454841137,0.025183303,0.025183303,2.4
0.026857533,1.465433002,0.026857533,0.026857533,2.5
0.028528474,1.505425453,0.028528474,0.028528474,2.6
0.030202836,1.538553596,0.030202836,0.030202836,2.7
0.031856846,1.555404186,0.031856846,0.031856846,2.8
0.033533331,1.600527883,0.033533331,0.033533331,2.9
0.03519487,1.61912787,0.03519487,0.03519487,3
0.036854666,1.655871034,0.036854666,0.036854666,3.1
0.038522627,1.671702862,0.038522627,0.038522627,3.2
0.040190164,1.707945704,0.040190164,0.040190164,3.3
0.041856296,1.751993537,0.041856296,0.041856296,3.4
0.043511886,1.753886223,0.043511886,0.043511886,3.5
0.045182019,1.785292625,0.045182019,0.045182019,3.6
0.046847895,1.81488049,0.046847895,0.046847895,3.7
0.048522707,1.835860848,0.048522707,0.048522707,3.8
0.050190225,1.851737857,0.050190225,0.050190225,3.9
0.051859118,1.894045591,0.051859118,0.051859118,4
0.053511631,1.915826678,0.053511631,0.053511631,4.1
0.055181701,1.945594072,0.055181701,0.055181701,4.2
0.056848355,1.967964292,0.056848355,0.056848355,4.3
0.058509756,2.002266407,0.058509756,0.058509756,4.4
0.060178492,2.013240337,0.060178492,0.060178492,4.5
0.061839562,2.044662476,0.061839562,0.061839562,4.6
0.063513808,2.068959236,0.063513808,0.063513808,4.7
0.065171659,2.111085653,0.065171659,0.065171659,4.8
0.066842407,2.132557392,0.066842407,0.066842407,4.9
0.068514332,2.165058136,0.068514332,0.068514332,5
0.070181556,2.196495056,0.070181556,0.070181556,5.1
0.071849637,2.208437204,0.071849637,0.071849637,5.2
0.073529206,2.236026525,0.073529206,0.073529206,5.3
0.075189583,2.266745329,0.075189583,0.075189583,5.4
0.076865681,2.298317432,0.076865681,0.076865681,5.5
0.078535669,2.31999445,0.078535669,0.078535669,5.6
0.080198139,2.345483541,0.080198139,0.080198139,5.7
0.081865229,2.386059523,0.081865229,0.081865229,5.8
0.08353211,2.39874053,0.08353211,0.08353211,5.9
0.085192807,2.441102982,0.085192807,0.085192807,6
0.086850978,2.47799468,0.086850978,0.086850978,6.1
0.088534631,2.506628275,0.088534631,0.088534631,6.2
0.090200976,2.512397766,0.090200976,0.090200976,6.3
0.091865361,2.557126045,0.091865361,0.091865361,6.4
0.093532518,2.586336136,0.093532518,0.093532518,6.5
0.095197015,2.615712404,0.095197015,0.095197015,6.6
0.096862875,2.65217495,0.096862875,0.096862875,6.7
0.09853553,2.681354046,0.09853553,0.09853553,6.8
0.100194767,2.714584351,0.100194767,0.100194767,6.9
0.101853684,2.718390465,0.101853684,0.101853684,7
0.103526287,2.765739918,0.103526287,0.103526287,7.1
0.105190501,2.794177294,0.105190501,0.105190501,7.2
0.106862277,2.820616484,0.106862277,0.106862277,7.3
0.108526334,2.841746092,0.108526334,0.108526334,7.4
0.110190019,2.873100042,0.110190019,0.110190019,7.5
0.111851528,2.89090085,0.111851528,0.111851528,7.6
0.113515459,2.933657885,0.113515459,0.113515459,7.7
0.115194634,2.939967394,0.115194634,0.115194634,7.8
0.116849743,2.991859674,0.116849743,0.116849743,7.9
0.118514165,3.024117231,0.118514165,0.118514165,8
0.120173648,3.049372435,0.120173648,0.120173648,8.1
0.121837102,3.073702574,0.121837102,0.121837102,8.2
0.123512499,3.104119301,0.123512499,0.123512499,8.3
0.125174016,3.128581762,0.125174016,0.125174016,8.4
0.126838133,3.177685261,0.126838133,0.126838133,8.5
0.128511339,3.185854197,0.128511339,0.128511339,8.6
0.130178139,3.22779727,0.130178139,0.130178139,8.7
0.131844327,3.254171133,0.131844327,0.131844327,8.8
0.133526087,3.294041157,0.133526087,0.133526087,8.9
0.135185122,3.317698717,0.135185122,0.135185122,9
0.136855662,3.352089405,0.136855662,0.136855662,9.1
