bm1,bm1,bm1,bm1,bm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0.148981601,3.6219244,0.148981601,0.148981601,9.8
0.150662169,3.65174222,0.150662169,0.150662169,9.9
0.152329668,3.694997072,0.152329668,0.152329668,10
0.153994098,3.739785671,0.153994098,0.153994098,10.1
0.155658811,3.763239384,0.155658811,0.155658811,10.2
0.15732643,3.814767361,0.15732643,0.15732643,10.3
0.158986613,3.845841169,0.158986613,0.158986613,10.4
0.160656124,3.880333185,0.160656124,0.160656124,10.5
0.162319571,3.914324045,0.162319571,0.162319571,10.6
0.163981974,3.961984873,0.163981974,0.163981974,10.7
0.1656508,4.009193897,0.1656508,0.1656508,10.8
0.167306393,4.038836479,0.167306393,0.167306393,10.9
0.1689675,4.066310406,0.1689675,0.1689675,11
0.170648009,4.11055851,0.170648009,0.170648009,11.1
0.172316134,4.143419266,0.172316134,0.172316134,11.2
0.173981905,4.18142128,0.173981905,0.173981905,11.3
0.175650448,4.223258972,0.175650448,0.175650448,11.4
0.177326173,4.245892525,0.177326173,0.177326173,11.5
0.178997084,4.293115616,0.178997084,0.178997084,11.6
0.180663764,4.322650433,0.180663764,0.180663764,11.7
0.182335064,4.373973846,0.182335064,0.182335064,11.8
0.184000805,4.39823103,0.184000805,0.184000805,11.9
0.185663998,4.443054199,0.185663998,0.185663998,12
0.187330991,4.474385262,0.187330991,0.187330991,12.1
0.189002246,4.50481987,0.189002246,0.189002246,12.2
0.190673217,4.535356045,0.190673217,0.190673217,12.3
0.192338556,4.568393707,0.192338556,0.192338556,12.4
0.194011569,4.608649731,0.194011569,0.194011569,12.5
0.195668057,4.661874294,0.195668057,0.195668057,12.6
0.197338566,4.691553593,0.197338566,0.197338566,12.7
0.198989362,4.724746704,0.198989362,0.198989362,12.8
0.200662196,4.787312984,0.200662196,0.200662196,12.9
0.202330112,4.803002357,0.202330112,0.202330112,13
0.203997269,4.834652424,0.203997269,0.203997269,13.1
0.205663264,4.850250244,0.205663264,0.205663264,13.2
0.207342878,4.914548397,0.207342878,0.207342878,13.3
0.208993733,4.953325272,0.208993733,0.208993733,13.4
0.210657999,4.99453783,0.210657999,0.210657999,13.5
0.212330982,5.026239395,0.212330982,0.212330982,13.6
0.213998362,5.076264858,0.213998362,0.213998362,13.7
0.215664998,5.110664845,0.215664998,0.215664998,13.8
