nbm4,nbm4,nbm4,nbm4,nbm4
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0,1.089685798,0,0,0
-8.28616E-07,1.094227791,-8.28616E-07,-8.28616E-07,0.1
-3.94115E-06,1.079714179,-3.94115E-06,-3.94115E-06,0.2
-2.36747E-06,1.077398539,-2.36747E-06,-2.36747E-06,0.3
1.60153E-07,1.070156932,1.60153E-07,1.60153E-07,0.4
8.94487E-05,1.061939478,8.94487E-05,8.94487E-05,0.5
0.000446255,1.063262105,0.000446255,0.000446255,0.6
0.000906262,1.071117401,0.000906262,0.000906262,0.7
0.001535613,1.083708048,0.001535613,0.001535613,0.8
0.002343194,1.11225152,0.002343194,0.002343194,0.9
0.003318287,1.132296801,0.003318287,0.003318287,1
0.004445922,1.137825727,0.004445922,0.004445922,1.1
0.00574547,1.158446193,0.00574547,0.00574547,1.2
0.007223192,1.182093382,0.007223192,0.007223192,1.3
0.008834125,1.218809128,0.008834125,0.008834125,1.4
0.010501239,1.251554489,0.010501239,0.010501239,1.5
0.012171589,1.281256199,0.012171589,0.012171589,1.6
0.013850163,1.310476065,0.013850163,0.013850163,1.7
0.015499436,1.348848104,0.015499436,0.015499436,1.8
0.017179729,1.365116715,0.017179729,0.017179729,1.9
0.018839678,1.386544704,0.018839678,0.018839678,2
0.020515891,1.42144382,0.020515891,0.020515891,2.1
0.022179974,1.443444967,0.022179974,0.022179974,2.2
0.023849349,1.490058303,0.023849349,0.023849349,2.3
0.025519541,1.499866247,0.025519541,0.025519541,2.4
0.027201205,1.53737247,0.027201205,0.027201205,2.5
0.028869113,1.555907726,0.028869113,0.028869113,2.6
0.030533371,1.578839898,0.030533371,0.030533371,2.7
0.032195129,1.604891896,0.032195129,0.032195129,2.8
0.0338578,1.643890858,0.0338578,0.0338578,2.9
0.035518367,1.684212089,0.035518367,0.035518367,3
0.037193794,1.696878552,0.037193794,0.037193794,3.1
0.038854498,1.727858782,0.038854498,0.038854498,3.2
0.040522948,1.759862304,0.040522948,0.040522948,3.3
0.042197205,1.78550756,0.042197205,0.042197205,3.4
0.04386282,1.812582493,0.04386282,0.04386282,3.5
0.045535136,1.853765965,0.045535136,0.045535136,3.6
0.047193378,1.87578249,0.047193378,0.047193378,3.7
0.048868164,1.904386044,0.048868164,0.048868164,3.8
0.050514497,1.936504841,0.050514497,0.050514497,3.9
0.052199706,1.961198688,0.052199706,0.052199706,4
0.053861968,1.975874782,0.053861968,0.053861968,4.1
0.055526607,2.015549421,0.055526607,0.055526607,4.2
0.057192396,2.031351089,0.057192396,0.057192396,4.3
0.05885531,2.084204912,0.05885531,0.05885531,4.4
0.06052085,2.094611883,0.06052085,0.06052085,4.5
0.062184863,2.127313614,0.062184863,0.062184863,4.6
0.063851483,2.161941051,0.063851483,0.063851483,4.7
0.065531954,2.195594788,0.065531954,0.065531954,4.8
0.067191422,2.204047918,0.067191422,0.067191422,4.9
0.068848796,2.248125076,0.068848796,0.068848796,5
0.07052514,2.267816305,0.07052514,0.07052514,5.1
0.07217519,2.295548916,0.07217519,0.07217519,5.2
0.073847763,2.326910734,0.073847763,0.073847763,5.3
0.075514816,2.358940601,0.075514816,0.075514816,5.4
0.077174202,2.386280537,0.077174202,0.077174202,5.5
0.078846015,2.407967329,0.078846015,0.078846015,5.6
0.080505036,2.435274124,0.080505036,0.080505036,5.7
0.082174428,2.485991716,0.082174428,0.082174428,5.8
0.083845936,2.508362532,0.083845936,0.083845936,5.9
0.085519955,2.544767141,0.085519955,0.085519955,6
0.087179847,2.559711456,0.087179847,0.087179847,6.1
0.088857397,2.593355894,0.088857397,0.088857397,6.2
0.090519175,2.63039279,0.090519175,0.090519175,6.3
0.092175536,2.651620626,0.092175536,0.092175536,6.4
0.093849987,2.654926538,0.093849987,0.093849987,6.5
0.09552066,2.709098577,0.09552066,0.09552066,6.6
0.09718632,2.7281425,0.09718632,0.09718632,6.7
0.098851912,2.758547544,0.098851912,0.098851912,6.8
0.100525871,2.780953169,0.100525871,0.100525871,6.9
0.102187596,2.81739068,0.102187596,0.102187596,7
0.103860445,2.851232052,0.103860445,0.103860445,7.1
0.105532825,2.861876011,0.105532825,0.105532825,7.2
0.107200287,2.889344454,0.107200287,0.107200287,7.3
0.108855747,2.932456255,0.108855747,0.108855747,7.4
0.110532157,2.970137596,0.110532157,0.110532157,7.5
0.112193987,2.980762005,0.112193987,0.112193987,7.6
0.113864876,3.022589207,0.113864876,0.113864876,7.7
0.11552424,3.050070524,0.11552424,0.11552424,7.8
0.117197819,3.071977377,0.117197819,0.117197819,7.9
0.118864007,3.103094816,0.118864007,0.118864007,8
0.120534763,3.1286304,0.120534763,0.120534763,8.1
0.12218152,3.164921284,0.12218152,0.12218152,8.2
0.123852916,3.210668564,0.123852916,0.123852916,8.3
0.125532299,3.236205578,0.125532299,0.125532299,8.4
0.127199024,3.266113281,0.127199024,0.127199024,8.5
0.128867447,3.298616171,0.128867447,0.128867447,8.6
0.130531624,3.330362797,0.130531624,0.130531624,8.7
0.132188439,3.367607355,0.132188439,0.132188439,8.8
0.133852214,3.401649714,0.133852214,0.133852214,8.9
0.135517135,3.441255331,0.135517135,0.135517135,9
0.137169644,3.457047701,0.137169644,0.137169644,9.1
