nbm2;nbm2;nbm2;nbm2;nbm2
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0.147501796;3.432236433;0.147501796;0.147501796;9.7
0.149167791;3.432485819;0.149167791;0.149167791;9.8
0.150838286;3.478186846;0.150838286;0.150838286;9.9
0.152501807;3.50268364;0.152501807;0.152501807;10
0.154165953;3.548892975;0.154165953;0.154165953;10.1
0.155831605;3.571074963;0.155831605;0.155831605;10.2
0.157494172;3.606483936;0.157494172;0.157494172;10.3
0.159157097;3.631385803;0.159157097;0.159157097;10.4
0.160816133;3.652086258;0.160816133;0.160816133;10.5
0.162488103;3.676302671;0.162488103;0.162488103;10.6
0.16414994;3.703511477;0.16414994;0.16414994;10.7
0.165827975;3.737599134;0.165827975;0.165827975;10.8
0.167498186;3.771573305;0.167498186;0.167498186;10.9
0.169157624;3.798934937;0.169157624;0.169157624;11
0.170827672;3.821539402;0.170827672;0.170827672;11.1
0.172491699;3.849491358;0.172491699;0.172491699;11.2
0.174146101;3.882839203;0.174146101;0.174146101;11.3
0.175815567;3.894124508;0.175815567;0.175815567;11.4
0.177481562;3.915992022;0.177481562;0.177481562;11.5
0.179150775;3.948126078;0.179150775;0.179150775;11.6
0.180817351;3.982985735;0.180817351;0.180817351;11.7
0.182474747;3.983159304;0.182474747;0.182474747;11.8
0.184151754;4.025755405;0.184151754;0.184151754;11.9
0.185828552;4.039692402;0.185828552;0.185828552;12
0.18748726;4.071207047;0.18748726;0.18748726;12.1
0.189153597;4.099235058;0.189153597;0.189153597;12.2
0.19081597;4.119484901;0.19081597;0.19081597;12.3
0.192478254;4.141723633;0.192478254;0.192478254;12.4
0.19415091;4.174800396;0.19415091;0.19415091;12.5
0.195813358;4.204170704;0.195813358;0.195813358;12.6
0.197486058;4.234862328;0.197486058;0.197486058;12.7
0.199152574;4.251583099;0.199152574;0.199152574;12.8
0.200811997;4.272539139;0.200811997;0.200811997;12.9
0.202489704;4.312287331;0.202489704;0.202489704;13
0.204152614;4.334086418;0.204152614;0.204152614;13.1
0.205825552;4.358560562;0.205825552;0.205825552;13.2
0.207499877;4.364851475;0.207499877;0.207499877;13.3
0.209166899;4.401454449;0.209166899;0.209166899;13.4
0.210829601;4.435975075;0.210829601;0.210829601;13.5
0.212506384;4.445370674;0.212506384;0.212506384;13.6
0.214166343;4.492342472;0.214166343;0.214166343;13.7
0.215835974;4.500801086;0.215835974;0.215835974;13.8
0.217489392;4.526500225;0.217489392;0.217489392;13.9
0.219158009;4.542180538;0.219158009;0.219158009;14
0.22082141;4.55832243;0.22082141;0.22082141;14.1
0.222495973;4.585068703;0.222495973;0.222495973;14.2
0.224170819;4.616961002;0.224170819;0.224170819;14.3
0.225827172;4.649576187;0.225827172;0.225827172;14.4
0.227496803;4.685729027;0.227496803;0.227496803;14.5
0.229155079;4.72859621;0.229155079;0.229155079;14.6
0.230819881;4.73735714;0.230819881;0.230819881;14.7
0.232482016;4.759699821;0.232482016;0.232482016;14.8
0.234150425;4.782191277;0.234150425;0.234150425;14.9
0.235821843;4.823705673;0.235821843;0.235821843;15
0.237486497;4.834154129;0.237486497;0.237486497;15.1
0.239166245;4.890025139;0.239166245;0.239166245;15.2
0.240822732;4.896866322;0.240822732;0.240822732;15.3
0.242490888;4.932045937;0.242490888;0.242490888;15.4
0.244148254;4.966614723;0.244148254;0.244148254;15.5
0.245820314;4.979430676;0.245820314;0.245820314;15.6
0.247491345;5.019903183;0.247491345;0.247491345;15.7
0.249149323;5.053457737;0.249149323;0.249149323;15.8
0.250824571;5.083369255;0.250824571;0.250824571;15.9
0.25248149;5.108907223;0.25248149;0.25248149;16
0.2541444;5.127277851;0.2541444;0.2541444;16.1
0.255809665;5.165746212;0.255809665;0.255809665;16.2
0.257477343;5.209767342;0.257477343;0.257477343;16.3
