bm2,bm2,bm2,bm2,bm2
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0,1.14757216,0,0,0
-2.04021E-06,1.144019485,-2.04021E-06,-2.04021E-06,0.1
-2.14465E-06,1.125003219,-2.14465E-06,-2.14465E-06,0.2
-2.90364E-06,1.11076498,-2.90364E-06,-2.90364E-06,0.3
7.38095E-07,1.126495123,7.38095E-07,7.38095E-07,0.4
0.000109893,1.116613984,0.000109893,0.000109893,0.5
0.000467228,1.133269787,0.000467228,0.000467228,0.6
0.000969529,1.144764662,0.000969529,0.000969529,0.7
0.001610349,1.157995939,0.001610349,0.001610349,0.8
0.002428562,1.171864629,0.002428562,0.002428562,0.9
0.003429878,1.202792406,0.003429878,0.003429878,1
0.004574601,1.225753069,0.004574601,0.004574601,1.1
0.005896633,1.276098371,0.005896633,0.005896633,1.2
0.007381005,1.317566872,0.007381005,0.007381005,1.3
0.009019214,1.345759034,0.009019214,0.009019214,1.4
0.010684397,1.401880741,0.010684397,0.010684397,1.5
0.012360757,1.434367061,0.012360757,0.012360757,1.6
0.014017202,1.476942301,0.014017202,0.014017202,1.7
0.015680207,1.519116879,0.015680207,0.015680207,1.8
0.017359288,1.556323886,0.017359288,0.017359288,1.9
0.019015519,1.603254318,0.019015519,0.019015519,2
0.020676538,1.6448704,0.020676538,0.020676538,2.1
0.022344312,1.689956307,0.022344312,0.022344312,2.2
0.02400866,1.729316592,0.02400866,0.02400866,2.3
0.025671596,1.772506356,0.025671596,0.025671596,2.4
0.027353184,1.800718784,0.027353184,0.027353184,2.5
0.029020255,1.853380442,0.029020255,0.029020255,2.6
0.030691748,1.900564194,0.030691748,0.030691748,2.7
0.032347135,1.933591962,0.032347135,0.032347135,2.8
0.034018967,1.988521457,0.034018967,0.034018967,2.9
0.035684794,2.020577431,0.035684794,0.035684794,3
0.037344512,2.066208601,0.037344512,0.037344512,3.1
0.039016791,2.123299122,0.039016791,0.039016791,3.2
0.040679161,2.16283679,0.040679161,0.040679161,3.3
0.042352162,2.214453697,0.042352162,0.042352162,3.4
0.044009592,2.254725695,0.044009592,0.044009592,3.5
0.045689803,2.292191029,0.045689803,0.045689803,3.6
0.047358934,2.321165323,0.047358934,0.047358934,3.7
0.049022287,2.369178772,0.049022287,0.049022287,3.8
0.050684523,2.433361053,0.050684523,0.050684523,3.9
0.052361935,2.458808661,0.052361935,0.052361935,4
0.054039814,2.49839139,0.054039814,0.054039814,4.1
0.055704627,2.556428909,0.055704627,0.055704627,4.2
0.057363912,2.605594397,0.057363912,0.057363912,4.3
0.059030484,2.651440382,0.059030484,0.059030484,4.4
0.060706586,2.692216396,0.060706586,0.060706586,4.5
0.062353436,2.745499372,0.062353436,0.062353436,4.6
0.064028889,2.778002501,0.064028889,0.064028889,4.7
0.065685533,2.83843708,0.065685533,0.065685533,4.8
0.067353226,2.887744188,0.067353226,0.067353226,4.9
0.06903182,2.918800116,0.06903182,0.06903182,5
0.070692308,2.961336136,0.070692308,0.070692308,5.1
0.072349451,3.004900455,0.072349451,0.072349451,5.2
0.074020356,3.048767567,0.074020356,0.074020356,5.3
0.07569024,3.08459425,0.07569024,0.07569024,5.4
0.077342577,3.13815093,0.077342577,0.077342577,5.5
0.079011887,3.18245697,0.079011887,0.079011887,5.6
0.08068233,3.239231825,0.08068233,0.08068233,5.7
0.082346708,3.269887209,0.082346708,0.082346708,5.8
0.084016703,3.312598228,0.084016703,0.084016703,5.9
0.085674353,3.36336565,0.085674353,0.085674353,6
0.087349929,3.426943779,0.087349929,0.087349929,6.1
0.089013293,3.457647562,0.089013293,0.089013293,6.2
0.090686299,3.506491184,0.090686299,0.090686299,6.3
0.092354618,3.565610409,0.092354618,0.092354618,6.4
0.09401717,3.611563683,0.09401717,0.09401717,6.5
0.095683306,3.642210007,0.095683306,0.095683306,6.6
0.097342141,3.696688175,0.097342141,0.097342141,6.7
0.099003829,3.729539156,0.099003829,0.099003829,6.8
0.100670718,3.776677847,0.100670718,0.100670718,6.9
0.102336735,3.832235813,0.102336735,0.102336735,7
0.103996851,3.87483263,0.103996851,0.103996851,7.1
0.105667777,3.917812824,0.105667777,0.105667777,7.2
0.107337929,3.96561265,0.107337929,0.107337929,7.3
0.109005198,4.01505518,0.109005198,0.109005198,7.4
0.110682502,4.045488358,0.110682502,0.110682502,7.5
0.11235074,4.110154152,0.11235074,0.11235074,7.6
0.114021808,4.163528442,0.114021808,0.114021808,7.7
0.115700752,4.163604736,0.115700752,0.115700752,7.8
0.11736685,4.233493328,0.11736685,0.11736685,7.9
0.119024046,4.256070137,0.119024046,0.119024046,8
0.120697655,4.301610947,0.120697655,0.120697655,8.1
0.122365631,4.364522934,0.122365631,0.122365631,8.2
0.124030024,4.40871048,0.124030024,0.124030024,8.3
0.125691131,4.442001343,0.125691131,0.125691131,8.4
0.127359256,4.50320673,0.127359256,0.127359256,8.5
0.129033133,4.549807072,0.129033133,0.129033133,8.6
0.130706474,4.586546421,0.130706474,0.130706474,8.7
0.132354796,4.646265507,0.132354796,0.132354796,8.8
0.134025142,4.675824165,0.134025142,0.134025142,8.9
0.135685071,4.73081255,0.135685071,0.135685071,9
0.137363955,4.763328552,0.137363955,0.137363955,9.1
0.139027059,4.808214664,0.139027059,0.139027059,9.2
