bm4;bm4;bm4;bm4;bm4
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0;1.034146905;0;0;0
-5.292E-07;1.028485417;-5.292E-07;-5.292E-07;0.1
-4.17788E-08;1.011983991;-4.17788E-08;-4.17788E-08;0.2
-4.03167E-06;1.014922738;-4.03167E-06;-4.03167E-06;0.3
4.15004E-06;1.025344491;4.15004E-06;4.15004E-06;0.4
9.06255E-05;1.004023314;9.06255E-05;9.06255E-05;0.5
0.000453817;1.00828445;0.000453817;0.000453817;0.6
0.000933224;1.025465608;0.000933224;0.000933224;0.7
0.001565903;1.036874652;0.001565903;0.001565903;0.8
0.002390738;1.062098742;0.002390738;0.002390738;0.9
0.003362252;1.088089585;0.003362252;0.003362252;1
0.004503716;1.108427405;0.004503716;0.004503716;1.1
0.005806279;1.131715775;0.005806279;0.005806279;1.2
0.007282671;1.173557758;0.007282671;0.007282671;1.3
0.008907942;1.219174981;0.008907942;0.008907942;1.4
0.010576113;1.258874416;0.010576113;0.010576113;1.5
0.012245907;1.299739957;0.012245907;0.012245907;1.6
0.013916445;1.329136968;0.013916445;0.013916445;1.7
0.015584414;1.355642796;0.015584414;0.015584414;1.8
0.017248046;1.392503381;0.017248046;0.017248046;1.9
0.018926453;1.443775058;0.018926453;0.018926453;2
0.020578504;1.468167901;0.020578504;0.020578504;2.1
0.022243485;1.516944051;0.022243485;0.022243485;2.2
0.02391848;1.55945909;0.02391848;0.02391848;2.3
0.025577007;1.602018118;0.025577007;0.025577007;2.4
0.027238745;1.622464538;0.027238745;0.027238745;2.5
0.028908649;1.661479473;0.028908649;0.028908649;2.6
0.030582482;1.704663277;0.030582482;0.030582482;2.7
0.032253869;1.740826249;0.032253869;0.032253869;2.8
0.033914059;1.765559912;0.033914059;0.033914059;2.9
0.035588883;1.802725315;0.035588883;0.035588883;3
0.037256066;1.826247811;0.037256066;0.037256066;3.1
0.038925879;1.848411679;0.038925879;0.038925879;3.2
0.040590025;1.889911413;0.040590025;0.040590025;3.3
0.042255152;1.94139266;0.042255152;0.042255152;3.4
0.043920171;1.96985352;0.043920171;0.043920171;3.5
0.04559442;2.013998032;0.04559442;0.04559442;3.6
0.04725698;2.048536062;0.04725698;0.04725698;3.7
0.048935045;2.092675686;0.048935045;0.048935045;3.8
0.050596107;2.11766243;0.050596107;0.050596107;3.9
0.052257877;2.149061203;0.052257877;0.052257877;4
0.053931773;2.182356834;0.053931773;0.053931773;4.1
0.055606157;2.229893208;0.055606157;0.055606157;4.2
0.057265565;2.271379471;0.057265565;0.057265565;4.3
0.05893974;2.283021927;0.05893974;0.05893974;4.4
0.060609646;2.328573227;0.060609646;0.060609646;4.5
0.06226898;2.349544525;0.06226898;0.06226898;4.6
0.063927814;2.3981359;0.063927814;0.063927814;4.7
0.06559962;2.415965557;0.06559962;0.06559962;4.8
0.067263387;2.459239006;0.067263387;0.067263387;4.9
0.068925008;2.501629591;0.068925008;0.068925008;5
0.070590787;2.540888071;0.070590787;0.070590787;5.1
0.072256453;2.564941645;0.072256453;0.072256453;5.2
0.073938839;2.605658054;0.073938839;0.073938839;5.3
0.07559716;2.646374226;0.07559716;0.07559716;5.4
0.077276543;2.663978338;0.077276543;0.077276543;5.5
0.078931861;2.703171015;0.078931861;0.078931861;5.6
0.080584906;2.736909151;0.080584906;0.080584906;5.7
0.08225733;2.787311792;0.08225733;0.08225733;5.8
0.083914772;2.803882122;0.083914772;0.083914772;5.9
0.085574761;2.865746498;0.085574761;0.085574761;6
0.087254278;2.894320965;0.087254278;0.087254278;6.1
0.088910669;2.921761513;0.088910669;0.088910669;6.2
0.090585537;2.953531504;0.090585537;0.090585537;6.3
0.092254668;2.998394966;0.092254668;0.092254668;6.4
0.093926728;3.031144857;0.093926728;0.093926728;6.5
0.095594764;3.083365202;0.095594764;0.095594764;6.6
0.09725409;3.112476349;0.09725409;0.09725409;6.7
0.09891443;3.144447565;0.09891443;0.09891443;6.8
0.100577801;3.193100452;0.100577801;0.100577801;6.9
0.10225708;3.23246336;0.10225708;0.10225708;7
0.103914641;3.264268875;0.103914641;0.103914641;7.1
0.105587743;3.292589903;0.105587743;0.105587743;7.2
0.107249796;3.313344479;0.107249796;0.107249796;7.3
0.108921349;3.364188194;0.108921349;0.108921349;7.4
0.110595882;3.415152311;0.110595882;0.110595882;7.5
0.112249956;3.443652153;0.112249956;0.112249956;7.6
0.113924235;3.484998226;0.113924235;0.113924235;7.7
0.11558558;3.513136864;0.11558558;0.11558558;7.8
0.117250904;3.551300287;0.117250904;0.117250904;7.9
0.118927762;3.597075701;0.118927762;0.118927762;8
0.120588988;3.637564659;0.120588988;0.120588988;8.1
0.122260846;3.691137314;0.122260846;0.122260846;8.2
0.12392588;3.712883234;0.12392588;0.12392588;8.3
0.125584602;3.750150442;0.125584602;0.125584602;8.4
0.127251565;3.779646873;0.127251565;0.127251565;8.5
0.128927484;3.835318089;0.128927484;0.128927484;8.6
0.130586743;3.861512899;0.130586743;0.130586743;8.7
0.132259265;3.904343605;0.132259265;0.132259265;8.8
0.133933276;3.934612751;0.133933276;0.133933276;8.9
0.135604516;3.980121851;0.135604516;0.135604516;9
0.137267411;4.001818657;0.137267411;0.137267411;9.1
0.138924897;4.054128647;0.138924897;0.138924897;9.2
