bm3;bm3;bm3;bm3;bm3
Deformation;Standard force;Standard travel;Crosshead travel;Test time
mm;N;mm;mm;s
0.14741464;4.42097044;0.14741464;0.14741464;9.7
0.149079174;4.452706337;0.149079174;0.149079174;9.8
0.150748357;4.502587318;0.150748357;0.150748357;9.9
0.152421921;4.543962479;0.152421921;0.152421921;10
0.154085249;4.607524395;0.154085249;0.154085249;10.1
0.155758873;4.631788731;0.155758873;0.155758873;10.2
0.157417744;4.660717964;0.157417744;0.157417744;10.3
0.159086615;4.708364964;0.159086615;0.159086615;10.4
0.160761803;4.742210388;0.160761803;0.160761803;10.5
0.162425056;4.786247253;0.162425056;0.162425056;10.6
0.164093897;4.833338261;0.164093897;0.164093897;10.7
0.165758803;4.869211197;0.165758803;0.165758803;10.8
0.167427212;4.905642033;0.167427212;0.167427212;10.9
0.169084862;4.956587791;0.169084862;0.169084862;11
0.170761496;4.980816841;0.170761496;0.170761496;11.1
0.172422335;5.013745308;0.172422335;0.172422335;11.2
0.17408146;5.059727669;0.17408146;0.17408146;11.3
0.1757534;5.126018524;0.1757534;0.1757534;11.4
0.177417308;5.157702446;0.177417308;0.177417308;11.5
0.179079279;5.178665638;0.179079279;0.179079279;11.6
0.18075031;5.231294155;0.18075031;0.18075031;11.7
0.182415098;5.292843819;0.182415098;0.182415098;11.8
0.184095562;5.314226151;0.184095562;0.184095562;11.9
0.185772195;5.355393887;0.185772195;0.185772195;12
0.187430128;5.406590462;0.187430128;0.187430128;12.1
0.189098507;5.440070152;0.189098507;0.189098507;12.2
0.190758511;5.478491783;0.190758511;0.190758511;12.3
0.192430481;5.507577419;0.192430481;0.192430481;12.4
0.19409363;5.569223404;0.19409363;0.19409363;12.5
0.195764109;5.602553368;0.195764109;0.195764109;12.6
0.197429389;5.633155346;0.197429389;0.197429389;12.7
0.199104175;5.68719101;0.199104175;0.199104175;12.8
0.200774759;5.72439146;0.200774759;0.200774759;12.9
0.202434093;5.766426563;0.202434093;0.202434093;13
0.204099357;5.811547756;0.204099357;0.204099357;13.1
0.205759823;5.845289707;0.205759823;0.205759823;13.2
0.207420483;5.887447834;0.207420483;0.207420483;13.3
0.209088087;5.927898884;0.209088087;0.209088087;13.4
0.210762545;5.96292448;0.210762545;0.210762545;13.5
0.212423608;6.020935059;0.212423608;0.212423608;13.6
0.214087427;6.04853344;0.214087427;0.214087427;13.7
0.215759501;6.103572845;0.215759501;0.215759501;13.8
0.217428491;6.143546104;0.217428491;0.217428491;13.9
0.219108194;6.186051846;0.219108194;0.219108194;14
0.220753998;6.233606339;0.220753998;0.220753998;14.1
0.222430527;6.263688087;0.222430527;0.222430527;14.2
0.224095821;6.296487808;0.224095821;0.224095821;14.3
0.225772619;6.333839417;0.225772619;0.225772619;14.4
0.227440655;6.375660419;0.227440655;0.227440655;14.5
0.229093865;6.422795773;0.229093865;0.229093865;14.6
0.230760112;6.455858231;0.230760112;0.230760112;14.7
0.23241961;6.489341736;0.23241961;0.23241961;14.8
0.234084472;6.53967905;0.234084472;0.234084472;14.9
0.235754713;6.585533142;0.235754713;0.235754713;15
0.237431079;6.623303413;0.237431079;0.237431079;15.1
0.239089221;6.644294739;0.239089221;0.239089221;15.2
0.240746066;6.699115753;0.240746066;0.240746066;15.3
0.242420495;6.728628635;0.242420495;0.242420495;15.4
0.24408403;6.782935143;0.24408403;0.24408403;15.5
0.245759577;6.82612133;0.245759577;0.245759577;15.6
0.247422516;6.860765457;0.247422516;0.247422516;15.7
0.249086499;6.910702229;0.249086499;0.249086499;15.8
0.250751942;6.966530323;0.250751942;0.250751942;15.9
0.252416641;6.99816227;0.252416641;0.252416641;16
0.254100263;7.022667885;0.254100263;0.254100263;16.1
0.255758435;7.080140591;0.255758435;0.255758435;16.2
0.25742346;7.128459454;0.25742346;0.25742346;16.3
0.259093672;7.149494648;0.259093672;0.259093672;16.4
0.260761768;7.212684631;0.260761768;0.260761768;16.5
0.262430131;7.236704826;0.262430131;0.262430131;16.6
0.264085919;7.27103138;0.264085919;0.264085919;16.7
0.265752643;7.308758736;0.265752643;0.265752643;16.8
0.267424703;7.363755226;0.267424703;0.267424703;16.9
0.269088745;7.412997723;0.269088745;0.269088745;17
0.270757407;7.461637974;0.270757407;0.270757407;17.1
0.27243191;7.498651028;0.27243191;0.27243191;17.2
0.274084598;7.558851719;0.274084598;0.274084598;17.3
0.275756896;7.58562088;0.275756896;0.275756896;17.4
0.277424306;7.618199348;0.277424306;0.277424306;17.5
0.279085547;7.659019947;0.279085547;0.279085547;17.6
0.280762017;7.69204092;0.280762017;0.280762017;17.7
0.282426;7.746216297;0.282426;0.282426;17.8
0.28410247;7.790075302;0.28410247;0.28410247;17.9
0.285763443;7.834938049;0.285763443;0.285763443;18
0.287439615;7.87523222;0.287439615;0.287439615;18.1
0.289090544;7.881893158;0.289090544;0.289090544;18.2
0.290755421;7.945706367;0.290755421;0.290755421;18.3
0.292428106;7.990334034;0.292428106;0.292428106;18.4
0.294092894;8.029484749;0.294092894;0.294092894;18.5
0.295758456;8.08176899;0.295758456;0.295758456;18.6
0.297419786;8.124455452;0.297419786;0.297419786;18.7
0.299092054;8.156311989;0.299092054;0.299092054;18.8
0.300751299;8.209121704;0.300751299;0.300751299;18.9
0.302421629;8.243989944;0.302421629;0.302421629;19
0.304086715;8.302893639;0.304086715;0.304086715;19.1
0.30575946;8.33218956;0.30575946;0.30575946;19.2
0.307424158;8.371260643;0.307424158;0.307424158;19.3
0.309092253;8.406657219;0.309092253;0.309092253;19.4
0.310756385;8.441378593;0.310756385;0.310756385;19.5
0.312421769;8.491528511;0.312421769;0.312421769;19.6
0.314087093;8.532396317;0.314087093;0.314087093;19.7
0.31575191;8.571417809;0.31575191;0.31575191;19.8
0.317417294;8.616009712;0.317417294;0.317417294;19.9
0.319086134;8.658666611;0.319086134;0.319086134;20
0.320760518;8.68914032;0.320760518;0.320760518;20.1
0.322420299;8.7584095;0.322420299;0.322420299;20.2
0.324077338;8.780313492;0.324077338;0.324077338;20.3
0.325754404;8.835891724;0.325754404;0.325754404;20.4
0.327423275;8.865076065;0.327423275;0.327423275;20.5
0.329077452;8.911407471;0.329077452;0.329077452;20.6
0.330748767;8.975866318;0.330748767;0.330748767;20.7
0.332418591;9.00431633;0.332418591;0.332418591;20.8
0.334077358;9.036341667;0.334077358;0.334077358;20.9
0.335761577;9.078672409;0.335761577;0.335761577;21
0.337421536;9.132961273;0.337421536;0.337421536;21.1
0.339104325;9.165352821;0.339104325;0.339104325;21.2
0.340770006;9.217345238;0.340770006;0.340770006;21.3
0.342438489;9.254906654;0.342438489;0.342438489;21.4
0.344101071;9.301355362;0.344101071;0.344101071;21.5
0.345779359;9.344225883;0.345779359;0.345779359;21.6
0.347433895;9.396866798;0.347433895;0.347433895;21.7
0.349101245;9.416870117;0.349101245;0.349101245;21.8
0.350762933;9.47262001;0.350762933;0.350762933;21.9
0.352422327;9.530227661;0.352422327;0.352422327;22
0.354089767;9.559776306;0.354089767;0.354089767;22.1
0.355764449;9.614970207;0.355764449;0.355764449;22.2
0.357431889;9.651950836;0.357431889;0.357431889;22.3
0.359100014;9.675871849;0.359100014;0.359100014;22.4
0.360761642;9.7218647;0.360761642;0.360761642;22.5
0.362428725;9.780239105;0.362428725;0.362428725;22.6
0.364092976;9.822133064;0.364092976;0.364092976;22.7
0.365754187;9.864494324;0.365754187;0.365754187;22.8
0.367426187;9.917598724;0.367426187;0.367426187;22.9
0.369092464;9.95498848;0.369092464;0.369092464;23
0.370752573;10.00271034;0.370752573;0.370752573;23.1
0.372411877;10.04229355;0.372411877;0.372411877;23.2
0.374088943;10.09322929;0.374088943;0.374088943;23.3
0.37574783;10.13258553;0.37574783;0.37574783;23.4
0.377410471;10.17364788;0.377410471;0.377410471;23.5
0.379079431;10.22643757;0.379079431;0.379079431;23.6
0.380757809;10.26247978;0.380757809;0.380757809;23.7
0.382423103;10.28594589;0.382423103;0.382423103;23.8
0.384094805;10.31904316;0.384094805;0.384094805;23.9
0.385740608;10.38057041;0.385740608;0.385740608;24
0.387411952;10.42230034;0.387411952;0.387411952;24.1
0.389075488;10.46610451;0.389075488;0.389075488;24.2
0.390738815;10.49731064;0.390738815;0.390738815;24.3
0.392409861;10.54083538;0.392409861;0.392409861;24.4
0.394078881;10.59863377;0.394078881;0.394078881;24.5
0.395746022;10.64155674;0.395746022;0.395746022;24.6
0.397410572;10.66805935;0.397410572;0.397410572;24.7
0.399089694;10.72432613;0.399089694;0.399089694;24.8
0.40075019;10.77116013;0.40075019;0.40075019;24.9
0.402426839;10.83281898;0.402426839;0.402426839;25
0.404103577;10.86882973;0.404103577;0.404103577;25.1
0.405767858;10.90504074;0.405767858;0.405767858;25.2
0.407433093;10.9562397;0.407433093;0.407433093;25.3
0.409096956;11.0056591;0.409096956;0.409096956;25.4
0.410776168;11.0343399;0.410776168;0.410776168;25.5
0.412437946;11.07679653;0.412437946;0.412437946;25.6
0.414090723;11.1187973;0.414090723;0.414090723;25.7
0.415776283;11.16287708;0.415776283;0.415776283;25.8
0.417436182;11.20408344;0.417436182;0.417436182;25.9
0.419102967;11.25032139;0.419102967;0.419102967;26
0.420769036;11.29545498;0.420769036;0.420769036;26.1
0.422435075;11.33327675;0.422435075;0.422435075;26.2
0.424096555;11.38434029;0.424096555;0.424096555;26.3
0.425776452;11.41156864;0.425776452;0.425776452;26.4
0.427421123;11.49125481;0.427421123;0.427421123;26.5
0.429099798;11.51956654;0.429099798;0.429099798;26.6
0.430762053;11.55276394;0.430762053;0.430762053;26.7
0.432430446;11.6037941;0.432430446;0.432430446;26.8
0.434089333;11.66349697;0.434089333;0.434089333;26.9
0.435756058;11.7114563;0.435756058;0.435756058;27
0.43741864;11.75032711;0.43741864;0.43741864;27.1
0.439073324;11.76778221;0.439073324;0.439073324;27.2
0.440758795;11.82900429;0.440758795;0.440758795;27.3
0.442428797;11.88167477;0.442428797;0.442428797;27.4
0.444094807;11.91982365;0.444094807;0.444094807;27.5
0.445751965;11.95670128;0.445751965;0.445751965;27.6
0.447410136;12.01266766;0.447410136;0.447410136;27.7
0.449085653;12.07984257;0.449085653;0.449085653;27.8
0.450747788;12.09973907;0.450747788;0.450747788;27.9
0.452427298;12.14698696;0.452427298;0.452427298;28
0.454086006;12.18307877;0.454086006;0.454086006;28.1
0.455741525;12.23083019;0.455741525;0.455741525;28.2
0.457416803;12.28366184;0.457416803;0.457416803;28.3
0.459082395;12.32199669;0.459082395;0.459082395;28.4
0.460744232;12.36796856;0.460744232;0.460744232;28.5
0.462414891;12.3971386;0.462414891;0.462414891;28.6
0.464086562;12.45001316;0.464086562;0.464086562;28.7
0.465754658;12.49803448;0.465754658;0.465754658;28.8
0.467413038;12.53798485;0.467413038;0.467413038;28.9
0.469079733;12.59404945;0.469079733;0.469079733;29
0.470749319;12.62718487;0.470749319;0.470749319;29.1
0.472412705;12.6712923;0.472412705;0.472412705;29.2
0.474091142;12.71887493;0.474091142;0.474091142;29.3
0.475760877;12.76781273;0.475760877;0.475760877;29.4
0.47743243;12.81968689;0.47743243;0.47743243;29.5
0.479098827;12.84707355;0.479098827;0.479098827;29.6
0.480762959;12.90795898;0.480762959;0.480762959;29.7
0.482427716;12.96175003;0.482427716;0.482427716;29.8
0.484108508;12.98282528;0.484108508;0.484108508;29.9
0.485768318;13.03007507;0.485768318;0.485768318;30
0.487432569;13.06997871;0.487432569;0.487432569;30.1
0.489101231;13.11745453;0.489101231;0.489101231;30.2
0.490769953;13.15828419;0.490769953;0.490769953;30.3
0.492421418;13.20896626;0.492421418;0.492421418;30.4
0.494097412;13.25151157;0.494097412;0.494097412;30.5
0.495761305;13.31030655;0.495761305;0.495761305;30.6
0.497421116;13.35849762;0.497421116;0.497421116;30.7
0.499093771;13.40916443;0.499093771;0.499093771;30.8
0.500770569;13.43660641;0.500770569;0.500770569;30.9
0.502435982;13.46970272;0.502435982;0.502435982;31
0.504093349;13.51792717;0.504093349;0.504093349;31.1
0.505770028;13.56742382;0.505770028;0.505770028;31.2
0.50742805;13.60504913;0.50742805;0.50742805;31.3
0.509090483;13.65122795;0.509090483;0.509090483;31.4
0.510756731;13.68072319;0.510756731;0.510756731;31.5
0.512423396;13.7293663;0.512423396;0.512423396;31.6
0.514083147;13.76604557;0.514083147;0.514083147;31.7
0.515747964;13.82483578;0.515747964;0.515747964;31.8
0.517410219;13.85335541;0.517410219;0.517410219;31.9
0.519090533;13.89533424;0.519090533;0.519090533;32
0.520763099;13.93889332;0.520763099;0.520763099;32.1
0.522414029;13.97882748;0.522414029;0.522414029;32.2
0.524094105;14.01890945;0.524094105;0.524094105;32.3
0.52575469;14.06834221;0.52575469;0.52575469;32.4
0.52741468;14.13113022;0.52741468;0.52741468;32.5
0.529091537;14.1586895;0.529091537;0.529091537;32.6
0.530760407;14.20576096;0.530760407;0.530760407;32.7
0.532420456;14.24053288;0.532420456;0.532420456;32.8
0.534084797;14.28541946;0.534084797;0.534084797;32.9
0.535756946;14.33120632;0.535756946;0.535756946;33
0.537420392;14.38421249;0.537420392;0.537420392;33.1
0.539088011;14.41984749;0.539088011;0.539088011;33.2
0.540754974;14.447402;0.540754974;0.540754974;33.3
0.542425752;14.48502254;0.542425752;0.542425752;33.4
0.544087231;14.53675652;0.544087231;0.544087231;33.5
0.545743227;14.59387493;0.545743227;0.545743227;33.6
0.547422588;14.62922382;0.547422588;0.547422588;33.7
0.549098969;14.67499638;0.549098969;0.549098969;33.8
0.550778747;14.72259426;0.550778747;0.550778747;33.9
0.552429557;14.74157429;0.552429557;0.552429557;34
0.55409503;14.81228447;0.55409503;0.55409503;34.1
0.555761218;14.85311699;0.555761218;0.555761218;34.2
0.557425439;14.89192486;0.557425439;0.557425439;34.3
0.559089303;14.94052601;0.559089303;0.559089303;34.4
0.560759425;14.98480606;0.560759425;0.560759425;34.5
0.562420607;15.02078629;0.562420607;0.562420607;34.6
0.564116359;15.04603195;0.564116359;0.564116359;34.7
0.565764248;15.11822128;0.565764248;0.565764248;34.8
0.567430258;15.15577793;0.567430258;0.567430258;34.9
0.569089055;15.19121265;0.569089055;0.569089055;35
0.570762455;15.23600197;0.570762455;0.570762455;35.1
0.57242167;15.28079319;0.57242167;0.57242167;35.2
0.574093223;15.3246336;0.574093223;0.574093223;35.3
0.575764298;15.36810207;0.575764298;0.575764298;35.4
0.57742238;15.41353035;0.57742238;0.57742238;35.5
0.579098642;15.46065331;0.579098642;0.579098642;35.6
0.580761671;15.50369453;0.580761671;0.580761671;35.7
0.582421899;15.54326153;0.582421899;0.582421899;35.8
0.584099948;15.58878326;0.584099948;0.584099948;35.9
0.585754871;15.62287521;0.585754871;0.585754871;36
0.587423205;15.67389297;0.587423205;0.587423205;36.1
0.589095175;15.71654224;0.589095175;0.589095175;36.2
0.590757251;15.75356674;0.590757251;0.590757251;36.3
0.59241724;15.80395031;0.59241724;0.59241724;36.4
0.594098628;15.85608959;0.594098628;0.594098628;36.5
0.595755279;15.88746357;0.595755279;0.595755279;36.6
0.5974347;15.92275238;0.5974347;0.5974347;36.7
0.59909004;15.9824295;0.59909004;0.59909004;36.8
0.600756407;16.02878571;0.600756407;0.600756407;36.9
0.602418482;16.05775452;0.602418482;0.602418482;37
0.604092896;16.11776161;0.604092896;0.604092896;37.1
0.6057567;16.17249298;0.6057567;0.6057567;37.2
0.607417941;16.20163918;0.607417941;0.607417941;37.3
0.609075665;16.25616837;0.609075665;0.609075665;37.4
0.610756338;16.29109764;0.610756338;0.610756338;37.5
0.612430513;16.34364128;0.612430513;0.612430513;37.6
0.614082217;16.36984062;0.614082217;0.614082217;37.7
0.61574614;16.44126511;0.61574614;0.61574614;37.8
0.617411435;16.4719429;0.617411435;0.617411435;37.9
0.619091749;16.51894188;0.619091749;0.619091749;38
0.620747387;16.56607437;0.620747387;0.620747387;38.1
0.62242949;16.59277344;0.62242949;0.62242949;38.2
0.624106109;16.6573925;0.624106109;0.624106109;38.3
0.625764549;16.68419456;0.625764549;0.625764549;38.4
0.62743789;16.74475098;0.62743789;0.62743789;38.5
0.629098296;16.78231049;0.629098296;0.629098296;38.6
0.630755663;16.82872772;0.630755663;0.630755663;38.7
0.632427931;16.87433434;0.632427931;0.632427931;38.8
0.634099007;16.9172802;0.634099007;0.634099007;38.9
0.63575536;16.95241356;0.63575536;0.63575536;39
0.637427211;16.99404907;0.637427211;0.637427211;39.1
0.639092922;17.04338074;0.639092922;0.639092922;39.2
0.640761197;17.09337044;0.640761197;0.640761197;39.3
0.642421424;17.12776756;0.642421424;0.642421424;39.4
0.644101441;17.18098831;0.644101441;0.644101441;39.5
0.645755589;17.23036766;0.645755589;0.645755589;39.6
0.647439003;17.24989319;0.647439003;0.647439003;39.7
0.649097681;17.29553032;0.649097681;0.649097681;39.8
0.650779128;17.34313393;0.650779128;0.650779128;39.9
0.652442634;17.39037323;0.652442634;0.652442634;40
0.654099107;17.43221474;0.654099107;0.654099107;40.1
0.655763328;17.47908974;0.655763328;0.655763328;40.2
0.657422483;17.50349426;0.657422483;0.657422483;40.3
0.659091532;17.55627632;0.659091532;0.659091532;40.4
0.660764635;17.61077118;0.660764635;0.660764635;40.5
0.662423193;17.64157295;0.662423193;0.662423193;40.6
0.664098322;17.69884872;0.664098322;0.664098322;40.7
0.665766001;17.71974754;0.665766001;0.665766001;40.8
0.667413294;17.76778603;0.667413294;0.667413294;40.9
0.669077933;17.81339645;0.669077933;0.669077933;41
0.670755148;17.86339188;0.670755148;0.670755148;41.1
0.672419965;17.88911629;0.672419965;0.672419965;41.2
0.674084067;17.92518044;0.674084067;0.674084067;41.3
0.675755322;17.99074173;0.675755322;0.675755322;41.4
0.677419841;18.03040123;0.677419841;0.677419841;41.5
0.679086566;18.07412338;0.679086566;0.679086566;41.6
0.680749953;18.13097572;0.680749953;0.680749953;41.7
0.682419419;18.16341782;0.682419419;0.682419419;41.8
0.684094489;18.20882988;0.684094489;0.684094489;41.9
0.685746193;18.24055099;0.685746193;0.685746193;42
0.687422693;18.2812233;0.687422693;0.687422693;42.1
0.689087272;18.33327103;0.689087272;0.689087272;42.2
0.690750837;18.36287498;0.690750837;0.690750837;42.3
0.692413509;18.42714691;0.692413509;0.692413509;42.4
0.69408536;18.46238327;0.69408536;0.69408536;42.5
0.695748389;18.50066185;0.695748389;0.695748389;42.6
0.697409809;18.55233002;0.697409809;0.697409809;42.7
0.699097157;18.57912445;0.699097157;0.699097157;42.8
0.700760663;18.61357498;0.700760663;0.700760663;42.9
0.702422917;18.6537838;0.702422917;0.702422917;43
0.704085827;18.70558548;0.704085827;0.704085827;43.1
0.705762863;18.74374199;0.705762863;0.705762863;43.2
0.707438171;18.80392456;0.707438171;0.707438171;43.3
