nbm1,nbm1,nbm1,nbm1,nbm1
Deformation,Standard force,Standard travel,Crosshead travel,Test time
mm,N,mm,mm,s
0.147392079,3.189231396,0.147392079,0.147392079,9.7
0.149053454,3.215086222,0.149053454,0.149053454,9.8
0.150730252,3.242838383,0.150730252,0.150730252,9.9
0.152398899,3.263473511,0.152398899,0.152398899,10
0.154058158,3.293685436,0.154058158,0.154058158,10.1
0.15572606,3.3347857,0.15572606,0.15572606,10.2
0.157392621,3.388688087,0.157392621,0.157392621,10.3
0.15906626,3.40347743,0.15906626,0.15906626,10.4
0.160714626,3.437015772,0.160714626,0.160714626,10.5
0.16238606,3.468034983,0.16238606,0.16238606,10.6
0.1640549,3.491794825,0.1640549,0.1640549,10.7
0.165723875,3.512778997,0.165723875,0.165723875,10.8
0.167384684,3.53915143,0.167384684,0.167384684,10.9
0.169049487,3.566140175,0.169049487,0.169049487,11
0.170714542,3.588953257,0.170714542,0.170714542,11.1
0.172380984,3.638314247,0.172380984,0.172380984,11.2
0.174046203,3.652523279,0.174046203,0.174046203,11.3
0.175724179,3.671564579,0.175724179,0.175724179,11.4
0.177375808,3.706794024,0.177375808,0.177375808,11.5
0.179048523,3.740691185,0.179048523,0.179048523,11.6
0.180722237,3.768735409,0.180722237,0.180722237,11.7
0.182388425,3.782744884,0.182388425,0.182388425,11.8
0.184057772,3.821736813,0.184057772,0.184057772,11.9
0.185725152,3.843076944,0.185725152,0.185725152,12
0.18740879,3.878050804,0.18740879,0.18740879,12.1
0.189073533,3.911315918,0.189073533,0.189073533,12.2
0.190729961,3.929842472,0.190729961,0.190729961,12.3
0.192401797,3.969594002,0.192401797,0.192401797,12.4
0.194064051,4.000913143,0.194064051,0.194064051,12.5
0.195722774,4.032435894,0.195722774,0.195722774,12.6
0.197405562,4.05328083,0.197405562,0.197405562,12.7
0.199077174,4.08071804,0.199077174,0.199077174,12.8
0.200737104,4.120132923,0.200737104,0.200737104,12.9
0.202394992,4.144037247,0.202394992,0.202394992,13
0.204064533,4.165964127,0.204064533,0.204064533,13.1
0.20573318,4.207549572,0.20573318,0.20573318,13.2
0.207409203,4.2445364,0.207409203,0.207409203,13.3
0.209063604,4.253786564,0.209063604,0.209063604,13.4
0.210719004,4.297474861,0.210719004,0.210719004,13.5
0.212398723,4.320413113,0.212398723,0.212398723,13.6
0.214067236,4.356322765,0.214067236,0.214067236,13.7
0.215727687,4.396865368,0.215727687,0.215727687,13.8
0.217403233,4.422872066,0.217403233,0.217403233,13.9
0.219063267,4.447834492,0.219063267,0.219063267,14
0.220719919,4.465501785,0.220719919,0.220719919,14.1
0.222389042,4.514882565,0.222389042,0.222389042,14.2
0.224061817,4.535984039,0.224061817,0.224061817,14.3
0.225724652,4.553351879,0.225724652,0.225724652,14.4
0.227391347,4.581519604,0.227391347,0.227391347,14.5
0.229058966,4.620669842,0.229058966,0.229058966,14.6
