S120mM,S120mM,S120mM,S120mM,S120mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,91.20625305,0,0,0
0,90.78865051,0,0,0.1
0,90.37593079,0,0,0.2
-1.07377E-05,89.9947052,-1.07377E-05,0,0.3
-1.07377E-05,89.61360168,-1.07377E-05,0,0.4
-1.07377E-05,89.44789124,-1.07377E-05,0,0.5
0.000708571,92.81410217,0.000708571,0,0.6
0.001588813,97.09339905,0.001588813,0,0.7
0.002812377,102.9410553,0.002812377,0,0.8
0.004315844,109.9137115,0.004315844,0,0.9
0.006152621,118.5738678,0.006152621,0,1
0.008385173,128.2887115,0.008385173,0,1.1
0.010887614,138.655899,0.010887614,0,1.2
0.013861171,150.515274,0.013861171,0,1.3
0.017008295,163.780899,0.017008295,0,1.4
0.020250788,177.2887115,0.020250788,0,1.5
0.023621073,191.9137115,0.023621073,0,1.6
0.026983729,206.6793365,0.026983729,0,1.7
0.030247202,221.671524,0.030247202,0,1.8
0.033501141,236.4137115,0.033501141,0,1.9
0.036808483,252.5543365,0.036808483,0,2
0.040136807,268.5855713,0.040136807,0,2.1
0.043486111,284.2340088,0.043486111,0,2.2
0.046783917,299.9840088,0.046783917,0,2.3
0.050035946,315.7965088,0.050035946,0,2.4
0.053493969,332.7340088,0.053493969,0,2.5
0.056854717,350.0855713,0.056854717,0,2.6
0.06016206,366.5855713,0.06016206,0,2.7
0.063436978,383.0386963,0.063436978,0,2.8
0.066895001,399.7574463,0.066895001,0,2.9
0.070234768,416.3355713,0.070234768,0,3
0.073681347,433.2652588,0.073681347,0,3.1
0.076935284,449.3277588,0.076935284,0,3.2
0.080219738,467.1871338,0.080219738,0,3.3
0.083612911,484.5152588,0.083612911,0,3.4
0.086985104,501.4605713,0.086985104,0,3.5
0.090324871,518.5621338,0.090324871,0,3.6
0.09362077,535.7261963,0.09362077,0,3.7
0.096960537,553.5074463,0.096960537,0,3.8
0.100310653,571.6517944,0.100310653,0,3.9
0.103736252,589.1205444,0.103736252,0,4
0.1069673,605.7689819,0.1069673,0,4.1
0.110295624,622.9721069,0.110295624,0,4.2
0.11361441,640.7299194,0.11361441,0,4.3
0.116942734,658.2455444,0.116942734,0,4.4
0.120250076,675.8236694,0.120250076,0,4.5
0.123460144,693.1283569,0.123460144,0,4.6
0.126832336,711.3549194,0.126832336,0,4.7
0.13018164,729.8392944,0.13018164,0,4.8
0.133447021,747.6439819,0.133447021,0,4.9
0.136710495,764.8549194,0.136710495,0,5
0.140094131,783.0033569,0.140094131,0,5.1
0.143487304,800.4877319,0.143487304,0,5.2
0.146901459,818.1439819,0.146901459,0,5.3
0.150164932,835.6752319,0.150164932,0,5.4
0.15352568,853.7846069,0.15352568,0,5.5
0.156930298,871.2924194,0.156930298,0,5.6
0.160279602,888.2611694,0.160279602,0,5.7
0.163598388,904.6830444,0.163598388,0,5.8
0.166852325,921.2142944,0.166852325,0,5.9
0.170308441,938.5502319,0.170308441,0,6
0.173615783,955.3939819,0.173615783,0,6.1
0.177041382,973.5424194,0.177041382,0,6.2
0.180251449,989.6674194,0.180251449,0,6.3
0.183688492,1006.487732,0.183688492,0,6.4
0.18698439,1023.167419,0.18698439,0,6.5
0.190389007,1039.425171,0.190389007,0,6.6
0.1936315,1055.362671,0.1936315,0,6.7
0.196938843,1071.409546,0.196938843,0,6.8
0.200234741,1087.378296,0.200234741,0,6.9
0.203618377,1103.940796,0.203618377,0,7
0.206935257,1119.886108,0.206935257,0,7.1
0.2101129,1134.800171,0.2101129,0,7.2
0.213561386,1151.214233,0.213561386,0,7.3
0.21684584,1167.097046,0.21684584,0,7.4
0.220185608,1182.761108,0.220185608,0,7.5
0.223449081,1198.159546,0.223449081,0,7.6
0.226788849,1213.878296,0.226788849,0,7.7
0.23014006,1231.120483,0.23014006,0,7.8
0.23354277,1246.823608,0.23354277,0,7.9
0.236850113,1261.722046,0.236850113,0,8
0.240136474,1276.682983,0.240136474,0,8.1
0.243626922,1292.917358,0.243626922,0,8.2
0.246878952,1308.464233,0.246878952,0,8.3
0.250295013,1323.253296,0.250295013,0,8.4
0.253611892,1337.823608,0.253611892,0,8.5
0.256907791,1352.729858,0.256907791,0,8.6
0.260333389,1368.065796,0.260333389,0,8.7
0.263726562,1383.065796,0.263726562,0,8.8
0.266970485,1397.911133,0.266970485,0,8.9
0.27025494,1412.637695,0.27025494,0,9
0.273712963,1427.442383,0.273712963,0,9.1
0.277020305,1441.364258,0.277020305,0,9.2
0.280337185,1456.254883,0.280337185,0,9.3
0.283570141,1470.317383,0.283570141,0,9.4
0.28695187,1485.161133,0.28695187,0,9.5
0.290238231,1500.293945,0.290238231,0,9.6
0.293652385,1514.583008,0.293652385,0,9.7
0.296873897,1528.325195,0.296873897,0,9.8
0.300139278,1542.606445,0.300139278,0,9.9
0.303477138,1556.567383,0.303477138,0,10
0.306807369,1571.333008,0.306807369,0,10.1
0.310198635,1585.137695,0.310198635,0,10.2
0.313357204,1598.30957,0.313357204,0,10.3
0.316727489,1612.856445,0.316727489,0,10.4
0.320164531,1626.65332,0.320164531,0,10.5
0.323557705,1640.208008,0.323557705,0,10.6
0.326821178,1653.731445,0.326821178,0,10.7
0.330246776,1667.731445,0.330246776,0,10.8
0.333596081,1680.731445,0.333596081,0,10.9
0.337000698,1694.208008,0.337000698,0,11
0.340275615,1706.637695,0.340275615,0,11.1
0.343594402,1719.161133,0.343594402,0,11.2
0.346987575,1732.676758,0.346987575,0,11.3
0.350325435,1745.21582,0.350325435,0,11.4
0.353632778,1758.051758,0.353632778,0,11.5
0.356963009,1771.05957,0.356963009,0,11.6
0.360333294,1783.879883,0.360333294,0,11.7
0.363661617,1796.317383,0.363661617,0,11.8
0.367045254,1809.083008,0.367045254,0,11.9
