S420mM,S420mM,S420mM,S420mM,S420mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,57.87295532,0,0,0
0,56.98184204,0,0,0.1
0,56.33926392,0,0,0.2
0,55.81143188,0,0,0.3
0,55.40542603,0,0,0.4
0.000310659,55.67825317,0.000310659,0,0.5
0.001116276,57.83255005,0.001116276,0,0.6
0.002168655,60.17044067,0.002168655,0,0.7
0.003521442,62.85598755,0.003521442,0,0.8
0.005185604,66.20950317,0.005185604,0,0.9
0.007194042,69.1177063,0.007194042,0,1
0.009631634,72.39700317,0.009631634,0,1.1
0.012294292,75.74856567,0.012294292,0,1.2
0.01528883,79.12356567,0.01528883,0,1.3
0.018554211,82.57669067,0.018554211,0,1.4
0.021796703,85.7817688,0.021796703,0,1.5
0.025178432,89.27005005,0.025178432,0,1.6
0.028464794,92.8989563,0.028464794,0,1.7
0.031836987,96.42630005,0.031836987,0,1.8
0.035144329,99.65286255,0.035144329,0,1.9
0.038472652,103.2095032,0.038472652,0,2
0.041800976,106.7602844,0.041800976,0,2.1
0.04515028,110.3149719,0.04515028,0,2.2
0.048566341,113.9067688,0.048566341,0,2.3
0.05186224,117.5649719,0.05186224,0,2.4
0.05526495,121.5805969,0.05526495,0,2.5
0.058616161,125.3989563,0.058616161,0,2.6
0.061923504,129.3657532,0.061923504,0,2.7
0.065240383,133.3188782,0.065240383,0,2.8
0.068612576,137.8384094,0.068612576,0,2.9
0.071994305,142.1938782,0.071994305,0,3
0.075398922,146.6997375,0.075398922,0,3.1
0.078631878,151.2876282,0.078631878,0,3.2
0.081927776,155.3618469,0.081927776,0,3.3
0.085374355,160.066925,0.085374355,0,3.4
0.088691235,164.6333313,0.088691235,0,3.5
0.091977596,169.1997375,0.091977596,0,3.6
0.095284939,174.1255188,0.095284939,0,3.7
0.098591641,179.4996033,0.098591641,0,3.8
0.101931408,184.1246033,0.101931408,0,3.9
0.105292156,189.4722595,0.105292156,0,4
0.108513668,194.480072,0.108513668,0,4.1
0.111832455,200.0953064,0.111832455,0,4.2
0.115193203,206.0093689,0.115193203,0,4.3
0.11844714,212.3414001,0.11844714,0,4.4
0.121775463,218.2046814,0.121775463,0,4.5
0.125059918,224.2476501,0.125059918,0,4.6
0.128420666,230.9742126,0.128420666,0,4.7
0.131783321,237.8101501,0.131783321,0,4.8
0.135218456,244.9507751,0.135218456,0,4.9
0.138493374,251.4859314,0.138493374,0,5
0.141886547,258.9429626,0.141886547,0,5.1
0.145291165,266.1851501,0.145291165,0,5.2
0.148619488,273.7515564,0.148619488,0,5.3
0.151936367,281.2515564,0.151936367,0,5.4
0.155266598,288.9429626,0.155266598,0,5.5
0.158680752,297.4820251,0.158680752,0,5.6
0.16197665,305.4507751,0.16197665,0,5.7
0.165316418,313.1148376,0.165316418,0,5.8
0.168633297,321.3804626,0.168633297,0,5.9
0.172016934,330.4078064,0.172016934,0,6
0.175324276,339.0679626,0.175324276,0,6.1
0.178717449,348.5562439,0.178717449,0,6.2
0.181992367,358.6968689,0.181992367,0,6.3
0.185341671,368.7007751,0.185341671,0,6.4
0.188607052,378.8804626,0.188607052,0,6.5
0.191956356,389.3335876,0.191956356,0,6.6
0.195242718,399.8179626,0.195242718,0,6.7
0.198441342,410.5757751,0.198441342,0,6.8
0.20188792,422.3726501,0.20188792,0,6.9
0.205132321,433.7007751,0.205132321,0,7
0.20851405,446.9976501,0.20851405,0,7.1
0.211745098,458.8492126,0.211745098,0,7.2
0.215075329,471.8335876,0.215075329,0,7.3
0.218478039,485.3414001,0.218478039,0,7.4
0.221871212,499.0054626,0.221871212,0,7.5
0.225136593,512.5679932,0.225136593,0,7.6
0.228529766,526.5992432,0.228529766,0,7.7
0.231911495,541.2398682,0.231911495,0,7.8
0.235228375,556.2633057,0.235228375,0,7.9
0.238612011,571.4039307,0.238612011,0,8
0.241886929,587.7711182,0.241886929,0,8.1
0.245247677,606.2008057,0.245247677,0,8.2
0.248661831,625.4664307,0.248661831,0,8.3
0.252013028,644.7554932,0.252013028,0,8.4
0.255308926,665.2320557,0.255308926,0,8.5
0.258625805,684.6461182,0.258625805,0,8.6
0.262030423,704.7086182,0.262030423,0,8.7
0.265369505,725.0901489,0.265369505,0,8.8
0.268665403,744.1370239,0.268665403,0,8.9
0.271972746,762.8870239,0.271972746,0,9
0.275302976,782.7854614,0.275302976,0,9.1
0.278577894,801.9807739,0.278577894,0,9.2
0.281885237,821.3635864,0.281885237,0,9.3
0.285160154,840.7385864,0.285160154,0,9.4
0.288465589,860.3635864,0.288465589,0,9.5
0.291784376,880.6995239,0.291784376,0,9.6
0.295209974,901.5198364,0.295209974,0,9.7
0.298431486,920.7776489,0.298431486,0,9.8
0.301738828,940.6995239,0.301738828,0,9.9
0.305185407,960.7932739,0.305185407,0,10
0.308534712,980.6995239,0.308534712,0,10.1
0.311832517,1000.480774,0.311832517,0,10.2
0.315128416,1020.543274,0.315128416,0,10.3
0.318574995,1039.996338,0.318574995,0,10.4
0.321968168,1059.12915,0.321968168,0,10.5
0.325296491,1077.738525,0.325296491,0,10.6
0.328550428,1095.9729,0.328550428,0,10.7
0.331964582,1115.00415,0.331964582,0,10.8
0.33530435,1133.871338,0.33530435,0,10.9
0.338697523,1153.777588,0.338697523,0,11
0.341983885,1172.25415,0.341983885,0,11.1
0.345235914,1189.87915,0.345235914,0,11.2
0.348672956,1209.207275,0.348672956,0,11.3
0.35200128,1227.2854,0.35200128,0,11.4
0.355329603,1244.9729,0.355329603,0,11.5
0.358594984,1262.496338,0.358594984,0,11.6
0.361997694,1280.301025,0.361997694,0,11.7
0.365219206,1297.949463,0.365219206,0,11.8
0.36863336,1316.183838,0.36863336,0,11.9
0.371854872,1332.9104,0.371854872,0,12
