S220mM,S220mM,S220mM,S220mM,S220mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,60.31692505,0,0,0
0,60.18696594,0,0,0.1
-1.07377E-05,60.08444214,-1.07377E-05,0,0.2
-2.14753E-05,59.95954895,-2.14753E-05,0,0.3
-3.2213E-05,59.84794617,-3.2213E-05,0,0.4
-1.07553E-05,59.92225647,-1.07553E-05,0,0.5
0.000848028,60.53651428,0.000848028,0,0.6
0.001825165,61.30922318,0.001825165,0,0.7
0.003070664,62.45717239,0.003070664,0,0.8
0.00475676,63.98158646,0.00475676,0,0.9
0.006635498,65.63881683,0.006635498,0,1
0.008954834,67.60463715,0.008954834,0,1.1
0.011595558,69.97670746,0.011595558,0,1.2
0.014462303,73.02162933,0.014462303,0,1.3
0.017727684,76.85170746,0.017727684,0,1.4
0.021076988,81.89662933,0.021076988,0,1.5
0.024491142,88.09584808,0.024491142,0,1.6
0.027777504,94.85756683,0.027777504,0,1.7
0.031052422,102.5177231,0.031052422,0,1.8
0.034499001,110.7638168,0.034499001,0,1.9
0.037806343,119.1700668,0.037806343,0,2
0.041092705,128.2013092,0.041092705,0,2.1
0.044421028,137.3184967,0.044421028,0,2.2
0.047749352,146.9825592,0.047749352,0,2.3
0.051089119,156.8966217,0.051089119,0,2.4
0.054428887,167.0919342,0.054428887,0,2.5
0.057680916,177.1895905,0.057680916,0,2.6
0.060946297,188.9552155,0.060946297,0,2.7
0.064328022,199.822403,0.064328022,0,2.8
0.067581959,210.6895905,0.067581959,0,2.9
0.070931263,221.775528,0.070931263,0,3
0.074175663,232.416153,0.074175663,0,3.1
0.077631779,244.5958405,0.077631779,0,3.2
0.080992527,256.5021057,0.080992527,0,3.3
0.084332295,267.9708557,0.084332295,0,3.4
0.087660618,279.3849182,0.087660618,0,3.5
0.091044255,291.2911682,0.091044255,0,3.6
0.094372578,302.9786682,0.094372578,0,3.7
0.097798176,315.0880432,0.097798176,0,3.8
0.101040669,326.8458557,0.101040669,0,3.9
0.104412861,339.1583557,0.104412861,0,4
0.107783146,352.2364807,0.107783146,0,4.1
0.111101933,364.5646057,0.111101933,0,4.2
0.1144417,376.9083557,0.1144417,0,4.3
0.117726155,389.2833557,0.117726155,0,4.4
0.121109791,402.3614807,0.121109791,0,4.5
0.12449152,415.2364807,0.12449152,0,4.6
0.12786372,428.9161682,0.12786372,0,4.7
0.131117657,441.4005432,0.131117657,0,4.8
0.134413555,454.1114807,0.134413555,0,4.9
0.137762859,467.2208557,0.137762859,0,5
0.141102627,480.3927307,0.141102627,0,5.1
0.14434512,493.3849182,0.14434512,0,5.2
0.147663906,507.1036682,0.147663906,0,5.3
0.151024655,520.7130127,0.151024655,0,5.4
0.154267147,533.7911377,0.154267147,0,5.5
0.157648876,547.2286377,0.157648876,0,5.6
0.160934672,560.3399048,0.160934672,0,5.7
0.164274439,574.5742798,0.164274439,0,5.8
0.167593226,589.4024048,0.167593226,0,5.9
0.17100738,603.2305298,0.17100738,0,6
0.174324259,617.0742798,0.174324259,0,6.1
0.177631602,630.9336548,0.177631602,0,6.2
0.181036219,645.3164673,0.181036219,0,6.3
0.184408411,659.5664673,0.184408411,0,6.4
0.187746271,673.3399048,0.187746271,0,6.5
0.191044077,687.5820923,0.191044077,0,6.6
0.194458231,702.8242798,0.194458231,0,6.7
0.19775413,717.0274048,0.19775413,0,6.8
0.201179728,731.7539673,0.201179728,0,6.9
0.204475626,745.5352173,0.204475626,0,7
0.207761988,759.7227173,0.207761988,0,7.1
0.211176142,774.2774048,0.211176142,0,7.2
0.214473948,788.1914673,0.214473948,0,7.3
0.217769846,802.1367798,0.217769846,0,7.4
0.221056208,816.8867798,0.221056208,0,7.5
0.224449381,831.1992798,0.224449381,0,7.6
0.22774528,845.2461548,0.22774528,0,7.7
0.231041178,859.5195923,0.231041178,0,7.8
0.234251246,873.2774048,0.234251246,0,7.9
0.237667307,888.2774048,0.237667307,0,8
0.240984187,904.5117798,0.240984187,0,8.1
0.244280085,921.1914673,0.244280085,0,8.2
0.247631297,937.1680298,0.247631297,0,8.3
0.250873804,953.5820923,0.250873804,0,8.4
0.254341364,970.3477173,0.254341364,0,8.5
0.25763917,987.3008423,0.25763917,0,8.6
0.260978937,1004.207092,0.260978937,0,8.7
0.264284372,1020.691467,0.264284372,0,8.8
0.267721415,1039.363403,0.267721415,0,8.9
0.271093607,1056.035278,0.271093607,0,9
0.274431467,1072.722778,0.274431467,0,9.1
0.27773881,1089.152466,0.27773881,0,9.2
0.281078577,1105.480591,0.281078577,0,9.3
0.284418344,1122.199341,0.284418344,0,9.4
0.287855387,1138.964966,0.287855387,0,9.5
0.291097879,1155.918091,0.291097879,0,9.6
0.294393778,1171.457153,0.294393778,0,9.7
0.297775507,1188.089966,0.297775507,0,9.8
0.301159143,1203.808716,0.301159143,0,9.9
0.304455042,1220.394653,0.304455042,0,10
0.307729959,1236.004028,0.307729959,0,10.1
0.311134577,1252.168091,0.311134577,0,10.2
0.314419031,1268.261841,0.314419031,0,10.3
0.317802668,1284.894653,0.317802668,0,10.4
0.32098031,1299.886841,0.32098031,0,10.5
0.324276209,1315.527466,0.324276209,0,10.6
0.327648699,1331.421265,0.327648699,0,10.7
0.330902636,1347.007202,0.330902636,0,10.8
0.334305346,1363.069702,0.334305346,0,10.9
0.337526858,1378.15564,0.337526858,0,11
0.340920031,1393.890015,0.340920031,0,11.1
0.344292223,1409.335327,0.344292223,0,11.2
0.347641528,1424.56189,0.347641528,0,11.3
0.350969851,1439.327515,0.350969851,0,11.4
0.354342043,1454.296265,0.354342043,0,11.5
0.357746661,1468.96814,0.357746661,0,11.6
0.361084521,1484.522827,0.361084521,0,11.7
0.364382327,1499.12439,0.364382327,0,11.8
