S320mM,S320mM,S320mM,S320mM,S320mM
Deformation,Standard force,Standard travel,SG1,Test time
mm,N,mm,V,s
0,60.2494278,0,0,0
0,60.15307617,0,0,0.1
0,60.0506134,0,0,0.2
0,59.9812851,0,0,0.3
0,59.8960762,0,0,0.4
0.000343323,60.10300064,0.000343323,0,0.5
0.001030684,60.66843033,0.001030684,0,0.6
0.002040148,61.4867897,0.002040148,0,0.7
0.003381491,62.62057877,0.003381491,0,0.8
0.005046606,63.92331314,0.005046606,0,0.9
0.007021666,65.3979187,0.007021666,0,1
0.009341002,67.06588745,0.009341002,0,1.1
0.012024641,68.94186401,0.012024641,0,1.2
0.01496768,71.06686401,0.01496768,0,1.3
0.018242598,73.54147339,0.018242598,0,1.4
0.021538496,75.88522339,0.021538496,0,1.5
0.024910688,78.32077026,0.024910688,0,1.6
0.028185606,80.7026062,0.028185606,0,1.7
0.031428099,82.96530151,0.031428099,0,1.8
0.034907103,85.43502808,0.034907103,0,1.9
0.038161039,87.74264526,0.038161039,0,2
0.041554213,90.37252808,0.041554213,0,2.1
0.044903517,92.76803589,0.044903517,0,2.2
0.048275709,95.20748901,0.048275709,0,2.3
0.051647902,97.72994995,0.051647902,0,2.4
0.055018187,100.1996765,0.055018187,0,2.5
0.058272123,102.6586609,0.058272123,0,2.6
0.061632872,105.2250671,0.061632872,0,2.7
0.06505847,107.9906921,0.06505847,0,2.8
0.068354368,110.6908875,0.068354368,0,2.9
0.07170558,113.3490906,0.07170558,0,3
0.074990034,115.9301453,0.074990034,0,3.1
0.07835269,118.6684265,0.07835269,0,3.2
0.081734419,121.4535828,0.081734419,0,3.3
0.085062742,124.254364,0.085062742,0,3.4
0.088326216,127.207489,0.088326216,0,3.5
0.091742277,130.0121765,0.091742277,0,3.6
0.094973326,132.7778015,0.094973326,0,3.7
0.098366499,135.5746765,0.098366499,0,3.8
0.101620436,138.3910828,0.101620436,0,3.9
0.104851484,141.2953796,0.104851484,0,4
0.10821414,144.4750671,0.10821414,0,4.1
0.111552,147.6156921,0.111552,0,4.2
0.114859343,150.9496765,0.114859343,0,4.3
0.118113279,154.3578796,0.118113279,0,4.4
0.121538877,158.066864,0.121538877,0,4.5
0.124878645,162.1156921,0.124878645,0,4.6
0.128303543,166.1626434,0.128303543,0,4.7
0.13151361,170.2876434,0.13151361,0,4.8
0.134885803,174.8267059,0.134885803,0,4.9
0.138364807,179.7036591,0.138364807,0,5
0.141672149,185.0513153,0.141672149,0,5.1
0.144979492,191.3091278,0.144979492,0,5.2
0.148307815,197.9145966,0.148307815,0,5.3
0.151626602,204.9263153,0.151626602,0,5.4
0.155008331,212.3989716,0.155008331,0,5.5
0.158411041,220.3403778,0.158411041,0,5.6
0.161729828,228.5317841,0.161729828,0,5.7
0.165004745,237.9263153,0.165004745,0,5.8
0.168397918,248.1919403,0.168397918,0,5.9
0.171726242,258.7388,0.171726242,0,6
0.175033584,269.9263,0.175033584,0,6.1
0.178329483,281.691925,0.178329483,0,6.2
0.181690231,294.52005,0.181690231,0,6.3
0.185029998,307.5278625,0.185029998,0,6.4
0.188283935,320.9263,0.188283935,0,6.5
0.191516891,334.5122375,0.191516891,0,6.6
0.194887176,349.9497375,0.194887176,0,6.7
0.1982155,364.7778625,0.1982155,0,6.8
0.20154573,380.02005,0.20154573,0,6.9
0.204809204,395.2934875,0.204809204,0,7
0.208116546,410.8559875,0.208116546,0,7.1
0.211521164,427.816925,0.211521164,0,7.2
0.214881912,444.8872375,0.214881912,0,7.3
0.218252197,461.8872375,0.218252197,0,7.4
0.221559539,480.691925,0.221559539,0,7.5
0.224910751,499.2778625,0.224910751,0,7.6
0.228313461,517.4028931,0.228313461,0,7.7
0.231697097,536.3950806,0.231697097,0,7.8
0.23493959,554.7153931,0.23493959,0,7.9
0.238311782,574.0435181,0.238311782,0,8
0.241714492,593.7310181,0.241714492,0,8.1
0.245065704,613.7778931,0.245065704,0,8.2
0.248350158,633.0513306,0.248350158,0,8.3
0.251647949,651.9107056,0.251647949,0,8.4
0.255104065,671.4810181,0.255104065,0,8.5
0.258337021,690.6841431,0.258337021,0,8.6
0.261686325,710.1919556,0.261686325,0,8.7
0.264972687,728.1997681,0.264972687,0,8.8
0.268344879,746.4107056,0.268344879,0,8.9
0.271661758,765.1294556,0.271661758,0,9
0.27501297,783.6685181,0.27501297,0,9.1
0.278255463,801.8482056,0.278255463,0,9.2
0.28153038,819.9497681,0.28153038,0,9.3
0.284826279,838.5825806,0.284826279,0,9.4
0.288208008,857.8794556,0.288208008,0,9.5
0.291505814,875.8169556,0.291505814,0,9.6
0.29476881,893.6929321,0.29476881,0,9.7
0.298161983,912.3569946,0.298161983,0,9.8
0.30148077,930.0835571,0.30148077,0,9.9
0.304894924,948.2085571,0.304894924,0,10
0.308181286,966.4116821,0.308181286,0,10.1
0.31159544,984.2319946,0.31159544,0,10.2
0.314956188,1001.763245,0.314956188,0,10.3
0.318349361,1019.09137,0.318349361,0,10.4
0.321635723,1035.489746,0.321635723,0,10.5
0.324943066,1052.310059,0.324943066,0,10.6
0.328345776,1069.817871,0.328345776,0,10.7
0.331696987,1087.403809,0.331696987,0,10.8
0.335034847,1105.481934,0.335034847,0,10.9
0.338300228,1121.645996,0.338300228,0,11
0.341702938,1138.489746,0.341702938,0,11.1
0.34505415,1155.247559,0.34505415,0,11.2
0.348435879,1171.544434,0.348435879,0,11.3
0.351689816,1187.528809,0.351689816,0,11.4
0.355050564,1203.739746,0.355050564,0,11.5
0.358304501,1219.942871,0.358304501,0,11.6
0.36168623,1237.153809,0.36168623,0,11.7
0.364951611,1252.895996,0.364951611,0,11.8
0.368129253,1267.825684,0.368129253,0,11.9
0.371575832,1284.567871,0.371575832,0,12
0.374904156,1301.060059,0.374904156,0,12.1
